1,0,0,1,1,1,1,1,1,0,0,0,0,1,0.9977691021,0.9980479643,0.9994422755,0.9902398215,0.990797546,0,0,0,0.990797546,0.798382599,0.8680981595
0,0,0,1,1,1,0,1,1,0,0,0.9931506849,1,1,0,0.3150684932,0.3150684932,0.3150684932,0.3150684932,0.5,0.3150684932,1,0.5890410959,0,0
0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.4399719495
1,1,0,1,1,0.2484157161,0.9518377693,1,1,0,0,0,0,1,0,0.8212927757,0,0,0.8073510773,0,0.7896070976,0.2382762991,0.3561470215,0,0
0.9885212694,0,0,0.9885212694,0.9885212694,0,0,0.9885212694,0.9885212694,0.9648885888,0,0,0,0.9885212694,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0.8620689655,0.8103448276,0.8965517241,0,0.5948275862,0.9051724138,0.9310344828,0,0,0.4137931034,0,0.9310344828,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.9998727897,0.6553873553,0,0.2268159267,0.9998727897,0,0.6553873553,0,0,0,0.9998727897,0.9952932197,0,0.6553873553,0.9998727897,0.9997455794,0.0007632617,0.9984734767,0.9998727897,0,0.8343722173,0.3297290421
0.0023337223,0,0.0064177363,0.9964994166,0.9941656943,0,0,0.9964994166,0.9964994166,0,0,0,0.0023337223,0.9941656943,0.9941656943,0,0.9941656943,0.9865810968,0.9941656943,0.5478413069,0.9941656943,0.9941656943,0.9941656943,0.9941656943,0.0023337223
1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0.3305084746,0.3262711864,0.3262711864,0.3262711864,0,0.2881355932,0,0,0,0
1,0,0,0,1,0,0.3405405405,1,0,0,0.3351351351,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.9795321637,1,0,0,0.9736842105,0.9795321637,0,1,0.7953216374,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1775510204
0,0,0,1,1,0,1,1,0.9984227129,0,0.0031545741,0,0,1,0,0,0,0,0,0.0031545741,0.0031545741,0,0.0031545741,0.0031545741,0
0,0,0.9869918699,0.9869918699,0.9869918699,0.5414634146,0,0.9869918699,0.9869918699,0,0,0,0,0.9869918699,0.9869918699,0,0,0,0,0,0,0,0,0,0
0.9975713418,0,0,0.9993928355,0.9993928355,0,0,0.9993928355,0.9993928355,0,0,0,0,0.9993928355,0,0.9993928355,0.9945355191,0.9993928355,0.9993928355,0.9993928355,0,0.9993928355,0.9993928355,0.9993928355,0
0.9988674972,0.0007550019,0,0.9988674972,0.9988674972,0,0,0.9988674972,0.9988674972,0,0.4412986032,0,0.9988674972,0.9988674972,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1,1,0,0.8528428094,0.8528428094,0.9933110368,1,0.8528428094,0,0,0,0,0,0,0,0,0,0.72909699
1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1
0,0,0,0.9946808511,0.9946808511,0.9946808511,0.9893617021,0.9946808511,0.9946808511,0,0.8882978723,0,0,0,0,0.9893617021,0.8882978723,0.9893617021,0.9893617021,0,0,0.9946808511,0,0,0
0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0.8217054264
0,0,0,0.9975903614,0.9975903614,0.9975903614,0,0.9975903614,0.9975903614,0,0,0,0.9975903614,0.9975903614,0,0,0,0,0,0,0,0,0,0,0.156626506
1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0.9995402299,0.9993103448,0,0,0.9995402299,0.9995402299,0,0.9995402299,0,0.9995402299,0.9995402299,0,0,0,0,0,0,0,0,0,0,0.763908046
1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0.8610503282,0,1,1,1,0,1,1,0,0.9037199125,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0.9514415781,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0.9962406015,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,1,1,0,0.3974763407,0,1,1,0,1,1,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,1,1,0,0.8301886792,0.1502927781,1,1,1,0,0.9973975277,0.828236825,0,0.8334417697,0.828236825,0.9973975277,1,1,1
0,0,0,0.9983660131,0.9983660131,0,0,0.9983660131,0.9983660131,0,0,0,0.9640522876,0,0,0,0,0,0,0,0,0,0,0,0.9983660131
