release time,life loan,ITEM_AMOUNT,MONEY_RATE
2015-06-26,15,100000,19
2015-06-26,30,400000,20
2015-06-26,90,15000000,20
2015-06-25,15,100000,19
2015-06-25,90,15000000,20
2015-06-24,30,700000,20
2015-06-24,30,300000,20
2015-06-24,15,100000,19
2015-06-24,30,400000,20
2015-06-24,90,15000000,20
2015-06-23,15,100000,19
2015-06-23,30,500000,20
2015-06-23,90,200000,20
2015-06-21,30,500000,20
2015-06-22,15,100000,19
2015-06-22,30,600000,20
2015-06-22,90,200000,20
2015-06-21,30,300000,20
2015-06-21,15,100000,19
2015-06-21,30,500000,20
2015-06-21,90,200000,20
2015-06-20,15,100000,19
2015-06-20,30,500000,20
2015-06-20,90,200000,20
2015-06-19,90,15000000,20
2015-06-19,15,100000,19
2015-06-19,30,300000,20
2015-06-19,30,500000,20
2015-06-19,90,15000000,20
2015-06-18,60,200000,20
2015-06-18,30,500000,20
2015-06-18,30,300000,20
2015-06-18,15,100000,19
2015-06-18,60,200000,20
2015-06-17,90,500000,20
2015-06-17,90,200000,20
2015-06-17,15,100000,19
2015-06-17,30,600000,20
2015-06-16,30,400000,20
2015-06-16,30,800000,20
2015-06-16,15,100000,19
2015-06-16,60,200000,20
2015-06-16,90,200000,20
2015-06-15,30,1630000,20
2015-06-15,30,400000,20
2015-06-15,15,100000,19
2015-06-15,30,800000,20
2015-06-15,60,200000,20
2015-06-15,90,200000,20
2015-06-14,15,100000,19
2015-06-14,30,1000000,20
2015-06-14,30,200000,20
2015-06-13,30,900000,20
2015-06-13,60,200000,20
2015-06-12,30,300000,20
2015-06-12,90,1000000,20
2015-06-12,30,600000,20
2015-06-12,90,200000,20
2015-06-11,30,900000,20
2015-06-11,60,200000,20
2015-06-11,90,200000,20
2015-06-11,30,430000,20
2015-06-11,30,765000,20
2015-06-11,30,500000,20
2015-06-11,90,200000,20
2015-06-11,15,100000,19
2015-06-11,60,200000,20
2015-06-11,30,800000,20
2015-06-10,30,400000,20
2015-06-10,60,200000,20
2015-06-10,15,100000,19
2015-06-10,60,200000,20
