release time,life loan
,184
,92
,30
,92
,61
,61
,30
,30
,61
,91
,30
,176
,183
,92
,26
,24
,25
,54
,177
,180
,177
,91
,27
,85
,26
,181
,90
,85
,178
,177
,24
,24
,179
,88
,24
,179
,177
,177
,86
,56
,85
,24
,179
,85
,25
,87
,178
,88
,85
,88
,178
,177
,177
,85
,24
,177
,88
,177
,179
,88
,24
,179
,87
,176
,176
,85
,23
,176
,84
,23
,176
,180
,176
,86
,84
,176
,84
,177
,84
,176
,85
,23
,85
,84
,85
,179
,176
,84
,177
,85
,176
,178
,84
,85
,178
,89
,84
,176
,84
,177
,84
,176
,176
,85
,176
,84
,84
,84
,176
,176
,23
,84
,85
,177
,84
,176
,84
,177
,23
,85
,176
,84
,84
,176
,84
,176
,84
,84
,85
,84
,86
,84
,84
,84
,84
,84
,54
,54
,54
,54
,55
,54
,54
,54
,54
,54
,54
,54
,24
,85
,24
,85
,85
,56
,85
,85
,86
,55
,54
,54
,54
,54
,54
,24
,85
,178
,24
,177
,178
,178
,86
,178
,86
,177
,178
,178
,177
,85
,54
,85
,180
,178
,89
,88
,85
,86
,85
,177
,177
,85
,85
,85
,85
,85
,24
,85
,85
,85
,85
,85
,85
,85
,85
,85
,85
,85
,85
,85
,85
,85
,82
,174
,52
,52
,174
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,174
,174
,82
,175
,52
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,21
,83
,83
,83
,83
,52
,52
,83
,83
,83
,83
,113
,113
,83
,113
,83
,83
,113
,113
,24
,24
,52
,175
,24
,83
,83
,83
,175
,24
,24
,174
,83
,174
,175
,24
,174
,83
,83
,174
,83
,24
,83
,174
,177
,174
,83
,24
,24
,83
,83
,175
,24
,83
,24
,83
,83
,83
,176
,83
,83
