release time,life loan
2015-06-14,360
2015-06-12,60
2015-06-07,60
2015-06-06,360
2015-06-06,360
2015-06-04,360
2015-06-03,360
2015-06-02,360
2015-06-02,360
2015-06-02,360
2015-06-02,360
2015-06-02,180
2015-05-26,360
2015-05-26,180
2015-05-25,360
2015-05-25,360
2015-05-25,60
2015-05-24,180
2015-05-24,360
2015-05-22,360
2015-05-22,360
2015-05-22,360
2015-05-22,360
2015-05-22,360
2015-05-20,720
2015-05-20,90
2015-05-20,360
2015-05-20,360
2015-05-19,180
2015-05-18,360
2015-05-18,360
2015-05-18,180
2015-05-18,360
2015-05-18,90
2015-05-18,360
2015-05-18,120
2015-05-17,180
2015-05-17,360
2015-05-17,360
2015-05-17,270
2015-05-16,360
2015-05-16,360
2015-05-16,360
2015-05-15,360
2015-05-15,360
2015-05-15,180
2015-05-15,150
2015-05-14,360
2015-05-14,360
2015-05-14,360
2015-05-14,360
2015-05-13,360
2015-05-13,360
2015-05-13,270
2015-05-12,720
2015-05-12,360
2015-05-12,360
2015-05-12,180
2015-05-12,360
2015-05-12,180
2015-05-11,360
2015-05-11,360
2015-05-10,360
2015-05-09,270
2015-05-09,360
2015-05-09,360
2015-05-09,360
2015-05-08,360
2015-05-08,360
2015-05-08,360
2015-05-08,360
2015-05-08,90
2015-05-07,360
2015-05-06,360
2015-05-06,360
2015-05-06,180
2015-05-06,360
2015-05-06,720
2015-05-05,180
2015-05-05,90
2015-05-05,360
2015-05-05,360
2015-05-04,360
2015-05-04,360
2015-05-04,360
2015-05-04,360
2015-05-04,360
2015-05-04,720
2015-05-04,720
2015-05-04,360
2015-05-04,180
2015-04-29,360
2015-04-29,360
2015-04-29,360
2015-04-29,360
2015-04-29,360
2015-04-28,180
2015-04-28,360
2015-04-28,360
2015-04-28,720
2014-12-14,270
2015-04-01,180
2014-12-03,3
2015-04-23,720
2015-01-03,90
2015-04-23,360
2014-07-30,30
2015-02-17,270
2015-03-01,180
2015-03-26,360
2013-11-22,90
2015-04-13,120
2015-03-13,180
2015-03-12,180
2013-11-18,60
2015-04-08,270
2014-11-13,60
2015-01-31,180
2015-03-14,270
2014-12-24,360
2015-03-17,360
2015-01-22,30
2015-04-18,360
2014-12-03,60
2014-12-28,360
2015-04-27,360
2015-03-06,60
2015-02-15,360
2015-04-06,180
2014-03-21,60
2014-07-07,270
2015-05-11,30
2015-03-02,30
2015-03-18,360
2013-11-06,360
2015-04-27,360
2015-04-15,270
2015-02-03,60
2015-02-01,180
2015-03-31,360
