release time,life loan,ITEM_AMOUNT,MONEY_RATE
2015-08-24,274,1770000,11.5
2015-08-24,182,370000,11
2015-08-24,182,280000,11
2015-08-24,182,570000,11
2015-08-24,182,340000,11
2015-08-24,182,280000,11
2015-08-23,182,540000,11
2015-08-23,183,960000,11
2015-08-23,183,480000,11
2015-08-23,183,260000,11
2015-08-23,183,1010000,11
2015-08-23,183,1160000,11
2015-08-22,183,1760000,11
2015-08-22,184,1760000,11
2015-08-22,274,670000,11.5
2015-08-22,184,1350000,11
2015-08-22,274,1500000,11.5
2015-08-22,184,1300000,11
2015-08-22,184,480000,11
2015-08-22,274,1100000,11.5
2015-08-22,274,500000,11.5
2015-08-22,184,1210000,11
2015-08-22,274,650000,11.5
2015-08-22,184,1120000,11
2015-08-22,184,300000,11
2015-08-22,274,700000,11.5
2015-08-22,184,520000,11
2015-08-22,274,1450000,11.5
2015-08-22,184,890000,11
2015-08-21,184,870000,11
2015-08-21,274,1720000,11.5
2015-08-21,185,620000,11
2015-08-21,184,330000,11
2015-08-21,275,1490000,11.5
2015-08-21,184,350000,11
2015-08-21,184,330000,11
2015-08-21,275,720000,11.5
2015-08-21,185,420000,11
2015-08-21,185,420000,11
2015-08-21,274,1610000,11.5
2015-08-21,184,290000,11
2015-08-21,184,290000,11
2015-08-21,274,1100000,11.5
2015-08-21,183,590000,11
2015-08-21,184,630000,11
2015-08-21,183,610000,11
2015-08-21,184,640000,11
2015-08-21,180,6000000,13
2015-08-21,184,880000,11
2015-08-21,273,680000,11.5
2015-08-21,273,700000,11.5
2015-08-21,272,350000,11.5
2015-08-20,183,590000,11
2015-08-20,184,540000,11
2015-08-20,184,480000,11
2015-08-20,184,480000,11
2015-08-20,271,1510000,11.5
2015-08-20,184,550000,11
2015-08-20,272,500000,11.5
2015-08-20,184,960000,11
2015-08-20,269,1470000,11.5
2015-08-20,184,1140000,11
2015-08-20,274,1560000,11.5
2015-08-20,184,990000,11
2015-08-20,269,750000,11.5
2015-08-19,182,1500000,11
2015-08-19,360,4000000,14
2015-08-19,269,600000,11.5
2015-08-19,270,500000,11.5
2015-08-19,183,1970000,11
2015-08-19,184,510000,11
2015-08-19,184,570000,11
2015-08-19,184,260000,11
2015-08-19,92,85000,10
2015-08-19,269,650000,11.5
2015-08-19,92,160000,10
2015-08-19,184,260000,11
2015-08-19,92,72000,10
2015-08-19,184,260000,11
2015-08-19,92,100000,10
2015-08-19,184,340000,11
2015-08-19,184,230000,11
2015-08-18,269,500000,11.5
2015-08-18,183,830000,11
2015-08-18,268,1160000,11.5
2015-08-18,185,1970000,11
2015-08-18,270,300000,11.5
2015-08-18,268,990000,11.5
2015-08-18,268,590000,11.5
2015-08-17,268,270000,11.5
2015-08-17,269,260000,11.5
2015-08-17,269,280000,11.5
2015-08-17,269,230000,11.5
2015-08-17,184,1920000,11
2015-08-17,184,1790000,11
2015-08-17,270,5000000,13.5
2015-08-16,269,230000,11.5
2015-08-15,272,400000,11.5
2015-08-15,270,1110000,11.5
2015-08-15,270,5000000,13.5
2015-08-15,271,270000,11.5
2015-08-15,184,1630000,11
2015-08-14,184,1470000,11
2015-08-14,271,570000,11.5
2015-08-14,183,280000,11
2015-08-14,183,250000,11
2015-08-14,183,250000,11
2015-08-14,183,190000,11
2015-08-14,360,10000000,14
2015-08-14,272,170000,11.5
2015-08-14,180,370000,11
2015-08-13,271,160000,11.5
2015-08-13,272,170000,11.5
2015-08-13,180,1310000,11
2015-08-13,272,160000,11.5
2015-08-13,181,1370000,11
2015-08-13,272,310000,11.5
2015-08-13,271,200000,11.5
2015-08-12,180,5000000,13
2015-08-12,181,710000,11
2015-08-12,182,600000,11
2015-08-12,272,350000,11.5
2015-08-12,92,50000,10
2015-08-12,92,92000,10
2015-08-12,269,600000,11.5
2015-08-12,182,540000,11
2015-08-12,269,200000,11.5
2015-08-12,182,490000,11
2015-08-12,269,200000,11.5
2015-08-12,182,450000,11
2015-08-11,269,650000,11.5
2015-08-11,178,920000,11
2015-08-11,179,480000,11
2015-08-11,179,280000,11
2015-08-11,179,260000,11
2015-08-11,268,1310000,11.5
2015-08-11,179,500000,11
2015-08-10,179,450000,11
2015-08-10,180,220000,11
2015-08-10,180,280000,11
2015-08-10,92,30000,10
2015-08-10,92,34000,10
2015-08-10,92,50000,10
2015-08-10,92,90000,10
2015-08-10,92,64000,10
2015-08-10,180,390000,11
2015-08-10,180,130000,11
2015-08-10,180,150000,11
2015-08-10,180,220000,11
2015-08-10,360,10000000,14
2015-08-10,180,270000,11
2015-08-09,180,2000000,13
2015-08-09,180,650000,11
2015-08-09,269,1420000,11.5
2015-08-09,180,220000,11
2015-08-09,180,150000,11
2015-08-09,180,130000,11
2015-08-09,270,600000,11.5
2015-08-09,270,300000,11.5
2015-08-09,180,300000,11
2015-08-09,270,120000,11.5
2015-08-09,269,130000,11.5
2015-08-09,269,180000,11.5
2015-08-09,180,1150000,11
2015-08-08,180,830000,11
2015-08-08,269,800000,11.5
2015-08-07,180,1410000,11
2015-08-07,181,1750000,11
2015-08-06,181,1300000,11
2015-08-06,360,5000000,14
2015-08-06,270,1450000,11.5
2015-08-06,182,730000,11
2015-08-06,91,280000,10
2015-08-05,182,630000,11
2015-08-05,360,5000000,14
2015-08-05,180,3000000,13
2015-08-05,360,5000000,14
2015-08-05,91,240000,10
2015-08-05,272,850000,11.5
2015-08-05,183,590000,11
2015-08-04,274,270000,11.5
2015-08-04,183,550000,11
2015-08-04,179,1750000,11
2015-08-04,274,570000,11.5
2015-08-04,274,310000,11.5
2015-08-04,179,270000,11
2015-08-04,184,490000,11
2015-08-04,274,400000,11.5
2015-08-04,274,260000,11.5
2015-08-03,178,440000,11
2015-08-03,184,360000,11
2015-08-03,179,410000,11
2015-08-03,185,350000,11
2015-08-03,185,270000,11
2015-08-03,360,5000000,14
2015-08-03,179,380000,11
2015-08-03,180,220000,11
2015-08-03,271,170000,11.5
2015-08-03,271,230000,11.5
2015-08-03,272,150000,11.5
2015-08-03,272,230000,11.5
2015-08-03,272,170000,11.5
2015-08-03,272,150000,11.5
2015-08-03,179,1550000,11
2015-08-02,272,130000,11.5
2015-08-02,272,510000,11.5
2015-08-02,179,780000,11
2015-08-02,272,150000,11.5
2015-08-02,272,130000,11.5
2015-08-02,272,130000,11.5
2015-08-02,180,920000,11
2015-08-01,181,1600000,11
2015-07-31,273,130000,11.5
2015-07-31,274,200000,11.5
2015-07-31,274,250000,11.5
2015-07-31,92,103000,10
2015-07-31,274,200000,11.5
2015-07-31,274,160000,11.5
2015-07-31,180,7000000,13
2015-07-31,92,70000,10
2015-07-31,183,150000,11
2015-07-31,92,198000,10
2015-07-31,183,130000,11
2015-07-31,183,150000,11
2015-07-31,274,200000,11.5
2015-07-31,183,220000,11
2015-07-30,182,650000,11
2015-07-30,273,150000,11.5
2015-07-30,182,180000,11
2015-07-30,273,150000,11.5
2015-07-30,273,130000,11.5
2015-07-30,273,150000,11.5
2015-07-30,273,170000,11.5
2015-07-30,273,510000,11.5
2015-07-30,273,450000,11.5
2015-07-30,273,130000,11.5
2015-07-30,272,570000,11.5
2015-07-30,272,300000,11.5
2015-07-30,272,450000,11.5
2015-07-29,180,8000000,13
2015-07-29,183,180000,11
2015-07-29,183,150000,11
2015-07-29,272,450000,11.5
2015-07-29,183,150000,11
2015-07-29,273,680000,11.5
2015-07-29,273,200000,11.5
2015-07-29,273,200000,11.5
2015-07-29,273,1270000,11.5
2015-07-28,180,10000000,13
2015-07-28,183,1740000,11
2015-07-28,183,620000,11
2015-07-28,274,1200000,11.5
2015-07-28,92,200000,10
2015-07-28,183,330000,11
2015-07-27,183,310000,11
2015-07-27,184,290000,11
2015-07-27,273,1180000,11.5
2015-07-27,184,270000,11
2015-07-27,274,1210000,11.5
2015-07-26,274,760000,11.5
2015-07-26,274,680000,11.5
2015-07-26,178,1070000,11
2015-07-26,179,280000,11
2015-07-26,179,650000,11
2015-07-26,360,5000000,14
2015-07-25,179,300000,11
2015-07-25,180,280000,11
2015-07-25,180,300000,11
2015-07-25,180,800000,11
2015-07-25,179,280000,11
2015-07-25,179,1030000,11
2015-07-25,179,710000,11
2015-07-25,179,1160000,11
2015-07-25,179,780000,11
2015-07-25,179,640000,11
2015-07-25,179,600000,11
2015-07-25,179,450000,11
2015-07-25,179,360000,11
2015-07-25,179,300000,11
2015-07-25,179,300000,11
2015-07-24,179,280000,11
2015-07-24,179,1360000,11
2015-07-24,274,300000,11.5
2015-07-24,274,300000,11.5
2015-07-24,274,680000,11.5
2015-07-24,274,680000,11.5
2015-07-24,274,170000,11.5
2015-07-23,180,1420000,11
2015-07-23,181,430000,11
2015-07-23,180,10000000,13
2015-07-23,177,300000,11
2015-07-23,272,350000,11.5
2015-07-23,177,300000,11
2015-07-22,360,6000000,14
2015-07-22,272,2200000,11.5
