DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-4-22,30,500000,18
2015-4-22,30,500000,18
2015-4-19,30,143718.83,21.6
2015-4-18,30,200000,21.6
2015-4-18,30,50755,21.6
2015-4-17,30,130000,21.6
2015-4-17,30,19245.09,21.6
2015-4-17,30,22834.51,21.6
2015-4-16,30,140000,21.6
2015-4-16,30,100000,21.6
2015-4-16,30,97165.49,21.6
2015-4-16,30,100000,21.6
2015-4-15,30,310404.92,21.6
2015-4-15,30,312111,21.6
2015-4-14,30,87888.02,21.6
2015-4-14,30,280000,21.6
2015-4-14,30,89333,21.6
2015-4-13,1,1200,0.48
2015-4-13,30,110666.73,21.6
2015-4-13,30,133992,21.6
2015-4-13,30,66008,21.6
2015-4-13,30,66007.19,21.6
2015-4-12,30,33992.81,21.6
2015-4-12,30,100000,21.6
2015-4-11,30,170000,21.6
2015-4-11,1,8888,0.48
2015-4-11,30,120000,21.6
2015-4-10,30,100000,21.6
2015-4-10,30,150000,21.6
2015-4-10,30,100000,21.6
2015-4-10,30,61886.2,21.6
2015-4-9,30,48113.8,21.6
2015-4-9,30,100090.51,21.6
2015-4-8,30,29909.49,21.6
2015-4-8,30,100000,21.6
2015-4-7,30,100000,21.6
2015-4-7,30,150000,21.6
2015-4-7,30,80000,21.6
2015-4-6,30,190000,21.6
2015-4-6,30,100000,21.6
2015-4-6,30,100000,21.6
2015-4-6,30,100000,21.6
2015-4-5,30,100000,21.6
2015-4-5,30,100000,21.6
2015-4-5,30,100000,21.6
2015-4-5,30,100000,21.6
2015-4-5,30,100000,21.6
,30,123123,12
2015-4-4,30,100000,21.6
2015-4-4,30,100000,21.6
2015-4-4,30,120000,21.6
2015-4-4,30,100000,21.6
2015-4-3,1,8888,0.48
2015-4-3,30,200000,21.6
2015-4-3,30,100000,21.6
2015-4-3,30,130000,21.6
2015-4-2,30,100000,21.6
2015-4-2,30,100000,21.6
2015-4-2,30,120000,21.6
2015-4-2,30,86932,21.6
2015-4-1,30,130000,21.6
2015-4-1,30,13068.59,21.6
2015-4-1,30,100000,21.6
,30,140000,21.6
2015-3-31,15,100000,0.11
2015-3-30,30,120000,21.6
2015-3-30,30,29487,21.6
2015-3-29,30,150000,21.6
2015-3-29,30,83981.66,21.6
2015-3-28,30,16532.82,21.6
2015-3-28,30,91154,21.6
2015-3-27,30,100000,21.6
2015-3-27,30,43026.61,21.6
2015-3-26,30,50000,21.6
2015-3-26,30,15818.21,21.6
2015-3-26,30,50000,21.6
2015-3-26,30,50000,21.6
2015-3-26,30,120000,21.6
2015-3-25,30,90000,21.6
2015-3-25,30,87000,21.6
2015-3-24,30,90000,21.6
2015-3-24,30,100000,21.6
2015-3-24,30,100000,21.6
2015-3-24,30,57049.37,21.6
2015-3-23,30,80950.63,21.6
2015-3-23,30,100000,21.6
2015-3-22,30,110000,21.6
2015-3-22,30,70000,21.6
2015-3-21,30,100000,21.6
2015-3-21,30,100000,21.6
2015-3-21,30,75520,21.6
2015-3-20,30,300000,21.6
2015-3-20,30,33355.38,21.6
2015-3-19,30,50000,21.6
2015-3-19,30,50000,21.6
2015-3-19,30,91123.37,21.6
2015-3-18,30,200000,21.6
2015-3-18,30,75957.47,21.6
2015-3-17,30,34042.53,21.6
2015-3-17,30,120000,21.6
2015-3-17,30,70000,21.6
2015-3-17,30,110000,21.6
2015-3-16,30,59000,21.6
2015-3-16,30,120000,21.6
2015-3-16,30,120000,21.6
2015-3-16,30,100000,21.6
2015-3-16,30,100000,21.6
2015-3-16,30,100000,21.6
2015-3-15,30,100000,21.6
2015-3-15,30,100000,21.6
2015-3-14,30,34162.25,21.6
2015-3-14,30,93914,21.6
2015-3-13,30,6086,21.6
2015-3-13,30,50000,21.6
2015-3-13,30,100000,21.6
2015-3-13,30,55267,21.6
2015-3-12,30,44732.16,21.6
2015-3-12,30,104000,21.6
2015-3-11,30,50000,21.6
2015-3-11,30,50000,21.6
2015-3-11,30,50000,21.6
2015-3-11,30,50000,21.6
2015-3-11,30,120000,21.6
2015-3-10,30,140000,21.6
2015-3-10,30,120000,21.6
2015-3-10,30,135000,21.6
2015-3-9,30,50000,21.6
2015-3-9,30,100000,21.6
2015-3-8,30,100000,21.6
2015-3-7,30,100000,21.6
2015-3-7,30,50000,21.6
2015-3-7,30,100000,21.6
2015-3-6,30,100000,21.6
2015-3-6,30,50000,21.6
2015-3-6,30,50000,21.6
2015-3-6,15,100000,0.11
2015-3-6,30,150000,21.6
2015-3-6,15,100000,0.11
2015-3-5,30,150000,21.6
2015-3-5,30,80000,21.6
2015-3-5,30,104000,21.6
2015-3-5,30,100000,21.6
2015-3-4,30,50000,21.6
2015-3-4,30,50000,21.6
2015-3-4,30,105367,21.6
2015-3-3,30,41632.33,21.6
2015-3-3,30,50000,21.6
2015-3-3,30,100000,21.6
2015-3-3,30,80000,21.6
2015-3-2,15,100000,0.1
2015-3-2,30,60000,21.6
2015-3-2,30,60000,21.6
2015-3-2,30,150000,21.6
2015-3-1,30,200000,21.6
2015-2-28,60,100000,21.6
2015-2-28,30,130000,21.6
2015-2-28,15,100000,0.1
2015-2-27,15,100000,0.1
2015-2-27,60,56186.16,21.6
2015-2-26,60,93813.84,21.6
2015-2-26,30,100000,21.6
2015-2-26,30,130000,21.6
2015-2-26,30,100000,21.6
2015-2-26,60,100000,21.6
2015-2-26,1,488888,0.48
2015-2-15,60,24214.81,21.6
2015-2-15,30,100000,21.6
2015-2-15,30,100000,21.6
2015-2-15,60,100000,21.6
2015-2-15,1,288888,0.58
2015-2-14,30,100000,21.6
2015-2-14,30,110000,21.6
2015-2-14,30,120000,21.6
2015-2-14,60,76000,21.6
2015-2-11,60,100000,21.6
2015-2-11,30,70.71,21.6
2015-2-10,30,21827.02,21.6
2015-2-10,30,50000,21.6
,60,50000,21.6
2015-2-9,60,215.44,21.6
2015-2-9,30,50000,21.6
2015-2-9,30,50000,21.6
2015-2-9,60,50000,21.6
2015-2-9,1,188888,0.58
2015-2-7,30,25694.14,21.6
,60,50000,21.6
2015-2-6,60,70000,21.6
2015-2-6,30,90000,21.6
2015-2-6,60,29567,21.6
2015-2-5,30,50000,21.6
2015-2-5,60,20432.48,21.6
2015-2-5,1,70694,0.58
2015-2-5,30,50000,21.6
2015-2-4,1,118193.27,0.58
2015-2-4,30,35600,21.6
2015-2-4,60,4102.3,21.6
2015-2-3,30,14418.28,21.6
2015-2-3,60,5162.19,21.6
2015-2-2,30,50000,21.6
2015-2-2,60,50000,21.6
2015-1-31,60,50000,21.6
2015-1-31,60,160000,21.6
2015-1-31,30,50529.9,21.6
2015-1-31,30,79600,21.6
2015-1-31,60,92351.34,21.6
2015-1-30,30,20387.63,21.6
2015-1-30,60,180000,21.6
2015-1-30,60,7648.66,21.6
2015-1-30,30,58313,21.6
2015-1-29,30,47892.11,21.6
2015-1-29,60,60000,21.6
2015-1-29,60,100000,21.6
2015-1-29,1,50000,0.38
2015-1-29,30,106206,21.6
2015-1-29,1,34813,0.58
2015-1-29,60,20735,21.6
2015-1-28,30,83793.87,21.6
2015-1-28,30,32110,21.6
2015-1-28,60,19265.39,21.6
2015-1-28,1,145187.11,0.58
2015-1-27,60,70000,21.6
2015-1-27,30,67889.31,21.6
2015-1-27,60,2004.21,21.6
,60,50000,21.6
2015-1-26,60,100000,21.6
2015-1-26,60,50000,21.6
2015-1-26,30,76000,21.6
2015-1-26,60,23686.64,21.6
2015-1-25,60,100000,21.6
2015-1-25,15,100000,0.12
2015-1-25,15,100000,0.12
2015-1-24,60,50000,21.6
2015-1-24,60,50000,21.6
2015-1-24,15,100000,0.12
2015-1-24,30,92847,21.6
2015-1-24,60,59480.95,21.6
2015-1-23,60,50000,21.6
2015-1-23,60,110000,21.6
2015-1-23,30,47152.41,21.6
