DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-01-20,45,100000,18
2015-01-20,dynamic,128888,10.8
2015-05-14,30,50000,18
2015-05-13,30,50000,18
2015-05-12,30,60000,12
2015-05-12,30,80000,18
2015-05-12,dynamic,68888,6.08
2015-05-11,30,80000,18
2015-05-09,30,50000,18
2015-05-08,30,50000,18
2015-05-08,30,50000,12
2015-05-08,dynamic,68888,6.08
2015-05-08,30,50000,18
2015-05-07,30,60000,18
2015-05-06,30,60000,18
2015-05-05,30,100000,18
2015-05-05,dynamic,68888,6.08
2015-05-05,30,17725,12
2015-05-05,30,80000,18
2015-05-04,30,80000,18
2015-05-01,30,150000,18
2015-04-30,30,120000,18
2015-04-30,30,80000,18
2015-04-30,30,50000,18
2015-04-30,30,100000,18
2015-04-30,30,120000,18
2015-04-30,7,70000,18
2015-04-29,30,80000,18
2015-04-29,7,70000,18
2015-04-28,30,70000,18
2015-04-28,7,70000,18
2015-04-27,30,80000,18
2015-04-27,7,70000,18
2015-04-25,30,60000,18
2015-04-25,30,46857,18
2015-04-25,7,70000,18
2015-04-24,30,90000,18
2015-04-24,7,70000,18
2015-04-23,30,80000,18
2015-04-23,30,90000,18
2015-04-23,7,70000,18
2015-04-22,30,120000,18
2015-04-22,30,70000,18
2015-04-22,7,70000,18
2015-04-21,30,80000,18
2015-04-21,7,70000,18
2015-04-20,30,50000,18
2015-04-20,30,70000,18
2015-04-20,7,70000,18
2015-04-18,30,70000,18
2015-04-18,30,90000,18
2015-04-18,7,70000,18
2015-04-17,30,50000,18
2015-04-17,30,70000,18
2015-04-17,30,80000,18
2015-04-17,7,70000,18
2015-04-16,30,80000,18
2015-04-16,7,70000,18
2015-04-15,30,80000,18
2015-04-15,7,70000,18
2015-04-14,30,70000,18
2015-04-14,7,70000,18
2015-04-13,30,60000,18
2015-04-13,30,90000,18
2015-04-13,7,70000,18
2015-04-11,30,70000,18
2015-04-11,7,70000,18
2015-04-10,7,70000,18
2015-04-10,30,80000,18
2015-04-09,30,80000,18
2015-04-09,7,70000,18
2015-04-08,30,70000,18
2015-04-08,7,70000,18
2015-04-07,30,70000,18
2015-04-07,7,70000,18
2015-04-03,30,80000,18
2015-04-03,30,100000,18
2015-04-03,30,70000,18
2015-04-03,7,80000,18
2015-04-02,30,40000,18
2015-04-02,30,70000,18
2015-04-02,7,50000,18
2015-04-01,30,100000,18
2015-03-31,30,40000,18
2015-03-31,30,80000,18
2015-03-30,30,80000,18
2015-03-28,30,100000,18
2015-03-28,30,80000,18
2015-03-27,30,120000,18
2015-03-27,30,80000,18
2015-03-26,30,60000,18
2015-03-26,30,90000,18
2015-03-25,30,100000,18
2015-03-24,30,100000,18
2015-03-23,60,100000,18
2015-03-23,30,80000,18
2015-01-31,10,100000,3
2015-01-24,45,50000,18
2015-03-04,10,50000,3
2015-03-01,30,50000,18
2015-02-28,dynamic,88888,8.88
2015-03-05,30,50000,18
2015-01-29,dynamic,32000,10.8
2015-03-01,dynamic,88888,8.88
2015-01-22,7,99996,3
2015-02-03,30,50000,18
2015-03-17,30,100000,18
2015-03-05,30,50000,18
2015-02-10,30,50000,18
2015-01-28,dynamic,75211,10.8
2015-01-26,dynamic,108888,10.8
2015-03-21,30,100000,18
2015-01-26,10,100000,3
2015-01-28,45,50000,18
2015-03-02,30,50000,18
2015-03-16,30,100000,18
2015-01-23,45,50000,18
2015-01-22,45,50000,18
2015-02-06,30,50000,18
2015-03-02,dynamic,88888,8.88
2015-02-28,30,50000,18
2015-01-24,10,100000,3
2015-03-03,10,50000,3
2015-03-06,30,100000,18
2015-03-07,30,100000,18
2015-03-10,30,100000,18
2015-02-05,30,50000,18
2015-03-18,30,70000,18
2015-01-27,45,50000,18
2015-02-28,30,100000,18
2015-01-27,10,100000,3
2015-01-30,dynamic,46023,10.8
2015-02-28,10,50000,3
2015-03-23,30,100000,18
2015-01-20,7,100000,3
2015-03-12,30,100000,18
2015-01-29,45,50000,18
2015-02-04,30,50000,18
2015-02-09,30,50000,18
2015-02-07,30,50000,18
2015-01-31,dynamic,46973,10.8
2015-01-30,10,100000,3
2015-01-21,7,100000,3
2015-03-05,10,50000,3
2015-03-19,30,100000,18
2015-03-18,30,100000,18
2015-01-28,10,100000,3
2015-01-26,45,50000,18
2015-03-14,30,70000,18
2015-03-10,30,70000,18
2015-01-21,dynamic,128888,10.8
2015-03-01,30,50000,18
2015-03-04,30,50000,18
2015-01-31,45,50000,18
2015-03-13,30,80000,18
2015-01-22,dynamic,128888,10.8
2015-01-27,dynamic,55025,10.8
2015-01-29,10,100000,3
2015-03-13,30,60000,18
2015-01-23,7,100000,3
2015-01-20,dynamic,88888,10.8
2015-03-03,30,50000,18
2015-03-01,10,50000,3
2015-01-21,45,50000,18
2015-01-30,45,50000,18
2015-02-02,30,50000,18
2015-03-09,30,100000,18
2015-03-20,30,100000,18
2015-03-11,30,100000,18
2015-01-24,dynamic,108888,10.8
2015-01-23,dynamic,127493,10.8
2015-03-02,10,50000,3
