RELEASETIME,LIFE_LOAN,ITEM_AMOUNT
2015-04-24,30,360000
2015-04-24,30,520000
2015-04-24,30,530000
2015-04-24,30,530000
2015-04-24,30,520000
2015-04-23,30,230000
2015-04-23,30,1150000
2015-04-22,30,1960000
2015-04-22,30,2120000
2015-04-22,30,60000
2015-04-22,30,1560000
2015-04-22,30,350000
2015-04-22,30,120000
2015-04-22,30,120000
2015-04-22,30,140000
2015-04-22,30,1560000
2015-04-21,30,580000
2015-04-21,30,90000
2015-04-21,30,320000
2015-04-20,30,1840000
2015-04-20,30,220000
2015-04-20,30,170000
2015-04-20,30,1770000
2015-04-20,30,420000
2015-04-20,30,850000
2015-04-20,30,100000
2015-04-20,30,5230000
2015-04-17,30,700000
2015-04-17,30,550000
2015-04-17,30,1320000
2015-04-17,30,1880000
2015-04-17,30,320000
2015-04-17,30,1040000
2015-04-17,30,2070000
2015-04-17,30,1620000
2015-04-17,30,70000
2015-04-17,30,100000
2015-04-17,30,2250000
2015-04-17,30,250000
2015-04-17,30,1050000
2015-04-16,30,550000
2015-04-16,30,1000000
2015-04-16,30,150000
2015-04-16,30,1560000
2015-04-16,30,1050000
2015-04-16,30,780000
2015-04-15,30,80000
2015-04-15,30,610000
2015-04-15,30,430000
2015-04-15,30,490000
2015-04-15,30,3150000
2015-04-15,30,220000
2015-04-15,30,900000
2015-04-14,30,320000
2015-04-14,30,2080000
2015-04-14,30,1820000
2015-04-14,30,40000
2015-04-14,30,150000
2015-04-14,30,840000
2015-04-14,30,330000
2015-04-14,30,310000
2015-04-14,30,250000
2015-04-14,30,950000
2015-04-13,30,60000
2015-04-13,30,170000
2015-04-13,30,1980000
2015-04-13,30,520000
2015-04-13,30,210000
2015-04-13,30,750000
2015-04-13,30,1450000
2015-04-13,30,2650000
2015-04-13,30,1530000
2015-04-10,30,80000
2015-04-10,30,480000
2015-04-10,30,5050000
2015-04-10,30,40000
2015-04-10,30,40000
2015-04-10,30,320000
2015-04-08,30,2000000
2015-04-08,30,120000
2015-04-08,30,150000
2015-04-08,30,730000
2015-04-08,30,840000
2015-04-08,30,180000
2015-04-08,30,230000
2015-04-08,30,1520000
2015-04-08,30,120000
2015-04-07,30,350000
2015-04-07,30,1530000
2015-04-07,30,2970000
2015-04-07,30,1500000
2015-04-03,30,810000
2015-04-03,30,320000
2015-04-03,30,640000
2015-04-03,30,3230000
2015-04-03,30,590000
2015-04-03,30,2380000
2015-04-03,30,310000
2015-04-03,30,2260000
2015-04-03,30,760000
2015-04-03,30,90000
2015-04-03,30,140000
2015-04-03,30,3280000
2015-04-03,30,160000
2015-04-03,30,1560000
2015-04-02,30,110000
2015-04-02,30,50000
2015-04-02,30,1500000
2015-04-02,30,1060000
2015-04-01,30,210000
2015-04-01,30,3160000
2015-04-01,30,1440000
2015-04-01,30,760000
2015-04-01,30,90000
2015-04-01,30,750000
2015-03-31,30,280000
2015-03-31,30,90000
2015-03-31,30,2040000
2015-03-31,30,200000
2015-03-31,30,200000
2015-03-30,30,1300000
2015-03-30,30,110000
2015-03-30,30,870000
2015-03-30,30,390000
2015-03-30,30,210000
2015-03-30,30,3870000
2015-03-30,30,1560000
2015-03-27,30,1900000
2015-03-27,30,1530000
2015-03-27,30,550000
2015-03-27,30,50000
2015-03-27,30,80000
2015-03-27,30,450000
2015-03-26,30,750000
2015-03-26,30,1500000
2015-03-25,30,120000
2015-03-24,30,1100000
2015-03-24,30,6280000
2015-03-24,30,1500000
2015-03-24,30,50000
2015-03-24,30,550000
2015-03-24,30,1360000
2015-03-24,30,600000
2015-03-23,30,1560000
2015-03-23,30,140000
2015-03-23,30,490000
2015-03-23,30,570000
2015-03-23,30,1680000
2015-03-23,30,730000
2015-03-23,30,1240000
2015-03-23,30,360000
2015-03-21,30,1500000
2015-03-20,30,1100000
2015-03-20,30,350000
2015-03-20,30,250000
2015-03-20,30,140000
2015-03-20,30,630000
2015-03-19,30,1750000
2015-03-19,30,1000000
2015-03-19,30,60000
2015-03-19,30,650000
2015-03-19,30,410000
2015-03-19,30,1000000
2015-03-18,30,30000
2015-03-18,30,2000000
2015-03-17,30,1840000
2015-03-17,30,1930000
2015-03-17,30,540000
2015-03-17,30,1320000
2015-03-16,30,1890000
2015-03-16,30,3440000
2015-03-16,30,2250000
2015-03-16,30,7990000
2015-03-16,30,1620000
2015-03-16,30,320000
2015-03-13,30,250000
2015-03-13,30,200000
2015-03-13,30,500000
2015-03-13,30,580000
2015-03-13,30,950000
2015-03-13,30,840000
2015-03-13,30,250000
2015-03-12,30,2000000
2015-03-12,30,330000
2015-03-12,30,160000
2015-03-11,30,210000
2015-03-11,30,320000
2015-03-11,30,690000
2015-03-11,30,620000
2015-03-10,30,480000
2015-03-10,30,240000
2015-03-10,30,80000
2015-03-09,30,530000
2015-03-09,30,170000
2015-03-06,30,840000
2015-03-06,30,1000000
2015-03-05,30,2000000
2015-03-05,30,280000
2015-03-05,30,100000
2015-03-05,30,3000000
2015-03-04,30,1500000
2015-03-04,30,3340000
2015-03-04,30,50000
2015-03-04,30,440000
2015-03-04,30,1500000
2015-03-03,30,1250000
2015-03-03,30,950000
2015-03-03,30,130000
2015-03-03,30,240000
2015-03-03,30,140000
2015-03-03,30,320000
2015-03-02,30,3280000
2015-03-02,30,120000
2015-03-02,30,190000
2015-02-28,30,760000
2015-02-28,30,90000
2015-02-27,30,160000
2015-02-27,30,1500000
2015-02-26,30,3000000
2015-02-15,30,2000000
2015-02-15,30,2070000
2015-02-15,30,2000000
2015-02-15,30,2000000
2015-02-15,30,1320000
2015-02-15,30,1890000
2015-02-15,30,380000
2015-02-15,30,590000
2015-02-15,30,350000
2015-02-15,30,7990000
2015-02-13,30,2250000
2015-02-13,30,200000
2015-02-13,30,310000
2015-02-13,30,240000
2015-02-13,30,950000
2015-02-13,30,560000
2015-02-13,30,250000
2015-02-13,30,450000
2015-02-13,30,500000
2015-02-13,30,260000
2015-02-13,30,1340000
2015-02-12,30,330000
2015-02-11,30,950000
2015-02-10,30,450000
2015-02-10,30,230000
2015-02-10,30,900000
2015-02-09,30,650000
2015-02-09,30,850000
2015-02-09,30,530000
2015-02-09,30,40000
2015-02-09,30,1530000
2015-02-09,30,250000
2015-02-06,30,2000000
2015-02-06,30,1530000
2015-02-06,30,1150000
2015-02-05,30,1260000
2015-02-05,30,1050000
2015-02-04,30,500000
2015-02-04,30,80000
2015-02-04,30,1150000
2015-02-04,30,410000
2015-02-03,30,2000000
2015-02-03,30,890000
2015-02-03,30,1050000
2015-02-03,30,750000
2015-02-02,30,1200000
2015-02-02,30,1280000
2015-02-02,30,90000
2015-02-02,30,330000
2015-02-02,30,1350000
2015-02-02,30,510000
2015-02-02,30,750000
2015-02-02,30,780000
2015-02-02,30,2000000
2015-02-02,30,820000
2015-02-02,30,450000
2015-01-30,30,850000
2015-01-30,30,80000
2015-01-30,30,590000
2015-01-30,30,950000
2015-01-30,30,450000
2015-01-30,30,1000000
2015-01-30,30,1250000
2015-01-30,30,1350000
2015-01-30,30,480000
2015-01-30,30,200000
2015-01-29,30,30000
2015-01-29,30,130000
2015-01-28,30,570000
2015-01-28,30,250000
2015-01-28,30,2470000
2015-01-27,30,310000
2015-01-27,30,2000000
2015-01-27,30,30000
2015-01-27,30,1890000
2015-01-26,30,1100000
2015-01-26,30,80000
2015-01-26,30,450000
2015-01-26,30,80000
2015-01-23,30,550000
2015-01-22,30,70000
2015-01-22,30,540000
2015-01-22,30,650000
2015-01-21,30,2450000
2015-01-21,30,650000
2015-01-21,30,160000
2015-01-20,30,40000
2015-01-20,30,70000
2015-01-20,30,370000
2015-01-19,30,1520000
2015-01-19,30,900000
2015-01-19,30,300000
2015-01-16,30,1320000
2015-01-16,30,170000
2015-01-16,30,2850000
2015-01-15,30,4130000
2015-01-14,30,1230000
2015-01-14,30,1170000
2015-01-14,30,320000
2015-01-14,30,1850000
2015-01-14,30,2850000
2015-01-14,30,560000
2015-01-13,30,520000
2015-01-13,30,240000
2015-01-13,30,950000
2015-01-13,30,150000
2015-01-13,30,930000
2015-01-13,30,2150000
2015-01-13,30,1440000
2015-01-12,30,500000
2015-01-12,30,730000
2015-01-12,30,500000
2015-01-12,30,270000
2015-01-12,30,1050000
2015-01-12,30,8140000
2015-01-09,30,1140000
2015-01-09,30,80000
