RELEASETIME,LIFE_LOAN,ITEM_AMOUNT
2015-07-27,30,110000
2015-07-27,30,420000
2015-07-27,30,780000
2015-07-27,30,300000
2015-07-27,30,130000
2015-07-27,30,320000
2015-07-27,30,150000
2015-07-27,30,70000
2015-07-27,30,800000
2015-07-27,30,1000000
2015-07-27,30,1250000
2015-07-27,30,150000
2015-07-27,30,60000
2015-07-27,30,830000
2015-07-27,30,580000
2015-07-27,30,220000
2015-07-27,30,630000
2015-07-27,30,200000
2015-07-27,30,210000
2015-07-27,30,470000
2015-07-27,30,250000
2015-07-27,30,260000
2015-07-27,30,160000
2015-07-27,30,650000
2015-07-27,30,4150000
2015-07-27,30,2250000
2015-07-27,30,850000
2015-07-27,30,230000
2015-07-27,30,140000
2015-07-27,30,150000
2015-07-26,30,150000
2015-07-26,30,260000
2015-07-26,30,1050000
2015-07-25,30,950000
2015-07-25,30,2030000
2015-07-25,30,1690000
2015-07-25,30,800000
2015-07-25,30,620000
2015-07-24,30,300000
2015-07-24,30,60000
2015-07-24,30,110000
2015-07-24,30,830000
2015-07-24,30,1960000
2015-07-24,30,540000
2015-07-24,30,60000
2015-07-24,30,1750000
2015-07-24,30,250000
2015-07-24,30,1000000
2015-07-24,30,500000
2015-07-24,30,1000000
2015-07-24,30,620000
2015-07-24,30,4770000
2015-07-23,30,1740000
2015-07-23,30,460000
2015-07-23,30,4110000
2015-07-23,30,400000
2015-07-23,30,170000
2015-07-23,30,1650000
2015-07-23,30,630000
2015-07-23,30,650000
2015-07-23,30,170000
2015-07-23,30,310000
2015-07-23,30,80000
2015-07-23,30,540000
2015-07-23,30,180000
2015-07-23,30,370000
2015-07-23,30,1370000
2015-07-23,30,120000
2015-07-23,30,1000000
2015-07-23,30,110000
2015-07-23,30,2550000
2015-07-23,30,1040000
2015-07-23,30,1350000
2015-07-23,30,1000000
2015-07-23,30,1550000
2015-07-22,30,50000
2015-07-22,30,50000
2015-07-22,30,260000
2015-07-22,30,870000
2015-07-22,30,60000
2015-07-22,30,150000
2015-07-22,30,190000
2015-07-22,30,280000
2015-07-22,30,1850000
2015-07-22,30,1650000
2015-07-22,30,90000
2015-07-22,30,2750000
2015-07-22,30,620000
2015-07-22,30,60000
2015-07-22,30,540000
2015-07-21,30,100000
2015-07-21,30,1000000
2015-07-21,30,470000
2015-07-21,30,190000
2015-07-21,30,450000
2015-07-21,30,190000
2015-07-21,30,1000000
2015-07-21,30,840000
2015-07-21,30,240000
2015-07-21,30,210000
2015-07-21,30,160000
2015-07-21,30,360000
2015-07-21,30,470000
2015-07-21,30,1000000
2015-07-21,30,1570000
2015-07-21,30,1550000
2015-07-21,30,750000
2015-07-20,30,1000000
2015-07-20,30,1500000
2015-07-20,30,850000
2015-07-20,30,110000
2015-07-20,30,2950000
2015-07-20,30,1040000
2015-07-20,30,50000
2015-07-20,30,1500000
2015-07-20,30,480000
2015-07-20,30,150000
2015-07-20,30,200000
2015-07-20,30,2850000
2015-07-20,30,850000
2015-07-20,30,1000000
2015-07-19,30,1100000
2015-07-18,30,2270000
2015-07-18,30,4420000
2015-07-18,30,420000
2015-07-18,30,520000
2015-07-18,30,200000
2015-07-18,30,1000000
2015-07-18,30,2550000
2015-07-17,30,200000
2015-07-17,30,1000000
2015-07-17,30,480000
2015-07-17,30,80000
2015-07-17,30,200000
2015-07-17,30,1000000
2015-07-17,30,70000
2015-07-17,30,290000
2015-07-17,30,550000
2015-07-17,30,370000
2015-07-17,30,830000
2015-07-17,30,60000
2015-07-16,30,1260000
2015-07-16,30,860000
2015-07-16,30,850000
2015-07-16,30,1650000
2015-07-16,30,1420000
2015-07-16,30,50000
2015-07-16,30,1770000
2015-07-16,30,1000000
2015-07-16,30,2350000
2015-07-16,30,110000
2015-07-16,30,850000
2015-07-16,30,5000000
2015-07-16,30,850000
2015-07-16,30,2850000
2015-07-16,30,400000
2015-07-16,30,6250000
2015-07-16,30,500000
2015-07-16,30,120000
2015-07-16,30,110000
2015-07-16,30,650000
2015-07-16,30,80000
2015-07-16,30,2750000
2015-07-16,30,570000
2015-07-15,30,470000
2015-07-15,30,1400000
2015-07-15,30,650000
2015-07-15,30,250000
2015-07-15,30,1080000
2015-07-15,30,200000
2015-07-15,30,950000
2015-07-15,30,50000
2015-07-15,30,260000
2015-07-15,30,870000
2015-07-15,30,110000
2015-07-15,30,1150000
2015-07-15,30,1570000
2015-07-14,30,160000
2015-07-14,30,600000
2015-07-14,30,110000
2015-07-14,30,680000
2015-07-14,30,1380000
2015-07-14,30,1460000
2015-07-14,30,160000
2015-07-14,30,430000
2015-07-14,30,1750000
2015-07-14,30,530000
2015-07-14,30,60000
2015-07-14,30,840000
2015-07-14,30,90000
2015-07-14,30,640000
2015-07-14,30,40000
2015-07-14,30,70000
2015-07-14,30,110000
2015-07-14,30,1450000
2015-07-14,30,1050000
2015-07-14,30,170000
2015-07-14,30,2000000
2015-07-14,30,410000
2015-07-14,30,90000
2015-07-14,30,210000
2015-07-13,30,320000
2015-07-13,30,100000
2015-07-13,30,40000
2015-07-13,30,6060000
2015-07-13,30,520000
2015-07-13,30,310000
2015-07-13,30,140000
2015-07-13,30,150000
2015-07-13,30,1150000
2015-07-12,30,160000
2015-07-12,30,60000
2015-07-12,30,60000
2015-07-12,30,4670000
2015-07-12,30,170000
2015-07-12,30,520000
2015-07-11,30,190000
2015-07-11,30,1850000
2015-07-11,30,140000
2015-07-11,30,1070000
2015-07-11,30,1030000
2015-07-11,30,230000
2015-07-11,30,3250000
2015-07-11,30,560000
2015-07-11,30,400000
2015-07-11,30,6250000
2015-07-11,30,450000
2015-07-10,30,260000
2015-07-10,30,390000
2015-07-10,30,200000
2015-07-10,30,450000
2015-07-10,30,850000
2015-07-10,30,270000
2015-07-10,30,300000
2015-07-10,30,190000
2015-07-10,30,360000
2015-07-10,30,190000
2015-07-10,30,550000
2015-07-10,30,2850000
2015-07-10,30,360000
2015-07-10,30,570000
2015-07-10,30,240000
2015-07-10,30,100000
2015-07-10,30,870000
2015-07-10,30,820000
2015-07-10,30,2150000
2015-07-10,30,350000
2015-07-10,30,310000
2015-07-10,30,420000
2015-07-10,30,220000
2015-07-10,30,110000
2015-07-10,30,970000
2015-07-10,30,570000
2015-07-09,30,1750000
2015-07-09,30,650000
2015-07-09,30,70000
2015-07-09,30,180000
2015-07-09,30,2560000
2015-07-09,30,200000
2015-07-09,30,50000
2015-07-09,30,420000
2015-07-09,30,90000
2015-07-09,30,40000
2015-07-09,30,60000
2015-07-09,30,780000
2015-07-09,30,100000
2015-07-09,30,240000
2015-07-09,30,180000
2015-07-09,30,160000
2015-07-08,30,3870000
2015-07-08,30,80000
2015-07-08,30,1720000
2015-07-08,30,60000
2015-07-08,30,920000
2015-07-08,30,1770000
2015-07-08,30,60000
2015-07-08,30,250000
2015-07-08,30,850000
2015-07-07,30,720000
2015-07-07,30,1550000
2015-07-07,30,60000
2015-07-07,30,50000
2015-07-07,30,1850000
2015-07-07,30,350000
2015-07-07,30,550000
2015-07-07,30,270000
2015-07-07,30,60000
2015-07-07,30,40000
2015-07-07,30,80000
2015-07-07,30,250000
2015-07-07,30,1250000
2015-07-07,30,470000
2015-07-07,30,850000
2015-07-07,30,2000000
2015-07-07,30,350000
2015-07-06,30,2060000
2015-07-06,30,530000
2015-07-06,30,470000
2015-07-06,30,50000
2015-07-06,30,630000
2015-07-06,30,750000
2015-07-06,30,500000
2015-07-06,30,1350000
2015-07-06,30,6750000
2015-07-06,30,720000
2015-07-06,30,770000
2015-07-06,30,500000
2015-07-06,30,940000
2015-07-05,30,2250000
2015-07-05,30,110000
2015-07-05,30,4150000
2015-07-05,30,1080000
2015-07-04,30,650000
2015-07-04,30,1280000
2015-07-04,30,4950000
2015-07-04,30,160000
2015-07-04,30,440000
