release time,life loan,ITEM_AMOUNT
2015-05-16,270,\N
2015-05-16,180,\N
2015-05-16,60,\N
2015-05-16,90,\N
2015-05-15,90,\N
2015-05-15,180,\N
2015-05-15,90,\N
2015-05-15,60,\N
2015-05-15,30,\N
2015-05-15,60,\N
2015-05-15,30,\N
2015-05-15,30,\N
2015-05-15,30,\N
2015-05-15,30,\N
2015-05-14,90,\N
2015-05-14,270,\N
2015-05-14,180,\N
2015-05-14,90,\N
2015-05-14,30,\N
2015-05-14,30,\N
2015-05-14,270,\N
2015-05-14,30,\N
2015-05-13,180,\N
2015-05-13,60,\N
2015-05-13,90,\N
2015-05-13,270,\N
2015-05-13,180,\N
2015-05-13,90,\N
2015-05-12,90,\N
2015-05-12,60,\N
2015-05-12,60,\N
2015-05-12,270,\N
2015-05-12,180,\N
2015-05-12,90,\N
2015-05-12,60,\N
2015-05-12,60,\N
2015-05-11,60,\N
2015-05-11,90,130000
2015-05-11,270,\N
2015-05-11,60,\N
2015-05-11,180,\N
2015-05-11,90,\N
2015-05-10,90,\N
2015-05-10,60,\N
2015-05-10,180,\N
2015-05-09,90,\N
2015-05-09,60,\N
2015-05-09,270,\N
2015-05-09,180,\N
2015-05-09,90,130000
2015-05-09,90,\N
2015-05-09,60,\N
2015-05-08,30,\N
2015-05-08,180,170000
2015-05-08,270,\N
2015-05-08,30,\N
2015-05-08,90,150000
2015-05-08,30,\N
2015-05-08,180,\N
2015-05-08,90,\N
2015-05-08,30,\N
2015-05-07,30,\N
2015-05-07,30,\N
2015-05-07,90,\N
2015-05-07,270,\N
2015-05-07,30,\N
2015-05-07,180,\N
2015-05-07,30,\N
2015-05-07,90,\N
2015-05-07,60,\N
2015-05-07,30,\N
2015-05-06,30,\N
2015-05-06,270,\N
2015-05-06,90,\N
2015-05-06,180,\N
2015-05-06,90,\N
2015-05-06,30,\N
2015-05-06,60,\N
2015-05-06,90,\N
2015-05-06,60,\N
2015-05-06,30,\N
2015-05-05,90,\N
2015-05-05,30,\N
2015-05-05,30,\N
2015-05-05,30,\N
2015-05-05,90,\N
2015-05-05,60,\N
2015-05-05,270,\N
2015-05-05,180,\N
2015-05-05,60,\N
2015-05-05,90,\N
2015-05-04,30,\N
2015-05-04,30,\N
2015-05-04,270,\N
2015-05-04,60,\N
2015-05-04,60,\N
2015-05-04,180,\N
2015-05-04,30,\N
2015-05-04,90,\N
2015-05-04,270,\N
2015-05-04,180,\N
2015-05-04,90,\N
2015-05-04,60,\N
2015-04-30,60,\N
2015-04-30,30,\N
2015-04-30,270,\N
2015-04-30,180,\N
2015-04-30,180,\N
2015-04-30,90,\N
2015-04-30,60,\N
2015-04-30,30,150000
2015-04-30,300,\N
2015-04-30,60,\N
2015-04-30,90,\N
2015-04-30,30,\N
2015-04-30,30,\N
2015-04-30,30,\N
2015-04-30,90,\N
2015-04-30,60,\N
2015-04-30,90,\N
2015-04-30,90,\N
2015-04-30,270,\N
2015-04-30,180,\N
2015-04-30,90,\N
2015-04-30,60,\N
2015-04-30,90,\N
2015-04-29,30,\N
2015-04-29,30,\N
2015-04-29,60,\N
2015-04-29,270,\N
2015-04-29,60,\N
2015-04-29,60,\N
2015-04-29,180,\N
2015-04-29,90,\N
2015-04-29,60,\N
2015-04-29,90,\N
2015-04-29,30,\N
2015-04-29,60,\N
2015-04-29,60,\N
2015-04-29,270,\N
2015-04-29,180,\N
2015-04-29,90,\N
2015-04-29,60,\N
2015-04-29,30,\N
2015-04-29,90,\N
2015-04-29,30,\N
2015-04-28,30,\N
2015-04-28,90,\N
2015-04-28,60,\N
2015-04-28,90,\N
2015-04-28,90,\N
2015-04-28,180,\N
2015-04-28,90,\N
2015-04-28,270,\N
2015-04-28,180,\N
2015-04-28,90,\N
2015-04-28,30,\N
2015-04-28,60,\N
2015-04-28,30,\N
2015-04-28,60,\N
2015-04-28,60,\N
2015-04-27,300,\N
2015-04-27,30,\N
2015-04-27,90,\N
2015-04-27,180,\N
2015-04-27,90,\N
2015-04-27,30,\N
2015-04-27,90,\N
2015-04-27,60,\N
2015-04-27,90,\N
2015-04-27,270,\N
2015-04-27,180,\N
2015-04-27,180,\N
2015-04-27,90,\N
2015-04-27,30,\N
2015-04-27,60,\N
2015-04-27,30,\N
2015-04-25,30,\N
2015-04-25,300,\N
2015-04-25,300,120000
2015-04-25,60,\N
2015-04-25,180,\N
2015-04-25,300,120000
2015-04-25,90,\N
2015-04-25,300,200000
2015-04-25,60,\N
2015-04-25,270,\N
2015-04-25,180,\N
2015-04-25,90,\N
2015-04-25,30,\N
2015-04-24,300,200000
2015-04-24,30,\N
2015-04-24,300,120000
2015-04-24,90,\N
2015-04-24,300,\N
2015-04-24,60,\N
2015-04-24,90,\N
2015-04-24,270,\N
2015-04-24,180,\N
2015-04-24,90,\N
2015-04-24,90,\N
2015-04-24,30,\N
2015-04-24,90,\N
2015-04-23,30,\N
2015-04-23,300,\N
2015-04-23,90,\N
2015-04-23,270,\N
2015-04-23,180,\N
2015-04-23,180,\N
2015-04-23,180,\N
2015-04-23,270,\N
2015-04-23,90,\N
2015-04-23,60,\N
2015-04-23,300,\N
2015-04-22,30,\N
2015-04-22,300,200000
2015-04-22,90,\N
2015-04-22,270,150000
2015-04-22,180,\N
2015-04-22,180,\N
2015-04-22,180,\N
2015-04-22,90,\N
2015-04-22,300,\N
2015-04-22,300,\N
2015-04-22,300,200000
2015-04-22,180,\N
2015-04-22,270,\N
2015-04-22,270,\N
2015-04-22,90,\N
2015-04-22,60,\N
2015-04-22,30,\N
2015-04-21,180,\N
2015-04-21,270,150000
2015-04-21,180,120000
2015-04-21,30,\N
2015-04-21,90,\N
2015-04-21,300,\N
2015-04-21,180,\N
2015-04-21,300,\N
2015-04-21,300,\N
2015-04-21,300,200000
2015-04-21,180,\N
2015-04-21,270,\N
2015-04-21,90,\N
2015-04-21,30,\N
2015-04-21,300,\N
2015-04-21,60,\N
2015-04-20,270,\N
2015-04-20,30,\N
2015-04-20,180,\N
2015-04-20,90,\N
2015-04-20,90,\N
2015-04-20,180,\N
2015-04-20,180,120000
2015-04-20,90,120000
2015-04-20,30,\N
2015-04-20,300,\N
2015-04-20,180,\N
2015-04-20,270,\N
2015-04-20,180,\N
2015-04-20,180,\N
2015-04-20,90,\N
2015-04-20,60,\N
2015-04-20,270,\N
2015-04-20,270,\N
2015-04-18,30,\N
2015-04-18,60,\N
2015-04-18,270,\N
2015-04-18,270,\N
2015-04-18,180,\N
2015-04-18,300,\N
2015-04-18,180,\N
2015-04-18,90,\N
2015-04-18,180,\N
2015-04-18,60,\N
2015-04-18,30,\N
2015-04-18,270,\N
2015-04-17,30,\N
2015-04-17,60,\N
2015-04-17,90,130000
2015-04-17,270,\N
2015-04-17,90,\N
2015-04-17,180,\N
2015-04-17,90,\N
2015-04-17,60,\N
2015-04-17,90,\N
2015-04-17,270,200000
2015-04-17,180,110000
2015-04-17,30,\N
2015-04-17,30,\N
2015-04-17,270,\N
2015-04-17,180,150000
2015-04-17,180,\N
2015-04-16,180,\N
2015-04-16,30,\N
2015-04-16,180,\N
2015-04-16,60,\N
2015-04-16,270,\N
2015-04-16,90,\N
2015-04-16,270,\N
2015-04-16,180,\N
2015-04-16,90,\N
2015-04-16,180,\N
2015-04-16,180,\N
2015-04-16,60,\N
2015-04-16,30,\N
2015-04-15,30,\N
2015-04-15,270,130000
2015-04-15,90,\N
2015-04-15,270,110000
2015-04-15,270,\N
2015-04-15,180,\N
2015-04-15,180,\N
2015-04-15,90,\N
2015-04-15,60,\N
2015-04-15,30,\N
2015-04-14,30,\N
2015-04-14,90,\N
2015-04-14,90,\N
2015-04-14,270,\N
2015-04-14,180,\N
2015-04-14,90,\N
2015-04-14,180,\N
2015-04-14,90,\N
2015-04-14,60,\N
2015-04-14,30,\N
2015-04-14,270,\N
2015-04-13,90,\N
2015-04-13,30,\N
2015-04-13,180,\N
2015-04-13,90,\N
2015-04-13,270,\N
2015-04-13,180,\N
2015-04-13,180,\N
2015-04-13,90,\N
2015-04-13,180,\N
2015-04-13,90,\N
2015-04-13,60,\N
2015-04-13,270,\N
2015-04-13,30,\N
2015-04-13,90,\N
2015-04-11,30,\N
2015-04-11,180,\N
2015-04-11,90,\N
2015-04-11,270,\N
2015-04-11,270,\N
2015-04-11,180,\N
2015-04-11,90,\N
2015-04-11,30,\N
2015-04-11,90,180000
2015-04-11,180,140000
2015-04-11,180,\N
2015-04-10,270,\N
2015-04-10,30,\N
2015-04-10,60,\N
2015-04-10,180,\N
2015-04-10,270,\N
2015-04-10,30,\N
2015-04-10,90,\N
2015-04-10,180,\N
2015-04-10,60,\N
2015-04-10,270,210000
2015-04-10,270,\N
2015-04-10,30,\N
2015-04-10,270,\N
2015-04-09,30,\N
2015-04-09,60,\N
2015-04-09,270,\N
2015-04-09,270,\N
2015-04-09,180,\N
2015-04-09,270,\N
2015-04-09,90,\N
2015-04-09,180,\N
2015-04-09,30,\N
2015-04-09,60,\N
2015-04-09,30,\N
2015-04-09,180,\N
2015-04-08,30,\N
