release time,life loan,ITEM_AMOUNT
,15,190000
,15,180000
,15,180000
,15,120000
,180,56480
,15,130000
,30,380000
,30,400000
,30,500000
,15,90000
,15,200000
,180,70600
,360,\N
,15,220000
,30,400000
,30,300000
,30,180000
,30,240000
,30,250000
,30,150000
,30,350000
,180,56480
,90,\N
,180,\N
,90,\N
,30,130000
,360,\N
,180,\N
,90,\N
,90,56480
,90,\N
,30,320000
,30,270000
,30,400000
,30,180000
,180,\N
,90,\N
,30,160000
,180,56480
,30,300000
,30,260000
,30,210000
,30,330000
,30,210000
,30,120000
,30,480000
,90,\N
,30,300000
,30,42360
,90,100800
,30,150000
,30,56480
,30,400000
,180,56480
,30,56480
,180,\N
,180,100000
,30,240000
,30,230000
,30,200000
,30,42360
,30,56480
,30,56480
,30,150000
,90,\N
,30,170000
,30,260000
,30,350000
,30,300000
,30,350000
,30,120000
,15,260000
,30,340000
,90,56480
,30,200000
,180,\N
,30,150000
,30,350000
,30,350000
,30,150000
,30,150000
,30,300000
,90,56480
,30,240000
,30,190000
,30,400000
,30,280000
,30,560000
,30,56480
,90,42360
,30,180000
,15,230000
,30,260000
,30,350000
,90,\N
,30,300000
,30,380000
,15,200000
,90,42300
,30,110000
,30,350000
,15,180000
,180,\N
,30,90000
,15,240000
,15,250000
,15,250000
,15,200000
,90,\N
,30,42360
,30,200000
,15,230000
,15,220000
,90,\N
,30,200000
,30,200000
,15,200000
,30,160000
,30,100000
,90,70600
,30,330000
,30,200000
,180,\N
,30,300000
,30,80000
,180,\N
,30,280000
,30,300000
,90,\N
,30,240000
,30,270000
,15,200000
,15,200000
,15,200000
,15,200000
,30,300000
,30,300000
,30,250000
,30,180000
,30,330000
,360,56480
,30,150000
,90,\N
,30,330000
,30,240000
,30,250000
,30,200000
,30,270000
,30,250000
,30,240000
,90,56480
,30,150000
,30,120000
,30,160000
,30,160000
,360,\N
,90,\N
,30,100000
,30,280000
,30,160000
,30,210000
,30,56480
,90,\N
,90,\N
,360,42360
,30,240000
,15,200000
,30,240000
,30,250000
,30,200000
,30,100000
,30,150000
,30,300000
,30,180000
,30,300000
,180,42360
,15,200000
,15,250000
,15,150000
,30,150000
,180,\N
,30,110000
,30,250000
,30,320000
,30,210000
,30,56480
,30,200000
,30,130000
,30,160000
,30,150000
,30,230000
,30,100000
,15,250000
,30,150000
,30,120000
,90,56480
,30,150000
,30,120000
,30,120000
,30,120000
,30,140000
,30,100000
,30,120000
,90,\N
,180,61000
,15,400000
,30,210000
,30,70000
,30,70000
,30,160000
,30,60000
,30,42360
,30,150000
,30,200000
,30,250000
,30,150000
,180,80000
,30,80000
,15,300000
,15,300000
,15,300000
,15,90000
,180,\N
,90,30000
,30,200000
,30,130000
,30,150000
,90,\N
,30,250000
,30,280000
,30,210000
,30,100000
,30,210000
,30,210000
,30,86400
,30,200000
,30,200000
,30,200000
,30,260000
,30,140000
,30,30000
,30,120000
,30,200000
,30,80000
,180,\N
,30,40000
,90,20000
,30,260000
,30,550000
,30,200000
,30,410000
,180,\N
,30,100000
,30,150000
,30,200000
,30,400000
,30,160000
,30,120000
,30,260000
,30,360000
,30,190000
,30,200000
,90,\N
,15,100000
,30,250000
,30,240000
,30,150000
,30,201000
,30,210000
,30,160000
,90,\N
,30,150000
,90,\N
,180,\N
,15,70000
,15,90000
,15,70000
,30,120000
,30,40000
,90,\N
,30,160000
,30,120000
,30,100000
,30,120000
,30,250000
,30,260000
,30,240000
,30,200000
,30,160000
,30,150000
,30,80000
,30,60000
,30,220000
,30,370000
,15,100000
,15,200000
,15,70000
,15,70000
,15,200000
,30,250000
,30,230000
,30,250000
,30,200000
,30,250000
,30,160000
,30,260000
,30,160000
,180,\N
,30,150000
,90,\N
,30,250000
,15,200000
,30,\N
,15,230000
,30,150000
,30,150000
,90,\N
,30,200000
,30,180000
,30,200000
,30,80000
,90,\N
,30,70000
,30,50000
,30,\N
,30,250000
,30,160000
,30,200000
,30,150000
,30,250000
,30,60000
,30,200000
,30,470000
,180,\N
,90,\N
,30,470000
,30,300000
,30,150000
,30,200000
,30,240000
,30,160000
,30,140000
,30,250000
,30,140000
,30,210000
,30,140000
,15,200000
,15,200000
,15,150000
,30,150000
,30,150000
,30,180000
,30,250000
,30,240000
,30,180000
,90,\N
,30,180000
,30,180000
,180,\N
,30,130000
,15,200000
,30,220000
,30,360000
,30,180000
,30,180000
,30,220000
,30,160000
,30,100000
,15,200000
,15,220000
,30,250000
,360,\N
,180,\N
,30,220000
,30,300000
,30,240000
,15,220000
,30,250000
,360,\N
,15,230000
,15,230000
,90,\N
,30,150000
,30,220000
,30,\N
,180,\N
,30,150000
,30,230000
,30,240000
,30,250000
,30,300000
,30,250000
,30,250000
,90,\N
,30,250000
,180,\N
,180,\N
,30,240000
,30,200000
,30,240000
,30,220000
,30,300000
,30,170000
,30,290000
,30,230000
,15,230000
,30,240000
,90,\N
,30,\N
,15,220000
,15,220000
,30,350000
,30,290000
,30,450000
,30,350000
,15,250000
,30,290000
,90,\N
,90,\N
,30,900000
,30,300000
,30,160000
,30,230000
,30,200000
,30,280000
,30,350000
,30,290000
,180,\N
,180,\N
,30,290000
,30,240000
,30,240000
,30,240000
,30,290000
,30,300000
,90,\N
,360,\N
,30,220000
,30,220000
,15,200000
,15,120000
,30,150000
,15,230000
,360,\N
,15,200000
,15,200000
,30,350000
,30,300000
,30,250000
,30,290000
,15,240000
,30,300000
,30,280000
,30,300000
,30,280000
,30,230000
,30,290000
,90,\N
,30,220000
,30,230000
,30,280000
,30,290000
,90,\N
,15,290000
,30,290000
,15,200000
,90,\N
,30,80000
,30,220000
,180,\N
,90,\N
,30,230000
,30,280000
,30,300000
,90,\N
,30,220000
,180,\N
,15,200000
,30,200000
,15,230000
,30,280000
,30,280000
,30,280000
,15,250000
,15,\N
,30,350000
,30,300000
,30,300000
,30,250000
,30,200000
,180,\N
,180,\N
,180,\N
,15,\N
,30,350000
,30,300000
,360,\N
,30,350000
,30,200000
,30,300000
,360,\N
,90,\N
,360,\N
,30,280000
,360,\N
,180,\N
,30,210000
,15,\N
,180,\N
,90,\N
,90,\N
,30,300000
,15,\N
,30,300000
,15,\N
,15,\N
,90,\N
,30,200000
,90,\N
,90,\N
,30,350000
,180,\N
,30,290000
,15,\N
,30,180000
,90,\N
,90,\N
,30,300000
,30,300000
,180,\N
,15,\N
,30,250000
,360,\N
,30,270000
,90,\N
,15,\N
,15,\N
,30,300000
,30,300000
,30,180000
,30,250000
,30,250000
,90,\N
,30,200000
,15,\N
,30,220000
,30,290000
,30,290000
,15,\N
,15,\N
,90,\N
,30,350000
,30,400000
,30,500000
,30,300000
,30,200000
,30,200000
,30,200000
,30,200000
,90,\N
,180,\N
,15,\N
,30,290000
,30,290000
,30,300000
,30,200000
,30,300000
,30,200000
,15,\N
,15,\N
,30,220000
,30,200000
,90,\N
,30,300000
,180,\N
,360,\N
,30,350000
,30,300000
,30,300000
,30,350000
,30,500000
,30,350000
,30,370000
,15,\N
,15,\N
,30,290000
,15,\N
,30,300000
,30,300000
,30,270000
,15,\N
,90,\N
,30,300000
,15,\N
,30,270000
,90,\N
,30,270000
,15,\N
,180,\N
,30,270000
,30,200000
,15,\N
,30,290000
,30,200000
,30,280000
,30,270000
,30,250000
,180,\N
,30,270000
,30,370000
,30,270000
,30,240000
,30,290000
,30,290000
,90,\N
,30,250000
,30,290000
,180,\N
,15,160000
,30,290000
,30,290000
,30,300000
,30,200000
,30,350000
,30,350000
,90,\N
,30,290000
,30,500000
,30,350000
,30,200000
,30,280000
,30,200000
,30,280000
,30,200000
,30,300000
,30,300000
,30,280000
,30,160000
,30,300000
,180,\N
,30,270000
,30,500000
,30,300000
,30,300000
,90,80000
,30,200000
,30,300000
,30,260000
,30,240000
,30,260000
,30,260000
,30,260000
,30,260000
,30,240000
,30,200000
,30,200000
,30,260000
,90,60000
,30,260000
,30,260000
,30,270000
,90,100000
,15,200000
,30,200000
,90,60000
,30,270000
,30,280000
,30,280000
,30,250000
,360,\N
,30,300000
,30,200000
,30,200000
,30,180000
,30,270000
,90,200000
,30,280000
,30,260000
,30,260000
,30,260000
,90,200000
,30,280000
,15,200000
,30,300000
,30,600000
,30,400000
,30,300000
,90,\N
,30,280000
,30,280000
,30,300000
,30,300000
,30,300000
,30,300000
,30,200000
,90,60000
,30,270000
,30,280000
,90,200000
,30,200000
,30,200000
,180,\N
,15,180000
,180,\N
,15,200000
,30,300000
,30,280000
,30,280000
,90,200000
,30,260000
,30,180000
,30,280000
,30,270000
,360,\N
,15,200000
,15,\N
,15,\N
,15,\N
,180,\N
,30,250000
,30,300000
,30,330000
,180,\N
,30,300000
,90,200000
,30,280000
,30,280000
,90,120000
,30,300000
,30,280000
,30,280000
,30,260000
,30,180000
,15,\N
,15,\N
,15,\N
,15,\N
,15,\N
,15,\N
,15,\N
,15,\N
,30,280000
,90,50000
,30,250000
,30,250000
,30,300000
,30,270000
,30,180000
,30,250000
,180,\N
,30,300000
,30,250000
,90,50000
,30,280000
,30,300000
,90,200000
,180,\N
,15,\N
,15,\N
,30,300000
,180,\N
,30,280000
,30,250000
,30,260000
,90,60000
,30,300000
,30,300000
,30,180000
,360,\N
,30,180000
,30,280000
,30,310000
,180,\N
,180,\N
,30,200000
,30,280000
,30,300000
,180,\N
,30,260000
,30,300000
,30,300000
,30,500000
,30,180000
,30,240000
,15,\N
,15,\N
,30,250000
,30,240000
,30,240000
,30,200000
,30,280000
,30,180000
,180,\N
,90,60000
,30,280000
,180,\N
,90,180000
,90,180000
,30,180000
,90,50000
,30,320000
,30,280000
,30,180000
,30,280000
,30,280000
,90,180000
,30,250000
,30,180000
,360,\N
,15,\N
,15,\N
,15,\N
,30,300000
,30,250000
,360,\N
,30,200000
,15,\N
,15,\N
,15,\N
,30,280000
,90,170000
,30,300000
,30,300000
,30,300000
,30,300000
,30,270000
,30,180000
,90,60000
,15,\N
,15,\N
,180,\N
,30,280000
,15,\N
