DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-05-15,180,300000,16
2015-04-30,180,300000,16
2015-04-16,180,300000,16
2015-04-01,180,300000,16
2015-03-18,180,500000,16
2015-02-13,180,500000,16
2015-02-11,60,500000,16
2015-02-06,180,\N,16
2015-02-04,60,500000,16
2015-01-30,180,500000,16
2015-05-14,180,300000,16
2015-04-29,180,300000,16
2015-04-15,180,300000,16
2015-03-31,180,300000,16
2015-03-17,180,500000,16
2015-02-13,90,500000,16
2015-02-11,30,500000,16
2015-02-06,90,500000,16
2015-02-04,30,500000,16
2015-01-30,90,500000,16
2015-05-13,180,300000,16
2015-04-28,180,300000,16
2015-04-14,180,300000,16
2015-03-30,180,300000,16
2015-03-16,180,500000,16
2015-02-13,60,500000,16
2015-02-10,180,500000,16
2015-02-06,60,500000,16
2015-02-03,180,500000,16
2015-01-30,60,500000,16
2015-05-12,180,300000,16
2015-04-27,180,300000,16
2015-04-13,180,300000,16
2015-03-27,180,300000,16
2015-03-13,180,500000,16
2015-02-13,30,500000,16
2015-02-10,90,500000,16
2015-02-06,30,500000,16
2015-02-03,90,500000,16
2015-01-30,30,500000,16
2015-05-11,180,300000,16
2015-04-24,180,300000,16
2015-04-10,180,300000,16
2015-03-26,180,300000,16
2015-03-12,180,500000,16
2015-02-12,180,500000,16
2015-02-10,60,500000,16
2015-02-05,180,500000,16
2015-02-03,60,500000,16
2015-01-29,90,120000,16
2015-05-08,180,300000,16
2015-04-23,180,300000,16
2015-04-09,180,300000,16
2015-03-25,180,500000,16
2015-03-11,180,500000,16
2015-02-12,90,500000,16
2015-05-07,180,300000,16
2015-02-10,30,500000,16
2015-02-05,90,500000,16
2015-02-03,30,500000,16
2015-01-29,30,100000,20
2015-04-22,180,300000,16
2015-04-08,180,300000,16
2015-03-24,180,500000,16
2015-03-10,180,500000,16
2015-02-12,60,500000,16
2015-02-09,180,500000,16
2015-02-05,60,500000,16
2015-02-02,180,500000,16
2015-01-29,90,50000,20
2015-05-06,180,300000,16
2015-04-21,180,300000,16
2015-04-07,180,300000,16
2015-03-23,180,500000,16
2015-03-09,180,500000,16
2015-02-12,30,500000,16
2015-02-09,90,500000,16
2015-02-05,30,500000,16
2015-02-02,90,500000,16
2015-01-29,30,100000,20
2015-05-05,180,300000,16
2015-04-20,180,300000,16
2015-04-03,180,300000,16
2015-03-20,180,500000,16
2015-02-14,180,3000000,16
2015-02-11,180,500000,16
2015-02-09,60,500000,16
2015-02-04,180,500000,16
2015-02-02,60,500000,16
2015-01-28,90,50000,20
2015-05-04,180,300000,16
2015-04-17,180,300000,16
2015-04-02,180,300000,16
2015-03-19,180,500000,16
2015-02-14,90,3000000,16
2015-02-11,90,500000,16
2015-02-09,30,500000,16
2015-02-04,90,500000,16
2015-02-02,30,500000,16
2015-01-28,30,100000,20
2015-05-15,180,300000,16
2015-04-30,180,300000,16
2015-04-16,180,300000,16
2015-04-01,180,300000,16
2015-03-18,180,500000,16
2015-02-12,180,500000,16
2015-01-28,180,50000,16
2015-01-19,180,100000,16
2015-01-12,180,50000,20
2015-01-06,180,100000,16
2014-12-29,180,50000,20
