DEADLINE,LIFE_LOAN,ITEM_AMOUNT
2015-07-29,60,45000
2015-07-29,30,70000
2015-07-28,90,85000
2015-07-28,60,40000
2015-07-28,30,80000
2015-07-27,90,88000
2015-07-27,30,60000
2015-07-26,90,100000
2015-07-26,60,60000
2015-07-26,30,110000
2015-07-25,90,100000
2015-07-25,60,70000
2015-07-25,30,100000
2015-07-24,90,110000
2015-07-24,60,80000
2015-07-24,30,100000
2015-07-23,90,50000
2015-07-23,90,130000
2015-07-23,60,40000
2015-07-23,30,100000
2015-07-22,90,100000
2015-07-22,30,70000
2015-07-21,90,100000
2015-07-21,60,50000
2015-07-21,30,80000
2015-07-20,90,110000
2015-07-20,90,90000
2015-07-20,90,100000
2015-07-20,60,50000
2015-07-20,30,100000
2015-07-19,90,100000
2015-07-19,90,70000
2015-07-19,60,60000
2015-07-19,30,100000
2015-07-18,60,200000
2015-07-18,90,100000
2015-07-18,60,70000
2015-07-18,30,90000
2015-07-17,90,100000
2015-07-17,90,100000
2015-07-17,60,50000
2015-07-17,30,100000
2015-07-16,90,100000
2015-07-16,90,80000
2015-07-16,60,50000
2015-07-16,30,110000
2015-07-15,90,110000
2015-07-15,60,50000
2015-07-15,30,100000
2015-07-14,90,100000
2015-07-14,90,100000
2015-07-14,60,50000
2015-07-14,30,90000
2015-07-13,90,100000
2015-07-13,90,80000
2015-07-13,60,60000
2015-07-13,30,100000
2015-07-12,90,100000
2015-07-12,90,100000
2015-07-12,60,70000
2015-07-12,30,90000
2015-07-11,90,100000
2015-07-11,90,80000
2015-07-11,60,60000
2015-07-11,30,100000
2015-07-10,90,100000
2015-07-10,90,90000
2015-07-10,30,110000
2015-07-09,90,100000
2015-07-09,90,120000
2015-07-09,30,100000
2015-07-08,90,100000
2015-07-08,90,130000
2015-07-08,60,60000
2015-07-08,30,80000
2015-07-07,90,100000
2015-07-07,90,90000
2015-07-07,60,50000
2015-07-07,30,110000
2015-07-06,90,100000
2015-07-06,90,110000
2015-07-06,60,50000
2015-07-06,30,100000
2015-07-05,90,100000
2015-07-05,90,100000
