deadline,life loan,ITEM_AMOUNT,MONEY_RATE
2015-08-24,180,100000,13.68
2015-03-24,180,100000,17.08
2015-08-24,35,250000,11.16
2015-07-24,60,100000,15.88
2015-08-24,180,100000,13.68
2015-06-24,90,100000,16.58
2015-08-23,35,100000,11.16
2015-08-22,180,100000,13.68
2015-06-22,90,100000,16.58
2015-06-21,90,100000,16.58
2015-06-21,90,100000,16.58
2015-08-22,35,300000,11.16
2015-03-22,180,100000,17.08
2015-08-21,180,100000,13.68
2015-08-20,180,3000000,16.68
2015-06-21,90,100000,16.58
2015-07-21,60,100000,15.88
2015-08-21,35,200000,11.16
2015-08-20,35,100000,11.16
2015-06-20,90,100000,16.58
2015-03-20,180,100000,17.08
2015-08-20,180,100000,13.68
2015-08-19,35,300000,11.16
2015-06-20,90,100000,16.58
2015-08-19,180,100000,13.68
2015-06-19,90,200000,16.58
2015-08-19,35,100000,11.16
2015-06-19,90,100000,16.58
2015-07-20,60,100000,15.88
2015-08-19,180,100000,13.68
2015-06-19,90,100000,16.58
2015-07-19,60,100000,15.88
2015-08-18,180,100000,13.68
2015-06-18,90,100000,16.58
2015-08-18,35,100000,11.16
2015-06-18,90,100000,16.58
2015-07-18,60,100000,15.88
2015-06-18,90,100000,16.58
2015-08-18,35,100000,11.16
2015-08-18,180,100000,13.68
2015-08-18,35,200000,11.16
2015-07-18,60,100000,15.88
2015-08-17,180,100000,13.68
2015-06-18,90,100000,16.58
2015-06-17,90,100000,16.58
2015-08-17,35,100000,11.16
2015-08-17,180,100000,13.68
2015-07-17,60,100000,15.88
2015-06-17,90,100000,16.58
2015-07-17,60,100000,15.88
2015-08-17,35,100000,11.16
2015-08-17,180,100000,13.68
2015-08-16,180,100000,13.68
2015-08-16,35,100000,11.16
2015-07-17,60,100000,15.88
2015-06-16,90,100000,16.58
2015-08-15,180,100000,13.68
2015-08-15,35,200000,11.16
2015-08-14,35,200000,11.16
2015-08-14,35,100000,11.16
2015-08-14,35,100000,11.16
2015-06-15,90,100000,16.58
2015-08-14,35,100000,11.16
2015-08-14,180,100000,13.68
2015-08-14,35,100000,11.16
2015-07-14,60,100000,15.88
2015-08-13,35,100000,11.16
2015-08-13,180,100000,13.68
2015-08-13,30,200000,10.8
2015-06-14,90,100000,16.58
2015-08-12,30,200000,10.8
2015-06-12,90,100000,16.58
2015-08-12,180,100000,13.68
2015-08-12,30,200000,10.8
2015-07-12,60,100000,15.88
2015-08-11,180,1000000,16.56
2015-08-11,30,200000,10.8
2015-08-11,30,100000,10.8
2015-08-11,180,2000000,16.56
2015-08-11,180,1000000,16.56
2015-08-11,180,100000,13.68
2015-08-11,30,100000,10.8
2015-08-11,30,100000,10.8
2015-07-11,60,100000,15.88
2015-06-11,90,100000,16.58
2015-08-10,30,600000,10.8
2015-06-10,90,100000,16.58
2015-07-10,60,100000,15.88
2015-08-10,30,100000,10.8
2015-08-10,180,100000,13.68
2015-08-10,180,100000,13.68
2015-08-10,30,200000,10.8
2015-07-10,60,100000,15.88
2015-08-10,180,100000,13.68
2015-08-10,30,200000,10.8
2015-08-07,30,100000,10.8
2015-08-07,30,100000,10.8
2015-08-07,30,100000,10.8
2015-08-07,30,100000,10.8
2015-06-10,90,100000,16.58
2015-08-07,30,100000,10.8
2015-08-07,180,100000,13.68
2015-07-07,60,100000,15.88
2015-08-07,30,100000,10.8
2015-08-06,30,100000,10.8
2015-08-06,180,1000000,16.56
2015-08-06,30,100000,10.8
2015-08-06,180,100000,13.68
2015-08-05,180,100000,13.68
2015-06-06,90,100000,16.58
2015-08-06,30,100000,10.8
2015-07-06,60,100000,15.88
2015-08-05,30,100000,10.8
2015-08-05,45,120000,14.4
2015-08-05,45,100000,14.4
2015-08-05,55,100000,16.2
2015-08-05,180,100000,13.68
2015-08-04,180,100000,13.68
2015-08-04,35,1000000,10.8
2015-08-04,35,100000,10.8
2015-08-05,55,100000,16.2
2015-08-04,180,100000,13.68
2015-08-03,180,100000,13.68
2015-08-05,45,100000,14.4
2015-08-04,35,100000,10.8
2015-08-03,180,100000,13.68
2015-08-04,55,100000,16.2
2015-08-03,180,100000,13.68
2015-08-03,180,200000,13.68
2015-08-03,180,200000,13.68
2015-08-03,180,100000,13.68
2015-08-03,180,100000,13.68
2015-08-03,35,100000,10.8
2015-08-03,55,100000,16.2
2015-07-31,25,100000,10.08
2015-07-31,35,200000,12.96
2015-07-31,180,100000,13.68
2015-07-31,25,100000,10.08
2015-07-31,25,100000,10.08
2015-07-31,180,100000,13.68
2015-08-03,45,100000,14.4
2015-07-30,25,100000,10.08
2015-07-30,180,100000,13.68
2015-07-30,180,100000,13.68
2015-07-31,35,100000,10.8
2015-07-30,180,100000,13.68
2015-07-30,55,100000,16.2
2015-07-29,180,100000,13.68
2015-07-29,35,2000000,10.8
2015-07-30,35,100000,10.8
2015-07-29,180,100000,13.68
2015-07-30,45,100000,14.4
2015-07-29,55,100000,16.2
2015-07-29,180,50000,13.68
2015-07-29,45,100000,13.32
2015-07-29,35,100000,13.32
2015-07-28,180,50000,13.68
2015-07-29,55,100000,16.2
2015-07-28,180,100000,13.68
2015-07-28,55,100000,16.2
2015-07-28,180,50000,13.68
2015-07-28,180,50000,13.68
2015-07-28,180,100000,13.68
2015-07-28,45,100000,13.32
2015-07-27,35,100000,10.8
2015-07-27,180,100000,13.68
2015-07-27,35,100000,10.8
2015-07-28,55,100000,16.2
2015-07-27,180,200000,13.68
2015-07-26,180,200000,13.68
2015-07-27,35,100000,10.8
2015-07-27,45,100000,15.12
2015-07-24,180,100000,13.68
2015-07-24,180,50000,13.68
2015-07-26,55,100000,16.2
2015-07-24,180,50000,13.68
2015-07-24,180,100000,13.68
2015-07-23,180,50000,13.68
2015-07-24,55,100000,16.2
2015-07-23,180,50000,13.68
2015-07-23,40,100000,12.6
2015-07-23,180,100000,13.68
2015-07-24,45,100000,15.12
2015-07-22,40,100000,12.6
2015-07-22,90,2000000,15.12
2015-07-22,180,200000,13.68
2015-07-22,40,100000,12.6
2015-07-22,45,100000,15.12
2015-07-22,180,200000,13.68
2015-07-21,180,100000,13.68
2015-07-21,180,200000,13.68
2015-07-21,40,100000,12.6
2015-07-21,45,100000,15.12
2015-07-20,40,100000,12.6
2015-07-21,180,200000,13.68
2015-07-20,45,100000,15.12
2015-07-20,180,200000,13.68
2015-07-20,180,200000,13.68
2015-07-20,35,200000,14.4
2015-07-17,90,1800000,13.68
2015-07-20,45,200000,15.12
2015-07-18,40,100000,12.6
2015-07-17,45,200000,15.12
2015-07-18,180,200000,13.68
2015-07-17,180,200000,13.68
2015-07-17,45,100000,15.12
2015-07-17,40,100000,12.6
2015-07-20,180,200000,13.68
2015-07-16,180,200000,13.68
2015-07-16,45,100000,15.12
2015-07-15,90,2000000,15.48
2015-07-15,180,200000,13.68
2015-07-16,40,100000,12.6
2015-07-15,45,100000,15.12
2015-07-14,180,100000,13.68
2015-07-14,180,100000,13.68
2015-07-14,45,100000,15.12
2015-07-14,180,100000,13.68
2015-07-14,45,100000,15.12
2015-07-13,90,500000,13.68
2015-07-14,60,50000,16.2
2015-07-13,180,100000,13.68
2015-07-13,45,100000,15.12
2015-07-13,180,50000,13.68
2015-07-13,180,200000,13.68
2015-07-13,45,100000,15.12
2015-07-12,180,200000,13.68
2015-07-12,180,50000,13.68
2015-07-12,45,100000,15.12
2015-07-11,180,50000,13.68
2015-07-10,90,1000000,13.68
2015-07-10,180,50000,13.68
2015-07-10,45,200000,13.32
2015-07-09,180,30000,13.68
2015-07-07,90,2000000,13.68
2015-07-08,180,50000,13.68
2015-07-07,180,50000,13.68
2015-07-07,180,200000,13.68
2015-07-07,180,50000,13.68
2015-07-07,180,50000,13.68
2015-07-03,180,200000,13.68
2015-07-02,180,200000,13.68
2015-07-01,90,1500000,13.32
2015-07-01,180,100000,13.68
2015-06-30,180,100000,13.68
2015-06-29,90,1000000,13.68
2015-06-29,180,100000,13.68
2015-06-26,180,100000,13.68
2015-06-25,90,300000,12.6
2015-06-26,180,100000,13.68
2015-06-23,180,100000,13.68
2015-06-23,180,100000,13.68
2015-06-23,180,200000,13.68
2015-06-19,180,100000,13.68
2015-06-18,90,1000000,13.68
2015-06-17,180,100000,13.68
2015-06-17,90,1000000,13.68
2015-06-17,180,100000,13.68
2015-06-16,180,100000,13.68
2015-06-15,180,200000,13.68
2015-06-15,180,200000,13.68
2015-06-13,180,200000,13.68
2015-06-13,180,200000,13.68
2015-06-12,180,100000,13.68
2015-06-11,90,600000,13.32
2015-06-11,180,200000,13.68
2015-06-11,180,200000,13.68
2015-06-09,180,200000,13.68
2015-06-08,180,200000,13.68
2015-06-08,180,100000,13.32
2015-06-08,180,100000,13.68
2015-06-06,90,1600000,13.32
2015-06-06,180,100000,13.68
2015-06-06,180,200000,13.68
2015-06-05,180,200000,13.68
2015-06-04,180,200000,12.96
2015-06-04,180,200000,12.96
2015-06-03,180,200000,12.96
2015-06-03,180,200000,12.96
2015-06-02,180,200000,12.96
2015-06-01,180,200000,12.96
2015-06-01,180,200000,12.96
2015-05-31,180,200000,12.96
2015-05-30,180,100000,12.96
2015-05-30,90,600000,15.12
2015-05-29,180,1600000,12.96
2015-05-29,90,200000,13.32
2015-05-28,90,200000,13.32
2015-05-28,90,200000,13.32
2015-05-27,90,300000,13.32
2015-05-22,180,2000000,13.32
2015-05-20,180,100000,16.92
2015-05-18,360,1500000,13.68
2015-05-18,360,100000,17.64
2015-05-18,180,100000,16.92
2015-05-18,360,100000,17.64
2015-05-17,180,100000,16.92
2015-05-17,360,100000,17.64
2015-05-17,180,100000,16.92
2015-05-16,180,100000,16.92
2015-05-16,360,100000,17.64
2015-05-15,180,100000,16.92
2015-05-15,360,100000,17.64
2015-05-15,180,50000,16.92
2015-05-15,360,100000,17.64
2015-05-14,180,100000,16.92
2015-05-14,360,100000,17.64
2015-05-13,180,100000,16.92
2015-05-13,180,100000,16.92
2015-05-13,360,100000,17.64
2015-05-13,180,100000,16.92
2015-05-12,180,50000,16.92
2015-05-12,180,50000,17.64
2015-05-12,180,50000,17.64
2015-05-11,180,50000,16.92
2015-05-11,360,100000,17.64
2015-05-10,180,50000,16.92
2015-05-10,360,100000,17.64
2015-05-09,180,50000,16.92
2015-05-08,180,50000,16.92
2015-05-08,180,500000,16.92
2015-04-10,180,1200000,15.48
2015-03-13,180,500000,11.52
2015-03-13,180,5000000,11.52
2015-03-13,180,5000000,11.52
2015-03-12,180,5000000,11.52
2015-03-12,180,5000000,11.52
2015-03-13,180,5000000,11.52
2015-03-06,180,1000000,10.8
2015-03-05,180,1000000,11.16
2015-03-05,180,1000000,11.52
2015-03-03,180,1000000,11.88
2015-03-02,180,1000000,11.88
2015-02-27,180,1000000,11.88
2015-02-26,180,1000000,11.88
2015-07-28,25,100000,10.08
2015-07-24,25,100000,10.08
2015-07-24,25,100000,10.08
2015-07-22,25,200000,10.08
2015-07-21,25,100000,10.08
2015-07-17,35,220000,14.4
2015-07-17,25,100000,10.08
2015-07-16,25,100000,10.08
2015-07-14,40,100000,12.6
2015-07-14,40,100000,12.6
2015-07-13,40,200000,12.6
2015-07-13,35,100000,14.4
2015-07-12,35,100000,14.4
2015-07-13,40,100000,14.76
2015-07-11,35,200000,14.4
2015-07-10,40,200000,12.6
2015-07-09,40,200000,12.6
2015-07-09,40,200000,12.6
2015-07-09,45,200000,13.32
2015-07-08,40,200000,12.6
2015-07-08,45,200000,13.32
2015-07-06,40,200000,12.6
2015-07-05,35,80000,15.84
2015-07-06,40,200000,12.6
2015-07-06,45,200000,13.32
2015-07-02,40,200000,12.6
2015-07-02,45,200000,13.32
2015-07-01,40,200000,13.32
2015-06-30,35,200000,13.32
2015-06-29,40,200000,13.32
2015-06-29,35,200000,13.32
2015-06-29,35,200000,13.32
2015-06-26,35,200000,13.32
2015-06-26,40,300000,13.32
2015-06-26,35,200000,13.32
2015-06-29,40,200000,13.32
2015-06-25,35,200000,13.32
2015-06-24,35,200000,13.32
2015-06-24,40,200000,13.32
2015-06-23,35,200000,13.32
2015-06-19,40,300000,13.32
2015-06-23,35,200000,13.32
2015-06-23,40,200000,13.32
2015-06-19,30,200000,12.96
2015-06-17,40,200000,13.32
2015-06-18,30,200000,12.96
2015-06-19,35,200000,13.32
2015-06-17,30,200000,12.96
2015-06-16,30,200000,12.96
2015-06-15,30,200000,12.96
2015-06-17,35,200000,13.32
2015-06-13,30,200000,12.96
2015-06-12,30,200000,12.96
2015-06-12,30,200000,12.96
2015-06-13,40,200000,13.32
2015-06-11,30,200000,12.96
2015-06-11,40,200000,13.32
2015-06-10,30,200000,12.96
2015-06-09,40,200000,13.32
2015-06-08,30,200000,12.96
2015-06-06,40,200000,13.32
2015-06-06,30,200000,12.96
2015-06-04,35,200000,13.32
2015-06-03,35,200000,13.32
2015-06-02,35,200000,13.32
2015-06-02,35,200000,13.32
2015-06-01,30,200000,12.88
2015-05-31,35,100000,13.32
2015-05-28,30,1000000,12.88
2015-05-29,30,200000,12.88
2015-05-28,35,100000,13.32
2015-05-27,35,100000,12.96
2015-05-27,30,200000,12.88
2015-05-25,90,300000,13.32
2015-05-25,30,200000,12.88
2015-05-25,35,100000,12.96
2015-05-24,90,300000,13.32
2015-05-24,30,200000,12.88
2015-05-24,90,200000,13.32
2015-05-23,30,200000,12.88
2015-05-24,35,100000,12.96
2015-05-24,90,300000,13.32
2015-05-22,30,200000,12.88
2015-05-22,90,300000,13.68
2015-05-22,35,100000,12.96
2015-05-21,30,200000,12.88
2015-05-20,90,300000,13.68
2015-05-20,35,100000,14.4
2015-05-19,90,500000,15.48
2015-05-20,30,200000,13.88
2015-05-19,35,100000,14.04
2015-05-18,30,200000,13.88
2015-05-17,35,100000,14.4
2015-05-16,30,200000,13.88
2015-05-15,35,100000,14.4
2015-05-15,30,200000,13.88
2015-05-14,35,100000,14.4
2015-05-14,30,200000,13.88
2015-05-13,35,100000,14.4
2015-05-13,30,200000,13.88
