release time,life loan,ITEM_AMOUNT
06-15,30,50000
06-15,30,200000
06-11,90,50000
06-11,30,50000
,30,50000
06-10,90,50000
06-09,90,50000
06-09,30,50000
06-08,90,50000
06-08,30,50000
06-05,90,50000
06-05,30,50000
06-05,90,100000
06-04,90,50000
06-04,30,50000
06-04,90,200000
06-03,90,50000
06-03,30,50000
06-02,90,50000
06-02,30,50000
06-01,90,50000
06-01,30,50000
05-29,90,50000
05-29,30,100000
05-29,30,50000
05-28,90,50000
05-28,30,100000
05-28,90,50000
05-27,90,50000
05-27,30,100000
05-26,90,50000
05-26,30,100000
05-26,90,90000
05-25,90,50000
05-25,30,100000
05-25,30,50000
05-25,90,100000
05-22,90,50000
05-22,30,100000
05-22,30,60000
05-21,30,100000
05-20,90,100000
05-20,30,100000
05-20,90,20000
05-19,30,100000
05-19,90,80000
,180,500000
05-18,30,100000
05-18,30,100000
05-08,90,100000
04-20,90,50000
04-17,90,100000
04-13,90,50000
04-07,90,50000
05-15,30,100000
05-14,30,100000
05-13,30,100000
05-12,30,100000
05-11,30,100000
05-08,30,100000
05-08,30,100000
05-07,30,100000
05-06,30,50000
05-06,30,50000
05-05,30,100000
05-05,30,50000
05-04,30,100000
04-30,30,100000
04-30,30,50000
04-29,30,100000
04-29,30,100000
04-28,30,100000
04-28,30,50000
04-27,30,100000
04-24,30,50000
04-24,30,100000
04-23,30,100000
04-22,30,100000
04-21,30,100000
04-20,30,100000
04-17,30,50000
04-17,30,100000
04-16,30,50000
04-16,30,100000
04-15,30,60000
04-14,30,60000
04-13,30,50000
04-10,30,50000
04-10,60,100000
04-10,60,100000
04-09,30,50000
04-09,30,50000
04-08,30,50000
04-07,60,50000
04-07,30,50000
04-03,30,50000
04-03,60,100000
04-02,60,100000
04-02,30,50000
04-01,30,100000
03-31,30,50000
03-31,30,50000
03-30,30,50000
03-30,30,50000
03-27,30,50000
03-27,30,50000
03-26,30,60000
03-25,30,40000
03-25,30,100000
03-24,30,50000
03-24,30,50000
03-24,30,50000
03-23,30,100000
03-23,30,50000
03-23,30,100000
03-20,30,100000
03-19,30,100000
03-18,30,100000
03-18,30,50000
03-18,30,50000
03-17,30,100000
03-16,30,100000
03-16,30,100000
,10,300000
,10,100000
,10,100000
,10,100000
03-13,30,60000
,10,150000
02-03,3,1000000
01-22,7,100000
01-22,7,50000
01-22,7,50000
01-21,7,100000
01-21,7,100000
01-21,7,100000
01-20,7,50000
01-20,7,100000
01-20,7,60000
01-20,7,50000
01-20,7,150000
01-16,7,50000
01-16,7,50000
01-16,7,50000
01-16,7,50000
01-14,7,50000
01-14,7,50000
01-14,7,100000
01-13,30,60000
,7,50000
,60,400000
01-12,7,50000
01-12,7,100000
01-09,7,50000
01-09,30,50000
01-09,7,50000
01-09,7,100000
01-09,7,50000
01-08,7,100000
01-08,7,100000
01-07,30,50000
01-07,30,50000
01-07,30,50000
01-06,30,50000
01-05,30,50000
01-04,30,50000
01-04,30,50000
12-24,30,100000
12-23,30,100000
12-22,5,750000
12-22,30,100000
12-22,5,100000
12-19,30,150000
12-18,30,50000
12-17,3,300000
12-16,30,50000
12-16,30,100000
12-15,30,50000
12-15,30,40000
12-12,30,56000
12-12,30,50000
12-11,30,50000
12-10,30,50000
12-10,30,300000
12-09,30,30000
12-09,30,100000
12-08,30,100000
12-08,30,100000
