DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2014-09-29,30,100000,18
2014-09-28,30,100000,18
2014-09-28,dynamic,88888,6.6
2015-04-24,30,50000,18
2015-04-24,90,30000,18
2015-04-23,90,30000,18
2015-04-23,30,50000,18
2015-04-22,90,30000,18
2015-04-22,30,50000,18
2015-04-21,30,50000,18
2015-04-21,90,30000,18
2015-04-20,30,50000,18
2015-04-18,90,30000,18
2015-04-20,90,30000,18
2015-04-18,30,50000,18
2015-04-17,90,30000,18
2015-04-17,30,50000,18
2015-04-16,90,30000,18
2015-04-16,30,50000,18
2015-04-15,30,50000,18
2015-04-15,90,30000,18
2015-04-14,30,50000,18
2015-04-14,90,30000,18
2015-04-13,90,30000,18
2015-04-13,30,50000,18
2015-04-11,90,30000,18
2015-04-11,30,50000,18
2015-04-10,30,50000,18
2015-04-10,90,30000,18
2015-04-09,90,30000,18
2015-04-09,30,50000,18
2015-04-08,90,30000,18
2015-04-08,30,50000,18
2015-04-07,30,49997,18
2015-04-07,90,30000,18
2015-04-06,30,50000,18
2015-04-06,90,30000,18
2015-04-04,90,30000,18
2015-04-04,30,50000,18
2015-04-03,90,30000,18
2015-04-03,30,50000,18
2015-04-02,30,50000,18
2015-04-02,90,30000,18
2015-04-01,30,50000,18
2015-04-01,90,30000,18
2015-03-31,30,50000,18
2015-03-31,90,30000,18
2015-03-30,90,30000,18
2015-03-30,30,50000,18
2015-03-28,30,50000,18
2015-03-28,90,30000,18
2015-03-27,90,30000,18
2015-03-27,30,50000,18
2015-03-26,30,50000,18
2015-03-26,90,30000,18
2015-03-25,90,30000,18
2015-03-25,30,50000,18
2015-03-24,90,30000,18
2015-03-24,30,50000,18
2015-03-23,90,30000,18
2015-03-23,30,50000,18
2015-03-21,30,50000,18
2015-03-21,90,40000,18
2015-03-20,90,50000,18
2015-03-20,90,50000,18
2015-03-20,30,50000,18
2015-03-19,30,50000,18
2015-03-19,90,50000,18
2015-03-18,30,50000,18
2015-03-18,90,50000,18
2015-03-17,30,50000,18
2015-03-17,90,50000,18
2015-03-16,60,50000,18
2015-03-16,30,40000,18
2015-03-16,90,30000,18
2015-03-14,90,20000,18
2015-03-14,30,40000,18
2015-03-13,30,40000,18
2015-03-13,90,20000,18
2015-03-12,90,20000,18
2015-03-12,30,40000,18
2015-03-11,30,40000,18
2015-03-11,90,20000,18
2015-03-10,30,40000,18
2015-03-10,90,20000,18
2015-03-09,90,20000,18
2015-03-09,30,40000,18
2015-03-07,30,40000,18
2015-03-07,90,20000,18
2015-03-06,90,30000,18
2015-03-06,30,50000,18
2015-03-05,90,50000,18
2015-03-05,30,50000,18
2015-03-04,90,50000,18
2014-12-23,90,50000,18
2014-12-02,30,50000,18
2014-11-20,30,100000,18
2014-10-11,30,100000,18
2015-01-15,30,50000,18
2014-11-19,30,60000,18
2015-01-28,30,40000,18
2015-02-04,90,30000,18
2014-11-10,30,50000,18
2014-10-21,30,100000,18
2015-02-04,30,40000,18
2015-03-03,30,70000,18
2015-02-06,30,30000,18
2014-11-24,30,50000,18
2014-12-19,90,50000,18
2014-11-23,30,50000,18
2014-10-29,30,100000,18
2015-02-14,30,40000,18
2015-01-27,90,50000,18
2014-12-05,30,50000,18
2014-12-08,30,100000,18
