trading date,life loan,ITEM_AMOUNT
2015-08-11,30,76048.31
2015-08-11,30,66658.53
2015-08-11,30,66658.53
2015-08-11,30,53326.77
2015-08-11,30,66658.53
2015-08-10,90,47214.76
2015-08-11,30,110000
2015-08-09,180,32548.23
2015-08-10,30,49234.99
2015-08-10,30,62981.15
2015-08-10,90,38298.65
2015-08-10,30,41971.4
2015-08-10,90,38008.42
2015-08-10,30,66658.53
2015-08-10,30,75565.59
2015-08-10,90,27980.94
2015-08-10,30,64762.94
2015-08-10,30,46990.75
2015-08-10,30,62668.32
2015-08-10,90,34976.17
2015-08-10,90,55705.17
2015-08-10,30,54822.54
2015-08-10,30,51064.86
2015-08-09,90,54413.67
2015-08-08,30,270000
2015-08-10,90,34976.17
2015-08-10,30,46990.75
2015-08-10,30,27980.94
2015-08-08,14,24352.54
2015-08-10,30,41971.4
2015-08-10,30,30399.4
2015-08-10,30,30731.7
2015-08-09,30,69631.46
2015-08-09,30,54234.52
2015-08-09,30,49234.99
2015-08-09,30,47214.76
2015-08-09,30,62406.75
2015-08-09,90,53959.88
2015-08-09,30,68184.3
2015-08-05,14,18176.96
2015-08-09,30,43418.74
2015-08-07,90,39464.39
2015-08-08,30,51810.3
2015-08-08,30,53193.88
2015-08-08,30,51858.8
2015-08-09,30,56425.47
2015-08-08,90,45347.56
2015-08-07,90,46248.69
2015-08-08,30,66492.43
2015-08-08,180,93089.23
2015-08-08,30,50130.71
2015-08-07,30,40482.61
2015-08-08,30,77715.59
2015-08-07,30,77192.39
2015-08-07,180,10829.57
2015-08-07,30,55705.17
2015-08-07,30,82807.61
2015-08-07,14,69631.46
2015-08-07,30,45347.56
2015-08-07,30,37597.98
2015-08-07,180,16725.36
2015-08-07,90,11482.17
2015-08-07,14,63099.64
2015-08-07,14,50130.71
2015-08-07,30,23260.74
2015-08-07,30,56425.47
2015-08-07,90,35624.65
2015-08-07,14,77739.83
2015-08-07,14,62683.41
2015-08-07,30,56425.47
2015-08-06,30,39382.26
2015-08-06,30,51015.93
2015-08-07,30,69631.46
2015-08-07,30,35624.65
2015-08-06,30,15448.4
2015-08-07,30,63478.65
2015-08-06,90,27980.94
2015-08-06,90,35102.21
2015-08-07,30,77715.59
2015-08-06,30,41771.5
2015-08-06,30,43397.71
2015-08-06,30,30698.91
2015-08-06,30,37217.2
2015-08-06,180,16539.93
2015-08-05,14,10540.77
2015-08-06,30,35951.98
2015-08-05,90,23356.86
2015-08-06,90,26962.83
2015-08-06,30,40482.61
2015-08-06,30,37652.65
2015-08-06,90,19100.81
2015-08-06,30,26962.83
