release time,life loan,ITEM_AMOUNT
2015-08-20,180,300000
2015-08-19,360,4000000
2015-08-14,270,1000000
2015-08-14,360,2000000
2015-08-18,330,17000
2015-08-18,120,230000
2015-08-18,150,33000
2015-08-17,270,1000000
2015-08-14,360,1500000
2015-08-10,180,2000000
2015-08-12,360,2000000
2015-08-12,360,3000000
2015-08-13,300,3000
2015-08-13,180,10000
2015-08-13,330,50000
2015-08-12,360,5000000
2015-08-12,120,50000
2015-08-03,270,2000000
2015-08-07,270,1621000
2015-07-28,360,3000000
2015-08-03,180,500000
2015-08-06,270,379000
2015-08-03,90,2000000
2015-08-03,360,1000000
2015-08-04,360,10000
2015-07-29,90,600000
2015-07-21,120,1000000
2015-07-21,180,1000000
2015-07-28,90,10000
2015-07-28,90,10000
2015-07-28,90,20000
2015-07-22,360,4000000
2015-07-27,90,100000
2015-07-27,360,300000
2015-07-24,150,2000000
2015-07-08,180,1000000
2015-07-22,360,3000000
2015-07-13,180,2000000
2015-07-20,180,4000000
2015-07-20,90,1000000
2015-07-20,180,3000000
2015-07-20,180,3000000
2015-07-03,360,600000
2015-07-21,90,10000
2015-07-21,150,5000
2015-07-21,150,5000
2015-07-21,150,5000
2015-07-21,150,5000
2015-07-21,150,5000
2015-07-21,150,5000
2015-07-20,360,3000000
2015-07-17,180,15000
2015-07-17,330,666000
2015-07-17,330,400000
2015-07-17,330,600000
2015-07-17,330,643000
2015-07-17,360,222000
2015-07-17,330,127000
2015-07-17,150,120000
2015-07-17,330,21000
2015-07-17,60,6000
2015-07-13,240,4000000
2015-07-13,240,3000000
2015-07-16,300,540000
2015-07-16,180,50000
2015-07-16,300,500000
2015-07-15,360,2000000
2015-07-16,300,500000
2015-07-13,180,4000000
2015-07-14,300,500000
2015-07-08,360,5000000
2015-05-23,150,200000
2015-07-13,240,200000
2015-07-13,210,20000
2015-07-13,300,500000
2015-06-16,360,500000
2015-06-26,360,3000000
2015-07-06,270,1500000
2015-07-09,120,10000
2015-07-09,270,20000
2015-07-08,60,700000
2015-06-26,360,2800000
2015-07-08,270,10000
2015-07-02,120,50000
2015-06-11,360,3000000
2015-06-11,330,200000
2015-06-18,270,97000
2015-06-24,180,10000
2015-07-06,180,2200000
2015-06-08,330,2000
2015-06-08,330,3000
2015-06-08,240,5000
2015-07-06,60,483000
2015-06-19,360,3000000
2015-07-01,360,1000000
2015-07-06,60,500000
2015-07-01,360,1000000
2015-06-08,240,5000
2015-07-01,360,1000000
2015-07-03,60,500000
2015-06-23,180,2000000
2015-06-11,330,30000
2015-06-08,270,10000
2015-06-30,360,3000000
2015-06-19,360,3000000
2015-05-29,360,2000000
2015-06-05,60,20000
2015-06-23,360,5000000
2015-06-19,360,3000000
2015-06-24,120,3000000
2015-06-25,150,484000
2015-06-05,180,20000
2015-06-05,60,20000
2015-06-04,150,400000
2015-06-10,180,300000
2015-06-03,150,200000
2015-06-05,150,10000
2015-06-11,360,3000000
2015-06-23,150,500000
2015-06-05,300,10000
2015-06-03,60,80000
2015-06-03,240,60000
2015-06-19,150,500000
2015-06-03,360,2000000
2015-06-15,150,70000
2015-06-15,150,500000
2015-06-02,360,2800000
2015-06-03,360,2000000
2015-05-26,270,10000
2015-05-26,270,10000
2015-06-10,120,560000
2015-06-04,360,1000000
2015-06-12,150,300000
2015-06-12,150,146000
2015-05-25,300,1000
2015-05-25,120,3000
2015-06-10,360,5000000
2015-05-26,360,50000
2015-05-26,330,50000
2015-05-25,270,50000
2015-05-25,300,9000
2015-06-11,150,500000
2015-05-27,330,5000000
2015-06-10,90,209000
2015-06-10,120,820000
2015-06-08,150,161000
2015-06-04,120,2000000
2015-06-04,360,1500000
2015-05-25,120,29000
2015-05-22,270,10000
2015-05-20,300,50000
2015-06-09,360,1400000
2015-06-08,150,500000
2015-06-08,330,115000
2015-06-08,150,93000
2015-05-20,240,1000000
2015-05-21,360,4000000
2015-06-04,240,300000
2015-06-02,300,100000
2015-06-03,120,100000
2015-05-14,240,370000
2015-05-26,180,2000000
2015-05-29,180,500000
2015-05-21,360,4000000
2015-05-26,360,4000000
2015-05-21,360,3000000
2015-05-13,330,500000
2015-05-20,360,2000000
2015-05-20,300,50000
2015-05-14,300,40000
2015-05-20,150,10000
2015-05-18,90,10000
2015-05-06,240,10000
2015-05-06,150,10000
2015-05-06,120,10000
2015-05-04,360,5000000
2015-05-24,300,100000
2015-05-24,90,50000
2015-05-18,90,4000000
2015-05-08,360,5000000
2015-05-15,180,20000
2015-05-06,150,10000
2015-05-06,120,10000
2015-05-21,180,1500000
2015-05-08,360,5000000
2015-04-13,180,2400000
2015-05-15,120,20000
2015-05-13,150,10000
2015-05-06,150,10000
2015-05-12,360,1200000
2015-05-04,360,1500000
2015-04-28,360,3500000
2015-02-04,180,100000
2015-05-04,270,1000
2015-05-06,120,40000
2015-05-07,360,1500000
2015-04-27,360,2000000
2015-05-09,270,100000
2015-05-06,240,20000
2015-05-12,300,40000
2015-05-11,150,1000000
2015-05-06,210,20000
2015-05-06,210,20000
2015-05-07,360,150000
2015-05-06,120,10000
2015-05-06,150,10000
2015-05-06,240,10000
2015-05-04,360,1000
2015-05-04,300,20000
2015-05-04,150,10000
2015-05-06,360,4000000
2015-05-05,210,50000
2015-04-29,330,2000
2015-04-30,240,30000
2015-04-29,180,30000
2015-02-26,360,2000000
2015-05-04,360,5000000
