DEADLINE,LIFE_LOAN,ITEM_AMOUNT
2015-01-31,30,400000
2015-01-30,30,1000000
2015-01-29,30,1000000
2015-01-28,30,1000000
2015-01-27,30,1000000
2015-01-26,30,900000
2015-01-25,30,900000
2015-01-24,30,500000
2015-01-23,30,1000000
2015-01-22,30,1000000
2015-01-21,30,600000
2015-01-20,30,800000
2015-01-19,30,750000
2015-01-18,30,800000
2015-01-17,30,700000
2015-01-16,30,700000
2015-01-15,30,800000
2015-01-14,30,700000
2015-01-13,30,700000
2015-01-12,30,650000
2015-01-11,30,1000000
2015-01-10,30,800000
2015-01-09,30,700000
2015-01-08,30,400000
2015-01-07,30,686802
2015-01-06,30,795571
2015-01-05,30,730242
2015-01-04,30,650000
2015-01-03,30,620576
2015-01-02,30,42457
2015-01-01,30,170000
2014-12-31,30,90000
2014-12-30,30,721959
2014-12-29,30,451573
2014-12-28,30,735833
2014-12-27,30,740000
2014-12-26,30,600000
2014-12-25,30,610000
2014-12-24,30,167644
2014-12-23,30,506006
2014-12-22,30,620685
2014-12-21,30,336615
2014-12-20,30,742640
2014-12-19,30,576898
2014-12-18,30,620000
2014-12-17,30,420000
2014-12-16,30,415642
2014-12-15,30,600000
2014-12-14,30,435602
2014-12-13,30,500000
2014-12-12,30,419475
2014-12-11,30,649670
2014-12-10,30,468197
2014-12-09,30,537414
2014-12-08,30,350000
2014-12-07,30,684775
2014-12-06,30,592070
2014-12-05,30,550000
2014-12-04,30,500000
2014-12-03,30,739634
2014-12-01,30,100000
2014-12-01,180,100000
2014-12-01,180,70000
2014-12-01,180,100000
2014-12-01,90,100000
2014-11-30,150,50000
2014-11-30,150,50000
2014-11-30,150,50000
2014-11-30,150,50000
2014-11-30,30,90000
2014-11-30,30,80000
2014-11-30,90,70000
2014-11-30,90,60000
2014-11-29,30,90000
2014-11-29,90,70000
2014-11-29,150,170000
2014-11-29,150,80000
2014-11-28,90,60000
2014-11-29,150,60000
2014-11-28,150,100000
2014-11-28,150,100000
2014-11-28,90,100000
2014-11-28,30,90000
2014-11-28,150,50000
2014-11-28,150,60000
2014-11-28,90,90000
2014-11-27,30,80000
2014-11-27,90,80000
2014-11-27,150,100000
2014-11-27,150,80000
2014-11-27,150,50000
2014-11-27,150,30000
2014-11-26,90,70000
2014-11-26,150,170000
2014-11-26,30,80000
2014-11-26,150,50000
2014-11-26,150,80000
2014-11-25,30,60000
2014-11-26,90,70000
2014-11-25,30,60000
2014-06-19,90,180000
2014-09-30,90,50000
2014-05-19,90,100000
2014-11-08,90,50000
2014-04-17,90,60000
2014-11-11,30,60000
2014-10-17,30,120000
2014-07-28,30,130000
2014-05-06,30,100000
2014-09-23,90,100000
2014-09-16,90,100000
2014-08-07,30,130000
2014-07-01,30,100000
2014-03-22,60,100000
2014-06-09,150,100000
2014-08-27,90,80000
2014-02-16,90,50000
2014-09-19,150,130000
2014-06-04,30,100000
2013-12-07,30,200000
2013-11-02,60,80000
2014-07-23,90,100000
2014-05-07,30,120000
2014-09-19,90,100000
2013-12-31,30,150000
2014-05-25,90,150000
2014-08-21,150,150000
2014-06-08,30,100000
2014-03-20,90,250000
2014-02-04,90,50000
2014-01-27,30,50000
2013-12-28,30,100000
2014-05-04,90,100000
2014-11-06,90,60000
2014-06-10,150,100000
2014-10-04,30,120000
2014-05-24,90,140000
2014-11-20,150,60000
2014-09-23,30,110000
2014-02-21,180,200000
2014-06-09,150,100000
2014-05-15,90,140000
2014-06-16,150,150000
2014-11-21,30,60000
2014-08-05,90,100000
2014-02-23,90,100000
2014-03-11,90,100000
2014-06-12,90,100000
2014-10-30,90,70000
2014-01-11,30,100000
2014-04-10,90,150000
2014-09-06,90,100000
2014-09-29,150,50000
2014-06-04,60,100000
2014-07-01,150,100000
2014-07-30,90,100000
2014-04-14,180,100000
2014-02-08,30,70000
2014-03-28,180,150000
2013-11-28,30,250000
2014-04-07,30,70000
2013-11-26,90,150000
2014-05-21,90,100000
2014-09-01,30,100000
2014-03-20,90,100000
2014-04-20,90,100000
2014-11-15,30,60000
2014-03-02,30,100000
2014-06-27,150,200000
2013-11-27,30,200000
2013-11-12,30,200000
2014-04-22,90,200000
2013-12-09,30,200000
2014-10-24,30,100000
2014-04-02,60,100000
2014-06-27,90,100000
2014-04-29,90,100000
2014-02-25,60,80000
2014-08-05,30,100000
2014-07-16,150,100000
2014-09-28,90,150000
2014-04-15,180,100000
2014-03-08,180,100000
2013-12-06,30,200000
2013-12-25,30,300000
2014-05-18,90,100000
2014-03-18,90,150000
2014-09-24,90,100000
2014-09-06,150,110000
2014-08-18,90,100000
2014-02-15,90,100000
2014-08-31,150,100000
2014-04-20,60,100000
2014-04-29,90,100000
2014-03-25,180,100000
2014-09-28,30,100000
2013-12-27,90,200000
2014-06-12,90,100000
2014-05-22,90,100000
2014-11-10,30,60000
2014-03-23,90,100000
2014-08-31,90,120000
2014-09-21,30,120000
2013-11-05,30,500000
2014-10-13,90,80000
2014-01-04,45,120000
2014-03-06,90,100000
2014-03-07,60,100000
2014-04-24,90,100000
