DEADLINE,LIFE_LOAN,ITEM_AMOUNT
2014-05-29,90,80000
2014-02-09,90,100000
2014-10-28,150,100000
2014-09-18,90,100000
2014-09-13,90,100000
2014-02-25,30,100000
2014-05-31,180,100000
2014-08-13,90,100000
2014-07-28,150,100000
2014-04-29,90,200000
2014-02-20,90,150000
2014-05-09,180,50000
2014-01-26,30,50000
2014-08-10,150,100000
2014-01-02,90,220000
2014-06-30,150,100000
2014-04-16,90,180000
2014-07-25,30,120000
2014-10-20,150,100000
2013-10-23,dynamic,88888
2014-06-05,90,50000
2014-07-03,30,120000
2013-12-09,90,100000
2014-04-14,90,100000
2014-08-13,30,120000
2014-07-09,150,150000
2014-03-12,60,100000
2014-08-03,150,100000
2014-08-24,150,100000
2014-01-06,45,150000
2014-11-06,150,50000
2014-09-29,150,100000
2014-08-08,90,100000
2014-02-06,90,80000
2014-09-26,90,100000
2014-07-02,90,100000
2013-12-13,90,80000
2014-08-30,150,100000
2014-05-17,90,150000
2014-11-22,150,70000
2014-11-21,30,50000
2014-06-07,90,100000
2014-05-31,30,120000
2014-10-18,30,100000
2014-07-27,30,120000
2014-06-08,90,100000
2014-11-06,90,60000
2014-04-16,90,100000
2014-09-17,90,100000
2014-09-29,90,150000
2014-02-27,60,80000
2014-06-30,150,150000
2014-08-29,150,100000
2014-11-14,150,40000
2014-02-28,90,120000
2014-07-13,150,100000
2014-09-16,90,100000
2014-08-18,150,100000
2014-05-26,90,100000
2013-12-03,90,200000
2014-05-25,90,100000
2014-03-18,60,100000
2014-06-13,30,100000
2014-07-19,30,120000
2014-03-28,90,100000
2014-02-26,60,120000
2014-08-07,150,100000
2014-07-17,90,100000
2014-02-21,60,120000
2014-08-07,150,150000
2014-05-20,60,100000
2014-11-14,30,90000
2014-10-14,90,100000
2014-06-03,30,100000
2014-06-08,150,100000
2014-02-27,30,50000
2014-01-27,60,100000
2014-11-06,150,50000
2014-08-17,30,120000
2014-02-23,30,100000
2014-03-24,30,100000
2014-07-29,30,150000
2014-10-21,150,250000
2014-08-31,30,100000
2014-01-19,30,100000
2014-10-15,30,100000
2013-11-20,30,200000
2014-10-11,150,120000
2014-08-06,90,100000
2014-10-26,150,100000
2014-06-06,90,100000
2014-07-22,90,100000
2014-11-13,150,50000
2014-09-01,90,100000
2014-10-31,90,40000
2014-08-12,150,50000
2014-01-28,60,60000
2013-12-13,30,150000
2014-06-05,60,100000
2014-07-27,90,100000
2014-10-25,150,150000
2014-08-27,150,100000
2014-10-19,150,100000
2014-09-21,150,100000
2014-02-14,60,50000
2014-06-30,90,150000
2013-10-24,60,80000
2014-05-13,90,100000
2014-07-23,150,100000
2014-11-20,150,60000
2014-08-01,150,100000
2014-11-02,150,80000
2014-01-25,90,50000
2014-11-13,90,30000
2014-02-24,60,80000
2014-07-25,90,80000
2014-10-14,90,100000
2014-06-14,90,150000
2014-01-03,45,120000
2014-09-12,90,100000
2014-08-15,150,100000
2014-03-25,90,120000
2014-09-20,90,100000
2014-04-26,90,180000
2014-02-28,180,330000
2014-09-26,90,150000
2014-08-04,90,100000
2014-10-14,150,50000
2014-11-25,90,70000
2014-03-13,60,100000
2014-04-12,180,100000
2014-03-10,90,60000
2014-07-08,90,100000
2014-09-28,90,100000
2014-10-26,90,100000
2014-10-05,150,50000
2014-10-12,150,80000
2014-03-10,30,80000
2014-07-04,90,300000
2014-06-26,150,150000
2014-03-06,30,130000
2014-10-27,150,150000
2014-08-28,150,100000
2013-12-05,30,300000
2014-03-12,180,100000
2014-05-20,90,200000
2014-04-08,90,100000
2014-07-15,150,100000
2014-08-20,150,100000
2014-09-22,90,100000
2014-04-25,90,300000
2014-08-22,150,200000
2014-10-18,90,90000
2014-02-17,60,100000
2014-07-07,150,100000
2014-10-17,150,100000
2014-02-21,60,80000
2014-06-24,90,100000
2014-02-23,180,100000
2014-07-23,30,130000
2014-06-13,90,100000
2014-03-02,90,100000
2014-02-05,30,150000
2014-06-07,150,100000
2014-03-24,180,100000
2014-08-08,150,100000
2014-09-03,30,120000
2014-08-17,150,100000
2014-03-09,180,100000
2014-06-19,30,100000
2014-09-11,30,100000
2014-09-04,150,100000
2014-08-07,90,200000
2014-06-21,90,40000
2014-11-23,30,80000
2014-10-09,90,100000
2014-06-13,90,100000
2014-04-19,90,100000
2014-05-23,90,120000
2014-05-30,90,100000
2014-05-09,90,100000
2014-01-16,90,90000
2014-10-16,150,110000
2014-02-22,60,200000
2014-09-22,90,100000
2014-11-10,150,150000
2013-10-30,30,200000
2014-03-16,30,70000
2014-02-25,180,100000
2014-10-30,150,100000
2014-05-09,180,100000
2014-11-22,90,60000
2014-02-25,30,80000
2014-05-28,30,100000
2014-07-04,30,100000
2014-07-03,90,100000
2014-11-11,30,60000
2013-12-06,30,200000
2014-05-28,90,150000
2014-07-22,30,120000
2014-02-22,90,130000
2014-03-25,30,100000
2014-04-21,30,100000
2014-06-19,90,110000
2013-12-20,30,150000
2014-05-17,30,90000
2014-08-23,150,160000
2013-10-25,30,76000
2014-04-24,180,50000
2014-08-21,150,100000
2014-11-05,90,80000
2014-08-28,90,80000
2014-02-11,90,100000
2014-04-02,90,160000
2014-09-17,150,120000
2014-06-06,90,100000
2014-09-09,150,110000
2014-03-20,60,50000
2014-09-28,90,100000
2014-06-13,150,100000
2014-10-06,30,100000
1970-01-01,150,100000
2014-02-22,180,100000
2014-06-16,90,50000
2014-06-28,90,130000
2014-06-17,90,100000
2014-11-14,90,100000
2014-05-08,30,100000
2014-09-10,150,100000
2014-08-19,150,120000
2014-05-28,90,120000
2013-12-30,90,150000
2013-11-13,30,200000
2014-03-02,90,100000
2014-02-09,60,80000
2014-03-17,90,100000
2014-10-13,150,70000
2014-07-08,30,120000
2014-09-30,90,150000
2014-01-13,30,150000
2014-11-24,30,70000
2013-12-13,30,70000
2014-08-08,90,80000
2014-08-25,90,150000
2014-09-15,30,110000
2014-09-09,150,100000
2014-06-25,30,100000
2014-09-27,90,50000
2014-01-26,30,100000
2014-10-20,90,120000
2014-09-24,30,110000
2013-10-23,30,200000
2014-08-12,90,40000
2014-03-27,90,100000
2014-09-07,90,150000
2014-08-30,150,50000
2014-02-12,60,100000
2014-08-21,90,100000
2014-04-27,30,50000
2014-04-11,90,100000
2014-05-19,30,100000
2014-10-19,90,100000
2014-03-07,180,100000
2013-11-30,90,100000
2013-12-20,90,100000
2014-11-21,150,60000
2014-11-18,150,70000
2014-08-09,150,100000
2014-07-11,90,100000
2014-11-08,150,100000
2014-03-27,60,100000
2014-02-21,90,80000
2014-07-17,30,130000
2014-02-05,90,70000
2014-02-08,60,100000
2014-05-12,90,50000
2014-07-29,150,150000
2014-03-14,60,100000
2014-04-14,60,50000
2014-06-13,90,150000
2014-01-22,30,100000
2014-05-21,30,100000
2014-07-28,90,150000
2014-07-15,90,150000
2014-09-07,30,140000
2014-04-29,90,100000
2014-09-29,30,100000
2014-01-27,90,80000
2014-07-26,90,100000
2014-05-16,30,100000
2014-07-09,30,120000
2014-02-10,30,60000
2014-09-22,150,100000
2014-08-13,90,100000
2014-07-05,150,100000
2014-10-22,90,120000
2014-11-13,90,100000
2014-08-21,30,130000
2014-06-25,90,200000
2014-08-18,150,100000
2014-06-27,150,100000
2014-04-22,90,100000
2014-10-18,90,100000
2013-11-24,30,180000
2014-05-31,90,100000
2014-08-11,90,100000
2014-04-27,90,210000
2014-05-09,90,120000
2014-07-19,150,100000
2014-09-11,90,100000
2014-08-09,150,160000
2014-04-06,60,100000
2014-01-14,30,100000
2014-10-20,90,100000
2014-10-12,30,120000
2013-11-11,dynamic,88888
2014-03-10,90,100000
2014-04-18,90,60000
2014-06-24,30,100000
2014-06-30,90,150000
2014-01-06,90,100000
2014-07-15,150,150000
2014-09-18,90,150000
2014-10-29,90,100000
2014-03-19,90,50000
2014-10-15,150,50000
2014-04-25,90,100000
2014-05-20,30,100000
2014-02-22,30,120000
2014-01-03,90,100000
2014-09-21,90,100000
2014-03-23,60,200000
2014-04-03,60,100000
2014-07-12,90,100000
2014-11-12,150,100000
2014-06-10,30,100000
2014-09-18,150,100000
2014-05-02,90,100000
2014-06-11,150,100000
2014-09-09,150,100000
2014-08-03,150,100000
2013-11-21,30,120000
2014-11-17,90,70000
2014-04-06,90,100000
2014-03-05,90,100000
2014-08-20,150,100000
2014-03-17,30,120000
2014-02-14,90,90000
2014-03-19,90,100000
2014-04-15,90,100000
2014-02-28,30,190000
2014-08-16,90,80000
2014-10-31,30,100000
2014-03-24,90,120000
2014-05-28,90,100000
2013-11-20,30,200000
2014-06-19,150,100000
2014-08-23,150,140000
2014-11-04,30,100000
2014-08-02,30,100000
2014-07-05,30,100000
2014-08-27,150,50000
2014-06-28,150,160000
2014-07-14,30,130000
2014-06-06,30,100000
2014-01-12,90,100000
2014-09-05,150,80000
2014-05-13,180,150000
2014-07-11,150,150000
2014-03-14,60,120000
2014-09-25,90,200000
2014-03-14,90,50000
2014-11-10,90,50000
2014-01-22,30,50000
2014-05-04,90,100000
2014-05-26,30,100000
2014-11-20,30,130000
2014-11-03,150,70000
2013-12-23,90,150000
2014-05-29,90,100000
2014-03-22,90,100000
2013-11-09,30,200000
2014-05-09,90,50000
2014-09-22,90,100000
2014-08-30,150,100000
2014-09-21,150,100000
2014-10-11,90,100000
2014-11-11,90,100000
2014-03-26,30,70000
2014-01-25,60,60000
2014-06-03,90,100000
2014-08-06,90,100000
2014-04-27,90,200000
2014-06-30,90,50000
2014-02-06,60,100000
2014-09-02,90,100000
2013-11-15,30,70000
2014-01-19,30,100000
2014-08-13,90,100000
2014-07-26,90,160000
2014-10-25,150,100000
2014-09-19,90,100000
2014-02-22,60,120000
2014-01-05,45,100000
2014-02-27,60,260000
2014-04-21,180,100000
2014-11-07,150,350000
2014-01-28,30,140000
2014-02-10,60,80000
2014-08-16,150,30000
2014-03-31,90,100000
2014-10-26,90,100000
2014-05-21,90,100000
2014-10-05,150,50000
2014-08-29,150,100000
2014-02-16,90,150000
2014-11-02,30,100000
2014-02-22,90,100000
2014-10-31,150,100000
2014-04-02,180,100000
2014-09-14,dynamic,88000
2014-06-07,90,100000
2014-04-12,90,100000
2014-09-25,150,110000
2014-10-25,90,150000
2014-02-26,30,100000
2014-07-04,90,100000
2014-08-29,30,100000
2014-04-24,30,70000
2014-09-13,90,100000
2014-03-22,30,60000
2014-04-24,90,300000
2014-06-12,30,100000
2014-09-15,90,120000
2014-05-19,90,110000
2014-07-30,30,130000
2014-09-14,150,50000
2014-08-28,150,100000
2014-07-15,150,100000
2014-02-28,60,220000
2014-06-23,150,100000
2014-08-09,150,40000
2014-01-04,45,130000
2014-08-18,90,200000
2014-06-04,90,100000
2014-03-31,30,80000
2014-11-17,150,70000
2014-05-03,90,130000
2014-07-20,90,160000
2014-01-25,30,100000
2014-01-29,30,50000
2013-12-18,30,150000
2014-08-01,90,100000
2014-07-29,90,100000
2014-05-04,30,100000
2014-02-19,60,60000
2014-01-16,30,100000
2014-03-15,30,80000
2014-08-01,90,100000
2014-08-25,150,100000
2014-04-23,90,200000
2014-10-27,90,100000
2014-09-27,90,160000
2014-02-19,90,100000
2014-09-24,150,40000
2013-11-06,90,170000
2014-10-19,90,30000
2014-08-17,90,70000
2014-03-24,90,100000
2014-04-21,30,80000
2014-08-19,150,100000
2014-08-20,90,190000
2014-02-16,60,60000
2014-08-11,150,100000
2014-11-14,90,50000
2014-01-14,90,150000
2014-08-24,90,200000
2014-09-01,150,100000
2014-04-14,90,100000
2014-11-12,150,270000
2014-06-26,30,100000
2014-11-23,150,80000
2014-02-15,60,200000
2014-09-11,150,100000
2014-08-13,150,150000
2014-11-16,30,80000
2014-08-20,90,70000
2014-03-22,180,100000
2014-07-27,90,250000
2014-10-25,150,150000
2014-04-20,90,100000
2014-02-08,30,300000
2014-03-09,90,100000
2014-03-03,180,100000
2014-03-13,180,100000
2014-10-24,150,100000
2014-06-16,30,100000
2013-12-19,30,50000
2013-12-12,dynamic,88888
2014-01-10,30,120000
2014-10-13,150,100000
2014-03-27,90,350000
2014-09-12,90,100000
2014-04-18,180,100000
2014-05-20,90,100000
2014-11-24,90,70000
2013-12-02,30,200000
2014-11-18,90,60000
2014-07-12,150,140000
2014-02-23,180,100000
2014-07-26,90,40000
2014-02-19,60,90000
2014-09-17,30,130000
2014-05-05,90,100000
2013-11-23,30,200000
2014-10-13,30,110000
2014-11-24,150,100000
2014-09-09,90,100000
2014-08-29,150,150000
2014-08-04,90,100000
2014-09-21,150,100000
2014-07-20,90,150000
2014-03-21,90,100000
2014-05-11,90,100000
2014-10-26,30,130000
2014-11-08,150,60000
2014-10-25,90,100000
2014-09-20,150,50000
2014-03-24,90,40000
2014-03-27,180,100000
2014-05-02,90,150000
2014-08-17,90,100000
2014-07-19,90,150000
2014-07-18,30,140000
2014-01-24,30,50000
2014-10-10,90,100000
2014-09-17,150,100000
2014-11-05,150,50000
2014-03-13,30,80000
2014-06-14,150,150000
2013-11-01,30,250000
2014-03-15,60,80000
2014-02-08,60,100000
2014-10-14,150,100000
2014-02-15,30,80000
2014-05-11,90,100000
2014-06-18,150,100000
2014-02-24,30,70000
2014-08-03,90,100000
2014-03-19,180,150000
2013-11-04,30,200000
2014-09-27,150,100000
2014-04-18,90,100000
2014-10-23,150,100000
2014-08-14,150,100000
2014-10-08,150,100000
2014-02-25,60,120000
2014-09-27,90,100000
2014-03-02,180,50000
2013-11-19,30,60000
2014-10-12,90,80000
2014-05-18,90,100000
2014-01-27,30,160000
2014-08-05,150,100000
2014-04-04,30,140000
2014-11-10,30,60000
2014-03-01,180,100000
2014-09-29,150,70000
2014-03-14,180,50000
2014-10-04,90,200000
2014-03-11,90,200000
2014-11-04,90,80000
2013-12-10,90,150000
2014-01-27,60,200000
2013-12-19,30,200000
2014-11-16,90,50000
2014-11-06,30,90000
2014-07-16,150,100000
2014-04-02,60,100000
2014-03-22,60,100000
2014-10-15,150,100000
2014-05-07,90,100000
2014-09-06,90,120000
2014-08-21,90,110000
2014-01-08,45,200000
2014-04-09,30,70000
2014-01-28,90,70000
2014-01-29,90,200000
2014-01-12,30,150000
2014-02-28,60,200000
2014-02-25,60,150000
2014-02-26,60,100000
2014-02-18,30,100000
2014-08-22,90,100000
2013-11-06,60,200000
2014-04-16,180,100000
2014-07-18,150,100000
2014-05-13,180,100000
2014-07-31,90,170000
2014-09-24,90,250000
2013-12-10,30,100000
2014-04-22,90,60000
2014-05-10,90,100000
2013-11-04,90,70000
2014-06-30,30,150000
2014-02-26,180,40000
2014-05-29,180,100000
2014-04-27,90,100000
2014-08-23,30,120000
2014-10-27,150,100000
2014-06-12,150,70000
2014-03-20,180,100000
2014-05-23,30,100000
2014-09-10,30,130000
2014-03-08,90,100000
2014-04-19,90,100000
2014-07-08,150,100000
2014-03-31,180,100000
2014-10-16,30,100000
2014-06-15,90,50000
2014-02-10,60,200000
2014-10-10,30,100000
2014-05-02,90,100000
2014-07-29,150,100000
2014-09-03,150,100000
2014-09-02,90,100000
2014-10-15,90,100000
2014-01-17,60,50000
2014-02-11,60,110000
2014-06-27,30,150000
2014-08-06,150,100000
2014-02-27,30,50000
2014-02-15,60,70000
2014-04-20,90,100000
2014-05-16,90,150000
2014-01-29,60,300000
2014-08-12,150,100000
2014-09-20,150,100000
2014-09-22,90,20000
2014-02-04,60,150000
2014-06-08,150,150000
2014-10-06,90,100000
2014-09-13,150,220000
2014-07-06,150,100000
2014-10-28,150,50000
2014-08-16,150,150000
2014-11-25,150,300000
2014-11-16,150,50000
2014-07-01,150,100000
2014-10-14,150,100000
2014-04-14,30,100000
2014-08-11,90,100000
2014-08-27,30,100000
2014-02-24,60,80000
2014-10-27,90,150000
2014-10-29,30,150000
2014-03-07,90,100000
2014-09-03,150,100000
2013-12-20,90,150000
2014-03-15,180,100000
2014-08-24,90,120000
2014-11-13,30,80000
2014-09-28,150,100000
2014-08-16,90,100000
2014-05-12,90,150000
2014-02-14,90,50000
2014-10-16,90,70000
2014-05-02,30,100000
2014-04-16,30,70000
2014-05-16,90,170000
2014-03-20,30,70000
2014-11-01,150,60000
2014-06-29,30,150000
2014-07-30,90,30000
2014-03-14,60,50000
2014-08-24,150,150000
2014-08-26,30,100000
2014-03-01,60,80000
2014-09-20,30,120000
2014-06-29,150,90000
2014-04-11,180,100000
2014-01-06,45,200000
2014-09-21,90,100000
2014-09-25,90,150000
2013-11-09,30,200000
2014-06-03,90,300000
2014-09-28,90,100000
2014-06-25,150,100000
2014-10-06,150,50000
2014-05-06,90,100000
2014-01-22,60,40000
2014-02-18,60,50000
2014-08-28,150,100000
2014-10-22,90,50000
2014-02-22,180,100000
2014-07-22,150,100000
2014-01-09,30,100000
2014-10-30,150,100000
2014-05-12,90,110000
2014-04-01,90,50000
2014-03-16,90,200000
2014-04-29,30,70000
2014-02-05,60,150000
2013-12-29,30,200000
2014-07-12,90,100000
2014-04-12,90,150000
2014-01-16,30,100000
2014-11-04,90,100000
2013-12-19,30,100000
2014-01-23,30,100000
2013-11-06,30,80000
2014-10-21,90,130000
2014-04-07,90,130000
2014-05-14,180,50000
2014-07-14,90,100000
2014-06-03,60,100000
2014-09-29,150,100000
2014-09-23,150,50000
2014-09-15,150,120000
2014-11-18,90,60000
2014-05-27,90,230000
2014-07-09,150,150000
2014-09-16,30,120000
2014-07-28,90,130000
2014-03-22,90,100000
2014-07-09,90,100000
2014-05-26,90,100000
2014-11-13,90,100000
2014-07-28,150,100000
2014-07-11,30,100000
2014-11-13,150,60000
2014-06-15,30,100000
2014-10-15,150,200000
2014-06-23,30,100000
2014-01-07,45,150000
2014-01-19,90,100000
2014-06-04,90,100000
2014-09-13,30,130000
2014-01-15,30,100000
2014-05-09,30,100000
2014-01-06,90,150000
2013-10-26,30,100000
2014-07-28,90,140000
2014-07-17,90,100000
2014-09-15,90,100000
2014-04-11,30,70000
2014-03-21,90,350000
2014-07-30,90,100000
2014-10-26,150,100000
2014-03-19,90,100000
2014-02-18,60,70000
2014-09-27,150,100000
2014-11-22,150,50000
2014-09-26,150,100000
2014-09-24,150,120000
2014-05-10,180,100000
2014-05-08,90,100000
2014-11-17,30,70000
2014-09-01,90,100000
2014-09-28,90,100000
2014-04-28,90,100000
2014-10-24,150,150000
2014-08-04,90,100000
2014-09-23,150,100000
2014-04-28,90,200000
2014-08-02,90,160000
2014-08-23,150,40000
2013-11-07,30,500000
2014-03-03,90,100000
2014-04-08,30,70000
2013-10-27,30,100000
2014-03-15,90,100000
2014-03-27,90,200000
2014-01-18,30,100000
2014-10-10,150,80000
2014-02-04,dynamic,168888
2014-04-01,90,100000
2014-01-29,30,200000
2014-06-07,90,200000
2014-11-03,90,90000
2014-10-15,90,150000
2014-04-17,90,100000
2014-03-03,30,50000
2014-02-16,30,70000
2014-08-04,30,120000
2014-07-13,150,100000
2014-04-11,180,100000
2014-03-30,180,100000
2014-09-13,150,120000
2014-05-22,90,120000
2014-06-19,150,150000
2014-04-30,90,100000
2014-02-09,90,100000
2014-08-30,90,130000
2014-10-10,150,50000
2014-05-31,90,250000
2014-10-11,90,150000
2014-01-24,30,300000
2014-03-23,180,50000
2014-02-09,60,90000
2014-03-28,90,250000
2014-04-01,90,100000
2014-09-25,150,130000
2014-08-09,90,100000
2014-06-18,90,140000
2014-05-05,90,100000
2013-12-19,90,300000
2014-02-18,90,150000
2014-05-13,30,150000
2014-07-31,90,100000
2014-09-29,150,200000
2014-03-10,90,100000
2014-10-22,150,130000
2014-01-08,90,40000
2014-04-19,90,100000
2014-08-19,150,100000
2014-04-20,30,70000
2014-11-11,150,50000
2014-04-30,90,200000
2013-11-30,30,300000
2014-07-03,150,100000
2013-11-22,90,120000
2014-10-17,150,100000
2014-09-26,150,100000
2014-03-07,90,100000
2014-08-20,90,100000
2014-02-04,30,150000
2014-10-14,150,100000
2013-12-07,90,100000
2014-09-23,90,100000
2014-02-11,60,200000
2013-11-23,90,150000
2014-10-21,90,100000
2014-06-14,150,100000
2014-01-26,60,60000
2014-08-03,90,100000
2014-06-23,90,150000
2014-10-07,90,100000
2014-04-26,90,80000
2014-11-09,150,40000
2014-09-05,30,100000
2014-05-17,90,100000
2014-08-25,90,200000
2014-03-28,60,80000
2014-10-24,90,120000
2014-08-08,150,100000
2014-03-24,90,130000
2014-07-05,150,100000
2014-05-19,90,100000
2014-11-20,90,70000
2014-06-25,150,150000
2014-09-30,90,140000
2014-06-26,90,50000
2014-09-14,150,120000
2014-08-10,150,100000
2014-07-23,150,100000
2014-01-18,30,100000
1970-01-01,30,50000
2014-10-10,90,100000
2014-05-23,60,100000
2014-04-27,90,50000
2014-07-29,90,250000
2014-09-28,90,40000
2014-07-02,150,100000
2014-06-26,150,100000
2014-07-10,90,100000
2014-11-14,150,100000
2014-02-28,30,60000
2014-11-03,150,150000
2014-10-27,30,120000
2014-06-22,90,150000
2014-03-21,180,100000
2014-08-31,150,100000
2014-08-01,90,100000
2014-02-07,60,80000
2014-07-29,90,30000
2014-04-12,30,100000
2014-07-10,150,50000
2014-11-13,150,60000
2014-10-05,90,100000
2014-11-12,30,80000
2014-11-02,150,80000
2014-08-17,150,100000
2014-10-21,30,130000
2014-07-27,150,150000
2014-02-24,60,80000
2013-11-19,30,180000
2013-12-27,30,200000
2014-06-16,90,110000
2014-02-11,30,80000
2013-12-17,30,150000
2014-10-09,90,100000
2014-03-26,90,130000
2014-06-07,30,100000
2014-07-08,150,150000
2014-03-08,30,80000
2013-11-02,30,250000
2014-10-08,90,100000
2014-06-10,150,130000
2014-07-22,150,150000
2014-03-25,90,100000
2014-01-15,30,50000
2014-11-18,150,100000
2014-03-11,30,70000
2014-02-22,60,130000
2014-11-24,150,50000
2014-08-26,150,100000
2014-08-09,30,120000
2014-08-12,150,160000
2014-08-14,30,100000
2014-07-07,30,100000
2014-07-06,90,100000
2014-11-09,30,60000
2014-04-13,90,100000
2014-06-30,150,100000
2014-07-01,90,50000
2014-04-01,180,100000
2014-04-13,30,100000
2014-10-18,150,100000
2014-11-23,90,70000
2014-08-08,30,120000
2014-09-30,90,50000
2014-04-06,90,150000
2013-11-05,30,100000
2013-10-24,30,200000
2014-05-15,30,100000
2014-02-17,60,80000
2014-08-03,90,40000
2014-10-29,150,50000
2014-04-06,90,100000
2014-10-13,150,80000
2014-07-16,90,150000
2014-11-07,90,50000
2013-12-27,30,150000
2014-07-16,90,140000
2014-11-16,150,50000
2014-10-18,90,100000
2014-08-26,150,100000
2014-06-18,90,50000
2014-07-21,90,150000
2014-02-24,60,200000
2014-11-18,150,70000
2014-03-21,60,100000
2014-10-23,150,150000
2013-11-04,30,500000
2014-11-17,90,70000
2014-03-19,90,300000
2013-12-05,90,140000
2014-04-03,90,200000
2014-11-12,90,60000
