deadline,life loan,ITEM_AMOUNT,MONEY_RATE
2015-08-05,90,420000,16
2015-08-03,90,350000,16
2015-08-03,90,49.4,16
2015-07-29,90,500000,16
2015-07-28,90,850000,16
2015-07-27,90,50000,16
2015-07-28,90,200000,16
2015-07-27,90,72.8,16
2015-07-22,90,50.1,16
2015-07-21,90,300000,16
2015-07-20,90,250000,16
2015-07-20,90,700000,16
2015-07-17,90,490000,16
2015-07-17,90,400000,16
2015-07-10,90,900000,16
2015-07-08,90,200000,16
2015-07-08,90,350000,18
2015-07-08,90,700000,16
2015-07-06,90,450000,18
2015-07-06,90,850000,16
2015-07-06,90,350000,16
2015-07-01,90,380000,18
2015-06-29,90,450000,18
2015-06-29,90,400000,18
2015-06-25,90,300000,18
2015-07-01,90,1100000,16
2015-06-25,90,550000,16
2015-06-23,90,150000,18
2015-06-23,90,400000,18
2015-06-22,90,450000,18
2015-06-20,90,55.9,16
2015-06-20,90,360000,16
2015-06-18,90,370000,16
2015-06-13,90,450000,18
2015-06-11,60,200000,18
2015-06-14,90,1000000,16
2015-06-05,90,800000,18
2015-06-04,90,800000,16
2015-05-28,90,22.8,16
2015-06-01,90,400000,18
2015-05-28,90,250000,18
2015-05-25,90,400000,18
2015-05-23,90,320000,16
2015-05-19,90,81.2,16
2015-05-23,90,550000,18
2015-05-19,90,550000,18
2015-05-18,90,1000000,18
2015-05-17,90,930000,18
2015-05-14,90,550000,18
2015-05-14,90,58.6,18
2015-05-11,120,600000,18
2015-05-12,90,500000,18
2015-05-11,90,200000,18
2015-05-08,90,350000,18
2015-05-04,90,500000,18
2015-04-30,90,350000,18
2015-04-28,30,400000,18
2015-04-25,90,400000,18
2015-04-21,90,480000,18
2015-04-17,90,500000,18
2015-04-15,14,1000000,12
2015-04-14,7,500000,12
2015-04-14,90,500000,18
2015-04-14,14,2500000,12
2015-04-21,90,570000,16
2015-04-13,7,1000000,12
2015-04-14,3,2500000,12
2015-04-12,90,670000,16
2015-04-14,90,190000,16
2015-04-11,14,1000000,12
2015-04-11,14,3000000,12
2015-04-11,14,1000000,12
2015-04-11,14,1000000,12
2015-04-16,3,2500000,12
2015-04-11,14,3000000,12
2015-04-16,3,5000000,12
2015-04-10,7,3000000,12
2015-04-10,7,5000000,12
2015-04-10,14,1500000,12
2015-04-12,90,1500000,18
2015-04-10,30,2500000,12
2015-04-10,14,5000000,12
2015-04-10,3,500000,12
2015-04-10,14,1000000,12
2015-04-09,14,4000000,12
2015-04-11,14,4000000,12
2015-04-10,7,5000000,12
2015-04-09,90,120000,18
2015-04-09,14,4000000,12
2015-04-09,90,1000000,18
2015-04-12,90,61.2,16
2015-04-08,90,500000,18
2015-04-07,90,50000,18
2015-04-09,90,1000000,18
2015-04-03,90,200000,18
2015-04-08,90,500000,18
2015-04-02,90,1000000,18
2015-04-01,90,300000,18
2015-04-02,90,75.2,16
2015-04-03,90,500000,18
2015-03-25,90,400000,18
2014-12-29,90,1450000,18
2015-02-10,90,500000,18
2015-03-26,90,870000,18
2014-12-02,60,100000,18
2015-03-23,90,920000,18
2015-03-17,60,59.6,18
2015-03-31,60,1100000,16
2015-01-22,90,300000,18
2015-02-28,90,600000,18
2014-12-05,60,1120000,18
2015-02-04,90,1500000,18
2015-02-05,90,500000,18
2015-03-30,90,1500000,18
2015-01-29,90,800000,18
2015-03-05,90,230000,18
2015-01-12,180,300000,18
2014-12-23,90,1630000,18
2015-03-09,90,180000,18
2014-11-29,90,50000,18
2014-12-17,90,960000,18
2014-12-18,90,200000,18
2015-03-06,90,670000,18
2015-01-09,90,1000000,18
2015-03-25,90,100000,18
2015-01-12,60,160000,18
2015-03-14,60,570000,18
2015-03-24,90,500000,18
2015-03-18,60,32.6,18
2014-12-08,60,280000,18
2014-11-30,60,100000,18
2015-03-23,90,500000,18
2014-12-26,90,400000,18
2015-02-23,90,1500000,18
2015-01-08,60,420000,18
2014-12-31,90,500000,18
2015-01-16,60,700000,18
2015-03-30,90,300000,18
2015-02-13,90,300000,18
2015-03-30,90,500000,18
2015-03-30,90,500000,18
2014-12-17,60,300000,18
2015-02-07,60,600000,18
2015-02-13,90,600000,18
2015-03-19,60,560000,18
2015-03-07,90,1500000,18
2015-02-09,90,540000,18
