release time,life loan,ITEM_AMOUNT
,,8500
,,10000
,90,1000000
,180,1600000
,90,2600000
,180,2000000
,90,3000000
,90,2000000
,180,1600000
,90,2000000
,90,2930000
,180,1600000
,180,2700000
,180,1000000
,180,1500000
,90,1900000
,90,2100000
,180,2000000
,180,2900000
,180,2750000
,90,500000
,180,1000000
,180,1000000
,180,2000000
,30,3000000
,90,800000
,90,900000
,180,1250000
,90,1500000
,120,850000
,90,1500000
,90,320000
,90,900000
,90,1250000
,90,1600000
,90,2000000
,90,1000000
,90,2000000
,90,2000000
,90,2000000
,180,1100000
,90,600000
,90,2000000
,90,3000000
,180,1400000
,90,1800000
,90,1500000
,90,1000000
,90,1000000
,90,800000
,60,2800000
,90,2000000
,90,1800000
,90,1800000
,60,4200000
,90,1000000
,90,1000000
,90,1000000
,90,2000000
,90,1000000
,90,1000000
,90,1000000
,90,2500000
,90,700000
,90,1000000
,90,2000000
,90,800000
,90,2500000
,120,1750000
,30,1000000
,30,1350000
,30,1000000
,30,1000000
,90,2500000
,90,1200000
,90,600000
,90,1300000
,30,1000000
,30,1000000
,30,1000000
,30,1000000
,30,1000000
,90,1800000
,90,900000
,120,1200000
,30,1000000
,60,3000000
,30,1000000
,60,5000000
,90,900000
,90,1300000
,120,1000000
,90,800000
,120,1000000
,90,800000
,90,600000
,90,800000
,90,1800000
,60,1200000
,90,1000000
,180,1700000
,180,1000000
,90,600000
,90,900000
,60,1500000
,90,1200000
,60,900000
,90,1500000
,90,1000000
,90,1600000
,90,1500000
,90,900000
,120,1000000
,120,1000000
,90,1100000
,90,600000
,120,1000000
,90,1000000
,180,1000000
,180,2000000
,120,1000000
,90,700000
,120,1500000
,120,1000000
,90,700000
,150,900000
,60,900000
,180,1000000
,180,800000
,150,1000000
,150,1000000
,90,1000000
,90,1200000
,90,1300000
,150,1500000
,150,1200000
,150,1000000
,90,900000
,150,1500000
,120,1000000
,120,1000000
,120,1000000
,120,1100000
,120,1000000
,120,660000
,120,660000
,120,1000000
,120,1000000
,120,1000000
,120,1000000
,120,1000000
,120,1100000
,90,1300000
,150,3000000
,120,1600000
,120,2100000
,30,700000
,150,2000000
,90,700000
,120,1500000
,180,1800000
,150,2000000
,180,500000
,180,1300000
,150,2000000
,180,1000000
,90,1350000
,90,1800000
,150,2000000
,90,1800000
,90,1200000
,150,1000000
,60,2000000
,180,900000
,90,900000
,90,1500000
,180,2000000
,180,1000000
,180,1500000
,90,700000
,90,1000000
,90,800000
,90,600000
,180,900000
,30,300000
,90,1800000
,90,900000
,90,1300000
,30,900000
,90,1100000
,180,800000
,90,600000
,60,800000
,180,1000000
,90,1000000
,30,900000
,90,700000
,30,900000
,90,1000000
,150,900000
,90,800000
,90,900000
,90,2000000
,90,2000000
,90,1200000
,30,2000000
,90,700000
,90,1000000
,90,2000000
,30,800000
,30,1000000
,60,1500000
,30,1800000
,30,1200000
,30,1000000
,30,1800000
,60,350000
,60,500000
,30,1000000
,60,2500000
,90,1500000
,30,1000000
,60,1500000
,30,700000
,30,2000000
,60,1500000
,90,800000
,60,1000000
,30,2000000
,90,1000000
,30,2000000
,90,1000000
,30,2000000
,30,2000000
,60,1000000
,90,800000
,30,1500000
,30,1000000
,90,1000000
,90,1000000
,30,1000000
,90,700000
,30,1000000
,60,1000000
,30,1100000
,30,350000
,30,400000
,30,1000000
,30,700000
,60,1000000
,30,1000000
,30,2000000
,180,3000000
,30,800000
,30,800000
,90,1400000
,90,800000
,60,1200000
,30,500000
,30,300000
,30,600000
,30,1000000
,60,1200000
,30,350000
,30,400000
,60,1000000
,30,1000000
,30,700000
,60,800000
,30,1000000
,30,2000000
,60,1000000
,180,1000000
,30,1000000
,60,1000000
,30,800000
,30,800000
,30,1000000
,180,1000000
,60,1000000
,60,1000000
,30,1200000
,180,800000
,30,1200000
,30,600000
,90,800000
,30,1500000
,180,1000000
,30,700000
,30,350000
,90,1000000
,30,500000
,30,600000
,180,800000
,30,600000
,180,500000
,30,800000
,90,800000
,90,800000
,30,1000000
,120,1800000
,30,1000000
,90,1100000
,180,2000000
,30,720000
,180,2000000
,30,350000
,30,1500000
,180,1500000
,30,500000
,180,2400000
,120,500000
,30,1000000
,30,500000
,30,800000
,120,3000000
,120,500000
,180,500000
,30,500000
,30,1100000
,180,500000
,180,500000
,30,700000
,60,2000000
,150,500000
,90,3000000
,30,1000000
,60,800000
,120,3000000
,60,1800000
,120,3000000
,30,1000000
,60,2000000
,90,3000000
,90,600000
,,1500000
,,1000000
,,3500000
,,1500000
,,1500000
,,1000000
,,500000
