DEADLINE,LIFE_LOAN,ITEM_AMOUNT
2015-01-09,90,100000
2015-01-09,90,90000
2015-01-09,90,90000
2015-01-09,90,170000
2015-01-09,15,30000
2015-01-09,90,100000
2015-01-09,90,56000
2015-01-07,15,30000
2015-01-05,90,60000
2015-01-04,90,36000
2015-01-04,90,50000
2015-01-04,90,36000
2015-01-04,90,50000
2015-01-04,180,50000
2015-01-02,90,20000
2015-01-02,90,20000
2015-01-02,90,46000
2015-01-01,30,30000
2015-01-01,90,50000
2015-01-01,90,30000
2015-01-01,30,30000
2014-12-31,30,30000
2014-12-31,30,30000
2014-12-30,30,30000
2014-12-30,30,30000
2014-12-30,30,30000
2015-01-01,90,30000
2014-12-30,90,30000
2014-12-30,30,30000
2014-12-30,30,\N
2014-12-29,30,30000
2014-12-29,30,30000
2014-12-30,90,30000
2014-12-29,90,40000
2014-12-29,30,30000
2014-12-27,90,34000
2014-12-29,90,30000
2014-12-28,30,30000
2014-12-27,30,40000
2014-12-27,30,30000
2014-12-26,30,40000
2014-12-27,30,40000
2014-12-26,30,70000
2014-12-26,30,100000
2014-12-27,90,30000
2014-12-25,30,40000
2014-12-25,30,100000
2014-12-26,30,50000
2014-12-24,30,41000
2014-12-24,30,100000
2014-12-24,30,39000
2014-12-25,90,50000
2014-12-24,30,50000
2014-12-23,30,60000
2014-12-22,30,110000
2014-12-23,90,50000
2014-12-23,30,47000
2014-12-22,30,50000
2014-12-22,90,50000
2014-12-22,30,47000
2014-12-21,90,30000
2014-12-21,30,50000
2014-12-19,30,40000
2014-12-19,30,40000
2014-12-19,90,80000
2014-12-19,30,50000
2014-12-19,30,40000
2014-12-18,30,70000
2014-12-18,90,50000
2014-12-18,90,160000
2014-12-19,30,50000
2014-12-18,30,50000
2014-12-19,90,50000
2014-12-17,30,150000
2014-12-17,30,40000
2014-12-17,90,40000
2014-12-17,30,120000
2014-12-17,90,40000
2014-12-17,30,50000
2014-12-17,30,50000
2014-12-15,30,50000
2014-12-16,30,50000
2014-12-15,90,40000
2014-12-17,90,50000
2014-12-15,30,50000
2014-12-13,90,50000
2014-12-14,30,50000
2014-12-14,90,40000
2014-12-12,30,40000
2014-12-13,30,50000
2014-12-11,30,30000
2014-12-11,30,50000
2014-12-10,30,50000
2014-12-10,30,50000
2014-12-10,30,50000
2014-12-12,90,40000
2014-12-10,30,50000
2014-12-09,30,100000
2014-12-09,30,10000
2014-12-09,30,40000
2014-12-09,30,50000
2014-12-09,30,10000
2014-12-08,30,50000
2014-12-06,30,170000
2014-12-06,30,50000
2014-12-05,30,50000
2014-12-05,30,30000
2014-12-05,30,60000
2014-12-05,30,100000
2014-12-05,30,50000
2014-12-04,30,47000
2014-12-04,30,50000
2014-12-03,30,40000
2014-12-04,30,50000
2014-12-02,30,40000
2014-12-02,30,50000
2014-12-01,30,50000
2014-12-01,30,50000
2014-12-01,30,50000
2014-11-30,30,20000
2014-11-30,30,50000
2014-11-28,30,50000
2014-11-27,180,200000
2014-11-27,180,40000
2014-11-27,180,60000
2014-11-27,30,50000
2014-11-27,30,40000
2014-11-27,30,40000
2014-11-27,180,60000
2014-11-26,180,50000
2014-11-26,180,250000
2014-11-26,180,50000
2014-11-26,180,130000
2014-11-27,30,50000
2014-11-26,30,50000
2014-11-26,30,20000
2014-11-25,180,180000
2014-11-27,180,50000
2014-11-25,180,140000
2014-11-25,30,50000
2014-11-25,30,110000
2014-11-25,30,50000
2014-11-25,180,30000
2014-11-24,180,350000
2014-11-24,30,50000
2014-11-24,30,20000
2014-11-24,180,250000
2014-11-24,180,150000
2014-11-24,180,50000
2014-11-24,180,100000
2014-11-24,180,200000
2014-11-24,180,40000
2014-11-23,30,50000
2014-11-23,30,80000
2014-11-23,180,50000
2014-11-24,30,50000
2014-11-23,30,50000
2014-11-23,180,60000
2014-11-22,30,40000
2014-11-22,180,70000
2014-11-22,30,50000
2014-11-22,180,160000
2014-11-22,180,200000
2014-11-22,180,40000
2014-11-22,30,150000
2014-11-22,180,40000
2014-11-22,30,150000
2014-11-22,30,50000
2014-11-21,180,90000
2014-11-21,180,40000
2014-11-21,30,50000
2014-11-23,180,50000
2014-11-21,30,50000
2014-11-21,30,80000
2014-11-21,30,40000
2014-11-21,180,100000
2014-11-21,180,40000
2014-11-21,180,100000
2014-11-20,180,140000
2014-11-21,30,40000
2014-11-20,180,50000
2014-11-20,180,60000
2014-11-21,180,50000
2014-11-20,30,50000
2014-11-20,180,40000
2014-11-20,180,40000
2014-11-20,30,40000
2014-11-21,90,30000
2014-11-19,30,50000
2014-11-19,90,50000
2014-11-19,180,120000
2014-11-19,30,50000
2014-11-19,180,60000
2014-11-19,30,40000
2014-11-19,180,40000
2014-11-19,30,50000
2014-11-18,30,50000
2014-11-18,180,90000
2014-11-18,30,50000
2014-11-18,30,50000
2014-11-18,180,60000
2014-11-19,180,50000
2014-11-18,30,40000
2014-11-18,30,40000
2014-11-17,30,200000
2014-11-17,30,50000
2014-11-17,180,70000
2014-11-17,30,70000
2014-11-17,30,13000
2014-11-17,180,60000
2014-11-18,180,50000
2014-11-17,180,50000
2014-11-17,30,50000
2014-11-17,30,50000
2014-11-19,90,30000
2014-11-16,180,100000
2014-11-16,30,50000
2014-11-16,30,50000
2014-11-15,180,90000
2014-11-16,180,50000
2014-11-15,180,200000
2014-11-15,30,50000
2014-11-15,180,50000
2014-11-14,30,50000
2014-11-14,30,10000
2014-11-14,30,70000
2014-11-14,30,70000
2014-11-14,30,50000
2014-11-14,180,40000
2014-11-14,180,50000
2014-11-17,90,50000
2014-11-14,30,50000
2014-11-13,30,40000
2014-11-13,180,40000
2014-11-13,180,80000
2014-11-13,180,40000
2014-11-13,90,50000
2014-11-13,30,50000
2014-11-12,180,150000
2014-11-12,180,90000
2014-11-13,180,50000
2014-11-12,30,50000
2014-11-11,180,40000
2014-11-11,180,70000
2014-11-12,180,40000
2014-11-11,180,60000
2014-11-11,180,60000
2014-11-11,180,10000
2014-11-12,90,50000
2014-11-11,180,70000
2014-11-11,30,50000
2014-11-11,30,30000
2014-11-11,180,60000
2014-11-11,180,40000
2014-11-11,180,50000
2014-11-11,30,50000
2014-11-10,30,61000
2014-11-10,180,240000
2014-11-11,30,50000
2014-11-10,180,100000
2014-11-10,180,60000
2014-11-10,30,50000
2014-11-11,180,30000
2014-11-09,180,60000
2014-11-09,30,50000
2014-11-09,180,180000
2014-11-09,180,20000
2014-11-08,90,100000
2014-11-09,30,40000
2014-11-10,90,50000
2014-11-08,180,120000
2014-11-07,90,50000
2014-11-08,30,50000
2014-11-07,180,100000
2014-11-07,30,50000
2014-11-06,180,50000
2014-11-08,180,50000
2014-11-06,180,50000
2014-11-07,30,50000
2014-11-06,180,100000
2014-11-05,30,70000
2014-11-05,180,360000
2014-11-06,180,20000
2014-11-05,30,60000
2014-11-05,30,40000
2014-11-05,180,50000
2014-11-05,30,60000
2014-11-05,30,50000
2014-11-04,180,40000
2014-11-04,180,50000
2014-11-03,180,40000
2014-11-03,180,40000
2014-11-04,30,50000
2014-11-03,180,50000
2014-11-05,180,50000
2014-11-03,180,50000
2014-11-03,90,60000
2014-11-03,180,40000
2014-11-04,60,30000
2014-11-03,30,20000
2014-11-03,180,10000
2014-11-04,90,50000
2014-11-02,90,40000
2014-11-02,150,50000
2014-11-02,90,50000
2014-11-01,30,50000
2014-10-31,180,100000
2014-10-31,180,40000
2014-11-01,30,50000
2014-10-31,180,50000
2014-10-31,30,40000
2014-10-31,90,50000
2014-10-31,90,40000
2014-10-31,30,50000
2014-10-31,30,200000
2014-10-30,60,50000
2014-11-01,180,50000
2014-10-30,180,40000
2014-10-30,30,10000
2014-10-30,30,200000
2014-10-30,30,10000
2014-10-29,180,40000
2014-10-31,30,50000
2014-10-31,90,50000
2014-10-30,180,50000
2014-10-28,150,40000
2014-10-29,30,30000
2014-10-28,90,50000
2014-10-28,30,50000
2014-10-30,150,50000
2014-10-27,180,50000
2014-10-27,90,40000
2014-10-27,30,40000
2014-10-27,180,40000
2014-10-27,180,50000
2014-10-27,180,40000
2014-10-27,180,60000
2014-10-27,90,19600
2014-10-27,30,50000
2014-10-27,180,30000
2014-10-27,180,80000
2014-10-25,180,50000
2014-10-25,180,40000
2014-10-24,120,100000
2014-10-24,180,70000
2014-10-24,180,180000
2014-10-24,180,50000
2014-10-23,180,50000
2014-10-23,180,50000
2014-10-25,30,50000
2014-10-24,120,30000
2014-10-24,90,30000
2014-10-22,90,50000
2014-10-23,30,50000
2014-10-23,180,30000
2014-10-22,120,40000
2014-10-22,180,30000
2014-10-21,30,80000
2014-10-20,90,110400
2014-10-23,120,50000
2014-10-21,180,50000
2014-10-20,120,40000
2014-10-22,90,50000
2014-10-22,30,40000
2014-10-19,30,50000
2014-10-18,180,70000
2014-10-18,180,60000
2014-10-18,120,10000
2014-10-18,180,60000
2014-10-18,30,50000
2014-10-17,180,70000
2014-10-17,180,100000
2014-10-17,30,110000
2014-10-17,120,50000
2014-10-17,180,50000
2014-10-17,120,40000
2014-10-18,120,50000
2014-10-17,30,50000
2014-10-16,180,40000
2014-10-16,180,100000
2014-10-16,120,40000
2014-10-17,180,40000
2014-10-16,180,40000
2014-10-15,180,40000
2014-10-15,180,60000
2014-10-15,30,50000
2014-10-15,120,60000
2014-10-15,180,50000
2014-10-15,180,80000
2014-10-14,180,40000
2014-10-15,180,39000
2014-10-17,120,50000
2014-10-15,30,50000
2014-10-14,180,40000
2014-10-14,180,40000
2014-10-14,180,60000
2014-10-14,30,40000
2014-10-14,180,71000
2014-10-14,30,50000
2014-10-14,120,50000
