DEADLINE,LIFE_LOAN,ITEM_AMOUNT
2015-05-19,15,600000
2015-03-05,60,750000
2015-01-20,15,382413
2015-01-10,15,429250
2014-12-31,15,252000
2014-12-22,15,135000
2014-12-15,30,100000
2014-12-13,30,100000
2014-12-10,30,100000
2014-12-07,30,100000
2014-12-03,30,50000
2014-11-30,30,80000
2014-11-28,90,120000
2014-11-24,30,100000
2014-11-21,60,70000
2014-11-18,30,70000
2014-11-14,30,100000
2014-11-10,30,100000
2014-11-07,30,100000
2014-11-04,60,80000
2014-10-31,30,100000
2014-10-27,30,70000
2014-10-23,30,100000
2014-10-19,30,100000
2014-10-15,60,100000
2014-10-12,30,150000
2014-10-08,30,100000
2014-10-06,dynamic,88888
2014-09-30,30,100000
2014-09-28,30,50000
2014-09-24,30,300000
2014-09-17,30,200000
2014-09-09,30,100000
2014-09-04,30,70000
2014-08-30,60,100000
2014-08-27,30,70000
2014-08-24,dynamic,88888
2014-08-21,30,130000
2014-08-13,30,70000
2014-08-08,30,100000
2014-08-02,30,50000
2014-07-28,30,80000
2014-07-25,30,80000
2015-05-11,15,500000
2015-04-30,15,700000
2015-02-04,30,80000
2015-01-18,15,515218
2015-01-08,15,573750
2015-02-03,30,60000
2015-01-17,15,246500
2015-01-07,15,514250
2014-12-29,15,225000
2014-12-20,15,245708
2014-12-15,30,80000
2014-12-28,15,180000
2014-12-19,30,340537
2014-12-14,30,40000
2014-12-12,30,50000
2014-12-12,30,50000
2014-12-09,30,80000
2014-12-06,30,80000
2014-12-09,30,100000
2014-12-06,30,80000
2014-12-02,60,50000
2014-11-30,30,100000
2014-12-02,90,50000
2014-11-30,30,100000
2014-11-27,90,50000
2014-11-23,30,50000
2014-11-20,60,70000
2015-05-18,15,600000
2014-11-27,90,150000
2014-11-24,30,120000
2014-11-20,60,80000
2014-11-17,60,80000
2015-02-05,30,120000
2014-11-18,60,100000
2014-11-13,30,100000
2014-11-14,60,100000
2014-11-10,30,80000
2014-11-09,30,150000
2014-11-06,30,100000
2014-11-02,30,80000
2014-11-07,30,100000
2014-11-02,30,70000
2014-10-30,60,50000
