DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-05-19,90,100000,17
2015-05-15,90,100000,17
2015-05-14,90,100000,17
2015-05-13,90,100000,17
2015-05-11,90,100000,17
2015-05-08,90,100000,17
2015-05-07,90,100000,17
2015-05-06,90,100000,17
2015-04-29,90,100000,17
2015-04-18,90,100000,17
2015-04-18,30,100000,15
2015-04-15,90,100000,17
2015-04-15,30,100000,15
2015-04-14,30,100000,15
2015-04-15,90,100000,17
2015-04-13,90,100000,17
2015-04-08,180,100000,18
2015-04-09,90,100000,17
2015-04-06,30,100000,15
2015-04-07,90,100000,17
2015-04-05,30,100000,15
2015-04-05,90,100000,17
2015-04-04,30,100000,15
2015-04-03,30,200000,15
2015-04-02,30,100000,15
2015-04-02,30,100000,15
2015-04-04,180,100000,18
2015-03-31,90,100000,17
2015-03-28,90,100000,17
2015-03-30,180,100000,18
2015-03-27,90,200000,17
2015-03-25,90,100000,17
2015-03-24,90,150000,17
2015-03-18,90,160000,17
2015-03-17,90,140000,17
2015-03-16,90,100000,17
2015-03-13,90,100000,17
2015-03-11,90,100000,17
2015-03-12,180,100000,18
2015-03-05,30,150000,15
2015-03-04,30,100000,15
2015-03-05,90,100000,17
2015-03-03,30,100000,15
2015-03-02,30,100000,18
2015-03-02,90,100000,20
2015-03-04,180,70000,21
2015-02-28,90,100000,20
2015-02-28,180,70000,21
2015-02-28,90,60000,20
2015-02-27,180,70000,21
2015-02-27,90,100000,20
2015-02-26,90,100000,20
2015-02-24,30,200000,18
2015-02-24,90,100000,20
2015-02-25,180,50000,21
2015-02-23,180,50000,21
2015-02-22,90,100000,20
2015-02-21,180,80000,21
2015-02-21,90,100000,20
2015-02-19,180,100000,21
2015-02-18,90,100000,20
2015-02-17,90,100000,20
2015-02-16,90,100000,20
2015-02-16,180,140000,21
2015-02-17,180,140000,21
2015-02-14,180,100000,21
2015-02-13,180,90000,21
2015-02-12,180,100000,21
2015-02-10,90,200000,20
2015-02-10,180,70000,21
2015-02-10,90,90000,20
2015-02-09,180,60000,21
2015-02-09,90,90000,20
2015-02-07,90,90000,20
2015-02-05,180,90000,21
2015-02-05,90,100000,20
2015-02-04,180,90000,21
2015-02-04,90,100000,20
2015-02-03,180,80000,21
2015-02-03,90,130000,20
2015-02-02,90,120000,20
2015-02-02,90,150000,20
2015-02-02,90,70000,20
2015-02-02,180,180000,21
2015-01-31,180,190000,21
2015-02-01,90,70000,20
2015-01-31,180,300000,21
2015-01-31,90,140000,20
2015-01-31,180,90000,21
2015-01-31,90,100000,20
2015-01-30,60,100000,19
2015-01-29,90,100000,20
2015-01-29,60,100000,19
2015-01-29,60,100000,19
2015-01-29,90,100000,20
2015-01-29,60,120000,19
2015-01-28,60,100000,19
2015-01-28,360,150000,22
2015-01-28,30,80000,18
2015-01-27,90,100000,20
2015-01-27,60,90000,19
2015-01-27,30,90000,18
2015-01-26,90,120000,20
2015-01-26,60,90000,19
2015-01-26,30,100000,18
2015-01-25,90,90000,20
2015-01-25,60,80000,19
2015-01-25,30,70000,18
2015-01-24,90,200000,20
2015-01-24,90,90000,20
2015-01-24,60,90000,19
2015-01-24,30,80000,18
2015-01-23,30,200000,18
2015-01-23,60,200000,19
2015-01-23,30,180000,18
2015-01-23,90,150000,20
2015-01-22,360,100000,22
2015-01-22,30,150000,18
2015-01-22,90,180000,20
2015-01-21,360,200000,22
2015-01-21,60,100000,19
2015-01-21,30,150000,18
2015-01-21,90,150000,20
2015-01-20,90,170000,20
2015-01-20,180,80000,21
2015-01-20,60,100000,19
2015-01-20,30,140000,18
2015-01-19,30,160000,18
2015-01-19,180,90000,21
2015-01-19,90,130000,20
2015-01-19,60,160000,19
2015-01-18,60,190000,19
2015-01-18,30,150000,18
2015-01-18,180,80000,21
2015-01-18,90,110000,20
2015-01-17,180,70000,21
2015-01-17,90,120000,20
2015-01-17,60,100000,19
2015-01-17,30,150000,18
2015-01-16,90,100000,20
2015-01-16,60,100000,19
2015-01-16,180,100000,21
2015-01-16,90,190000,20
2015-01-16,60,150000,19
2015-01-16,30,120000,18
2015-01-15,180,80000,21
2015-01-15,90,110000,20
2015-01-15,30,130000,18
2015-01-14,90,130000,20
2015-01-14,60,150000,19
2015-01-14,30,140000,18
2015-01-14,180,100000,21
2015-01-13,60,100000,19
2015-01-13,90,200000,20
2015-01-13,60,180000,19
2015-01-13,30,160000,18
2015-01-12,90,110000,20
2015-01-12,90,100000,20
2015-01-12,60,100000,19
2015-01-12,360,120000,22
2015-01-12,90,70000,20
2015-01-12,30,200000,18
2015-01-11,90,60000,20
2015-01-11,360,110000,22
2015-01-11,30,190000,18
2015-01-10,60,80000,19
2015-01-10,30,100000,18
2015-01-10,360,100000,22
2015-01-10,90,70000,20
2015-01-10,60,60000,19
2015-01-10,30,100000,18
2015-01-09,90,150000,20
2015-01-09,180,100000,21
2015-01-09,60,130000,19
2015-01-09,30,110000,18
2015-01-08,180,100000,21
2015-01-08,360,120000,22
2015-01-08,90,120000,20
2015-01-08,60,150000,19
2015-01-08,30,70000,18
2015-01-07,360,100000,22
2015-01-07,30,200000,18
2015-01-07,180,170000,21
2015-01-07,90,200000,20
2015-01-07,60,140000,19
2015-01-07,30,100000,18
2015-01-06,180,190000,21
2015-01-06,90,150000,20
2015-01-06,60,100000,19
2015-01-06,30,130000,18
2015-01-05,180,120000,21
2015-01-05,90,230000,20
2015-01-05,60,170000,19
2015-01-05,30,150000,18
2015-01-04,180,160000,21
2015-01-04,90,190000,20
2015-01-04,60,130000,19
2015-01-04,30,120000,18
2015-01-03,180,150000,21
2015-01-03,90,160000,20
2015-01-03,60,140000,19
2015-01-03,30,110000,18
2015-01-02,60,100000,19
2015-01-02,90,180000,20
2015-01-02,180,160000,21
2015-01-02,60,140000,19
2015-01-02,30,120000,18
2015-01-01,180,130000,21
2015-01-01,60,120000,19
2015-01-01,30,100000,18
2015-01-01,90,500000,20
2014-12-31,30,150000,18
2014-12-31,180,60000,21
2014-12-31,90,80000,20
2014-12-31,60,150000,19
2014-12-31,30,160000,18
2014-12-30,90,120000,20
2014-12-30,180,210000,21
2014-12-30,30,80000,18
2014-12-30,30,120000,18
2014-12-30,180,180000,21
2014-12-30,90,160000,20
2014-12-30,60,140000,19
2014-12-30,30,130000,18
2014-12-29,30,100000,18
2014-12-29,30,110000,18
2014-12-29,180,170000,21
2014-12-29,90,180000,20
2014-12-29,60,120000,19
2014-12-28,30,110000,18
2014-12-28,180,160000,21
2014-12-28,90,150000,20
2014-12-28,60,100000,19
2014-12-28,30,130000,18
2014-12-27,360,100000,22
2014-12-27,90,180000,20
2014-12-27,60,140000,19
2014-12-27,30,120000,18
2014-12-26,30,80000,18
2014-12-26,360,160000,22
2014-12-26,90,80000,20
2014-12-26,60,110000,19
2014-12-26,30,160000,18
2014-12-25,360,110000,22
2014-12-25,360,180000,22
2014-12-25,90,200000,20
2014-12-25,60,130000,19
2014-12-25,30,100000,18
2014-12-24,360,100000,22
2014-12-24,30,100000,18
2014-12-24,180,110000,21
2014-12-24,90,190000,20
2014-12-24,60,120000,19
2014-12-24,30,160000,18
2014-12-23,30,100000,18
2014-12-23,90,130000,20
2014-12-23,360,160000,22
2014-12-23,180,150000,21
2014-12-23,60,130000,19
2014-12-23,30,180000,18
2014-12-22,30,100000,18
2014-12-22,360,100000,22
2014-12-22,180,120000,21
2014-12-22,90,150000,20
2014-12-22,30,160000,18
2014-12-21,360,110000,22
2014-12-21,180,130000,21
2014-12-21,90,140000,20
2014-12-21,30,160000,18
2014-12-20,360,130000,22
2014-12-20,30,100000,18
2014-12-20,30,150000,18
2014-12-20,180,140000,21
2014-12-20,90,200000,20
2014-12-20,60,120000,19
2014-12-19,180,200000,21
2014-12-19,30,100000,18
2014-12-19,180,140000,21
