deadline,life loan,ITEM_AMOUNT,MONEY_RATE
2015-08-20,371,5000000,15
2015-08-20,206,5000000,13
2015-08-20,363,5000000,15
2015-08-20,271,200000,14
2015-08-20,359,5000000,15
2015-08-20,366,6000000,15
2015-08-20,356,6000000,15
2015-08-20,90,400000,12.5
2015-08-20,143,500000,13.5
2015-08-20,356,5000000,15
2015-08-20,162,5000000,13
2015-08-20,358,5000000,15
2015-08-20,351,5000000,15
2015-08-20,169,5000000,13
2015-08-20,361,5000000,15
2015-08-20,344,5000000,15
2015-08-20,82,200000,12
2015-08-20,346,5000000,15
2015-08-20,78,200000,12
2015-08-20,78,200000,12
2015-08-20,41,2000000,10.5
2015-08-20,156,5000000,13
2015-08-20,160,2100000,14
2015-08-20,41,3000000,10.5
2015-08-20,342,5000000,15
2015-08-20,163,5000000,13
2015-08-20,156,5000000,13
2015-08-20,32,2014000,10.5
2015-08-20,71,500000,12
2015-08-20,71,300000,12
2015-08-20,125,3000000,13
2015-08-20,250,200000,14
2015-08-20,71,200000,12
2015-08-20,240,4000000,15
2015-08-20,71,200000,12
2015-08-20,240,4000000,15
2015-08-20,71,200000,12
2015-08-20,240,7000000,15
2015-08-20,62,300000,12
2015-08-20,62,200000,12
2015-08-20,119,2850000,13
2015-08-20,240,200000,14
2015-08-20,336,5000000,15
2015-08-20,62,300000,12
2015-08-20,328,1000000,15
2015-08-20,329,5000000,15
2015-08-20,141,2200000,13
2015-08-20,62,500000,12
2015-08-20,155,5000000,9
2015-08-20,322,5000000,15
2015-08-20,55,300000,12
2015-08-20,150,5000000,9
2015-08-20,50,5000000,12.5
2015-08-20,55,300000,12
2015-08-20,50,200000,12
2015-08-20,55,200000,12
2015-08-20,144,5000000,9
2015-08-20,50,300000,12
2015-08-20,139,5000000,9
2015-08-20,50,200000,12.5
2015-08-20,50,200000,12
2015-08-20,318,2250000,15
2015-08-20,40,5000000,12.5
2015-08-20,50,300000,12
2015-08-20,34,5000000,12.5
2015-08-20,12,1300000,11
2015-08-20,50,500000,12
2015-08-20,314,1800000,15
2015-08-20,314,1400000,15
2015-08-20,49,300000,12
2015-08-20,56,6000000,12.5
2015-08-20,315,5000000,15
2015-08-20,36,100000,12.5
2015-08-20,41,300000,12
2015-08-20,10,1800000,11
2015-08-20,41,300000,12
2015-08-20,41,150000,12
2015-08-20,49,5000000,12.5
2015-08-20,41,300000,12
2015-08-20,41,200000,12
2015-08-20,41,5000000,12.5
2015-08-20,317,5000000,15
2015-08-20,36,100000,12.5
2015-08-20,312,5000000,15
2015-08-20,36,100000,12.5
2015-08-20,307,5000000,15
2015-08-20,132,5000000,13
2015-08-20,313,3000000,15
2015-08-20,25,100000,12.5
2015-08-20,29,5000000,12.5
2015-08-20,33,300000,12
2015-08-20,25,100000,12.5
2015-08-20,299,5000000,15
2015-08-20,27,650000,12
2015-08-20,33,300000,12
2015-08-20,33,350000,12
2015-08-20,308,5000000,15
2015-08-20,303,5000000,15
2015-08-20,117,5000000,13
2015-08-20,33,200000,12
2015-08-20,273,4000000,15
2015-08-20,268,2250000,15
2015-08-20,25,50000,12.5
2015-08-20,298,5000000,15
2015-08-20,33,300000,12.5
2015-08-20,273,5000000,15
2015-08-20,268,2550000,15
2015-08-20,33,300000,12
2015-08-20,293,5000000,15
2015-08-20,33,200000,12
2015-08-20,25,50000,12.5
2015-08-20,40,279825,12
2015-08-20,25,50000,12.5
2015-08-20,287,5000000,15
2015-08-20,25,50000,12.5
2015-08-20,25,50000,12.5
2015-08-20,25,500000,12
2015-08-20,25,50000,12.5
2015-08-20,240,5000000,15
2015-08-20,25,200000,12
2015-08-20,25,200000,12
2015-08-20,280,5000000,15
2015-08-20,19,300000,12.5
2015-08-20,273,5000000,15
2015-08-20,19,300000,12.5
2015-08-20,16,5000000,12.5
2015-08-20,240,5000000,15
2015-08-20,10,5000000,12.5
