DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-01-11,720,36900,16
2015-01-11,720,26600,16
2015-01-12,720,69500,16
2015-01-12,1080,65800,16
2015-01-13,1080,65800,16
2015-01-13,720,53200,16
2015-01-13,720,24600,16
2015-01-13,720,26600,16
2015-01-13,720,39900,16
2015-01-13,720,26600,16
2015-01-13,720,55600,16
2015-01-13,720,83400,16
2015-01-14,720,55600,16
2015-01-14,720,41700,16
2015-01-14,720,39900,16
2015-01-14,1080,39400,16
2015-01-14,720,27800,16
2015-01-15,720,111300,16
2015-01-15,720,53200,16
2015-01-15,720,53200,16
2015-01-15,720,36900,16
2015-01-15,720,49200,16
2015-01-16,720,69500,16
2015-01-16,1080,65800,16
2015-01-16,720,39900,16
2015-01-16,1080,39400,16
2015-01-17,720,83400,16
2015-01-17,720,39900,16
2015-01-18,360,72700,16
2015-01-18,720,49200,16
2015-01-18,720,39900,16
2015-01-19,720,111300,16
2015-01-19,1080,78900,16
2015-01-20,720,53200,16
2015-01-20,720,39900,16
2015-01-20,1080,39400,16
2015-01-20,720,24600,16
2015-01-21,720,83400,16
2015-01-21,720,53200,16
2015-01-21,720,36900,16
2015-01-21,720,24600,16
2015-01-21,720,41700,16
2015-01-22,720,83400,16
2015-01-22,1080,65800,16
2015-01-22,720,55600,16
2015-01-22,720,53200,16
2015-01-23,720,66500,16
2015-01-23,720,66500,16
2015-01-23,720,53200,16
2015-01-23,720,39900,16
2015-01-24,1080,78900,16
2015-01-24,1080,65800,16
2015-01-24,1080,52600,16
2015-01-25,720,69500,16
2015-01-25,720,66500,16
2015-01-25,720,53200,16
2015-01-26,720,111300,16
2015-01-26,720,69500,16
2015-01-26,720,39900,16
2015-01-26,720,26600,16
2015-01-26,1080,39400,16
2015-01-27,1080,78900,16
2015-01-27,360,36300,16
2015-01-27,720,49200,16
2015-01-27,720,54000,16
2015-01-27,1080,39400,16
2015-01-27,720,53200,16
2015-01-27,720,55600,16
2015-01-27,720,66500,16
2015-01-27,720,49200,16
2015-01-28,720,83400,16
2015-01-28,720,53200,16
2015-01-28,720,66500,16
2015-01-28,360,48400,16
2015-01-28,720,53200,16
2015-01-28,720,53200,16
2015-01-28,1080,65800,16
2015-01-28,720,66500,16
2015-01-28,720,53200,16
2015-01-29,720,79800,16
2015-01-29,1080,78900,16
2015-01-29,720,66500,16
2015-01-29,720,36900,16
2015-01-29,720,66500,16
2015-01-30,1080,78900,16
2015-01-30,720,53200,16
2015-01-30,1080,52600,16
2015-01-30,720,39900,16
2015-01-31,720,41700,16
2015-01-31,720,27000,16
2015-02-01,720,69500,16
2015-02-01,360,36300,16
2015-02-02,720,83400,16
2015-02-02,720,53200,16
2015-02-02,720,49200,16
2015-02-02,720,24600,16
2015-02-03,720,83400,16
2015-02-03,720,53200,16
2015-02-03,720,53200,16
2015-02-04,720,83400,16
2015-02-04,1080,65800,16
2015-02-04,720,53200,16
2015-02-05,720,83400,16
2015-02-05,360,48400,16
2015-02-06,720,66500,16
2015-02-06,720,41700,16
2015-02-06,1080,26300,16
2015-02-07,720,55600,16
2015-02-07,720,27800,16
2015-02-08,720,66500,16
2015-02-08,720,36900,16
2015-02-09,720,66500,16
2015-02-09,720,39900,16
2015-02-10,1080,78900,16
2015-02-10,720,39900,16
2015-02-11,1080,52600,16
