DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-07-03,30,60000,18
2015-06-29,7,200000,18
2015-06-17,20,160000,18
2015-05-25,7,100000,18
2015-05-25,20,160000,18
2015-05-19,7,100000,18
2015-05-12,20,160000,18
2015-05-08,30,100000,18
2015-05-07,7,50000,13.5
2015-05-06,30,100000,18
2015-05-04,7,50000,13.5
2015-05-01,30,100000,18
2015-05-01,7,50000,13.5
2015-04-23,90,460000,18
2015-04-22,30,100000,18
2015-04-21,30,100000,18
2015-04-17,30,100000,18
2015-04-14,30,100000,18
2015-04-13,30,100000,18
2015-04-08,30,270000,18
2015-04-08,30,200000,18
2015-04-08,30,200000,18
2015-03-28,20,100000,18
2015-03-24,20,100000,18
2015-03-23,20,100000,18
2015-01-24,30,60000,18
2015-01-16,30,60000,18
2015-01-15,30,150000,18
2015-01-13,30,150000,18
2015-01-14,30,100000,18
2015-01-12,30,100000,18
2015-01-11,30,100000,18
2015-01-10,30,100000,18
2015-01-09,30,50000,18
2015-01-08,30,30000,18
2015-01-07,30,60000,18
2015-01-05,7,30000,18
2015-01-05,30,60000,18
2015-01-04,15,20000,18
2015-01-04,15,20000,18
2015-01-04,15,20000,18
2015-01-01,30,400000,18
2014-12-31,30,50000,18
2014-12-31,15,30000,18
2014-12-31,7,20000,18
2014-12-28,15,30000,18
2014-12-28,7,60000,18
2014-12-27,7,60000,18
2014-12-27,15,40000,18
2014-12-26,30,100000,18
2014-12-25,10,100000,18
2014-12-25,30,100000,20
2014-12-24,30,100000,20
2014-12-24,10,100000,18
2014-12-23,10,100000,18
2014-12-23,30,100000,20
2014-12-22,10,100000,18
2014-12-22,30,100000,18
2014-12-20,30,100000,18
2014-12-19,30,100000,18
2014-12-18,30,100000,18
2014-12-17,30,100000,18
2014-12-16,30,100000,18
2014-12-15,30,100000,18
2014-12-13,30,100000,18
2014-12-12,30,100000,18
2014-12-11,30,100000,18
2014-12-10,90,100000,18
2014-12-10,30,100000,18
2014-12-09,30,100000,18
2014-12-09,90,100000,18
2014-12-08,90,100000,18
2014-12-08,30,100000,18
2014-12-06,30,100000,18
2014-12-06,15,100000,18
2014-12-05,15,100000,18
2014-12-05,30,200000,18
2014-12-04,15,200000,18
2014-12-04,30,100000,18
2014-12-03,90,100000,18
2014-12-03,30,150000,18
2014-12-02,30,100000,18
2014-12-02,10,300000,18
2014-12-01,10,300000,18
2014-12-01,90,100000,18
2014-11-29,10,200000,18
2014-11-29,30,100000,18
2014-11-28,10,150000,18
2014-11-28,30,100000,18
2014-11-27,7,200000,18
2014-11-27,30,100000,18
2014-11-26,7,200000,18
2014-11-26,30,100000,18
2014-11-25,30,100000,18
2014-11-25,7,200000,18
2014-11-24,90,200000,18
2014-11-24,30,100000,18
2014-11-22,90,100000,18
2014-11-22,30,100000,18
2014-11-21,90,200000,18
2014-11-21,30,100000,18
2014-11-20,90,200000,18
2014-11-20,30,100000,18
2014-11-19,30,100000,18
2014-11-19,90,100000,18
2014-11-18,30,100000,18
2014-11-17,30,100000,18
2014-11-16,30,100000,18
2014-11-15,30,200000,18
2014-11-14,30,200000,18
2014-11-13,30,100000,24
2014-11-13,30,100000,24
2014-11-12,30,100000,24
2014-11-12,30,100000,24
2014-11-11,30,100000,24
2014-11-11,30,100000,24
2014-11-10,30,100000,24
2014-11-10,30,100000,24
2014-11-08,30,100000,24
2014-11-07,30,60000,24
2014-11-07,30,100000,24
2014-11-06,30,100000,24
2014-11-06,30,100000,24
2014-11-05,30,100000,24
2014-11-05,30,100000,24
2014-11-04,30,100000,24
2014-11-04,30,100000,24
2014-11-03,30,100000,24
2014-11-03,30,100000,24
2014-10-31,30,150000,24
