nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.3571428571,1.2857142857,3.3571428571,4.2857142857,3.3571428571,3.2142857143,3.5,2.5714285714,3.1428571429,3.1739130435
1,1,4.3214285714,1.75,1.9642857143,2.0714285714,2,5.7142857143,9.1428571429,8.9310344828
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1.25,1.1666666667,2,1.5,1.25,1.3333333333,1.3333333333,2.0833333333,1.4
1.0571428571,1.1428571429,1.2,2.5714285714,4.0571428571,3.7428571429,3.7714285714,4.1142857143,4.4571428571,16.7142857143
1.5,1.9,2.2,2.6,2.5,2,3.6,5.7,9.3,7.25
23.7142857143,19,17.8571428571,24.8571428571,27.4285714286,26.7142857143,21.4285714286,21.5714285714,22.1428571429,21.2727272727
1.935483871,2,3.2903225806,3.8064516129,4.7741935484,4.5483870968,8.3870967742,8.3225806452,9.9032258065,13.1944444444
2.5,3.3863636364,6.2272727273,4.3863636364,7.3181818182,5.9318181818,39.25,42.2954545455,76.6136363636,237.5510204082
11.4,13.4,10.8,11.6,17,23.2,18.4,21.2,17.2,16.8571428571
2.35,2.9,3.15,2.45,2.75,3.1,3.5,2.75,1.3,1.3571428571
1.9655172414,2.4137931034,3.0344827586,3.1034482759,3.6551724138,3.3793103448,3.1724137931,5.3103448276,4.8965517241,3.4838709677
1.6111111111,2.7777777778,4.0833333333,4.5,5.5833333333,6.8611111111,8.9166666667,8.4722222222,8.3333333333,8.0869565217
1.8285714286,2.4285714286,3.5142857143,4.8571428571,5.4571428571,5.0857142857,5,6.2571428571,5.7428571429,4.8421052632
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1,1.1428571429,1.1428571429,1.7142857143,1.4285714286,1.4285714286,2,1.5714285714,1.1333333333
1.1363636364,1.0454545455,1.5,1.9090909091,2.6818181818,1.9545454545,3.0454545455,5.0454545455,5.6818181818,3.08
2.2325581395,2.2558139535,4.7441860465,11.8837209302,18.2325581395,7.0465116279,8.3720930233,7.6511627907,6.023255814,3.3863636364
2.9655172414,11.1034482759,14.6206896552,15.4482758621,14.275862069,15.0689655172,16.3793103448,8.0344827586,1.9310344828,2
