MONEY_RATE
12
13
13.2
12
12
13.2
12
13.2
12
12
16.8
12.1
15.6
12.1
12
12
12.2
12.1
12.5
12.1
12
12
12
12
12.2
13.1
12
12.1
13.8
12
12
12
12.1
12.1
12
12
15.6
12
15.6
13.5
13.8
15.6
12
12
15.6
13.8
12
12
12.1
12.2
12
12
12.1
12.2
12
13.8
12.1
13.2
12
13.8
13.2
13.2
12.8
12
12.1
12
12.2
12
12
12.5
16.8
12.5
12
12.2
12.2
12.1
12.2
12.2
12.1
16.8
12
12.6
12
12
12
12.5
12
12.5
12
12
12
12
12
12
13.2
12
12
13.2
13.8
12.5
12.1
14.4
12.1
12.1
15.6
12
12.1
12
12.5
12.1
12
12
14.4
16.8
18
18
12.2
13.5
16.8
12
12.2
13.2
12
12
15.6
12
12
12
14.4
13.2
13.8
13.2
16.8
16.8
14.4
13.2
13.2
13.8
13.2
12.1
12
12
12
18
16.8
15.6
14.4
13.2
16.8
13.2
12.1
12
12.1
12
12.1
18
12
12
12.2
12.1
15.6
12
12.5
14.4
15.6
15.6
12
12.1
12.1
12
12.1
12.1
18
12.1
12.1
12
12
12.1
13.2
15.6
13.8
13.3
12.1
12.1
12.1
12
14
12.2
12
12
12.2
12
12
12
12
12
12
12
12
12
13.8
13.8
12.1
13.2
12.2
13.8
13.8
13.2
12
14.4
12
12.1
12
12.1
12
12.2
12
12.1
12.1
12
12
12
12
12
12
13.2
12
12
12
12
12
12
12
12
12
12
13.1
13.8
12.1
13.2
18
13.8
12.1
12
12
12
13.2
12
13.8
12
13.8
12
18
12
12
12.2
13.5
14.4
12
14.4
12
12
13.2
12
15.6
12
13.8
12
12.3
13.2
12.1
14.4
12
12
12
12
12.1
12.2
18
12.2
13.8
12
12.2
12.2
14.4
12.2
12.2
13.2
13.5
12.2
12.2
12.1
12.1
13.2
12.2
18
12
12
12.2
12.2
12
12
13.8
13.4
12
12
12
13.8
12.1
12.1
12.1
12.5
13.8
12
12.1
12
13.5
13.3
13.2
12
12.2
12.1
12
12.6
12
12
12
12.2
13.2
18
12.1
12.1
12.2
12
13.2
12.1
12.1
12
12.1
12
12.1
14.4
12.1
12.2
12.3
12
12.1
13.8
13.8
16.8
13.2
12
12
13.8
13.8
12
12
12
12.2
12
13.2
13.2
18
12
12
12
12
13.8
15.6
12
12.1
12
12
12
12
14.4
12.1
12
12
14.4
12
12.1
12.1
12
18
12.1
12
12
12
12
12.1
12.2
12
12.1
12.2
12
15.6
12
12
12.1
12
12
12.6
12
12
16.8
13.2
12
13.5
13.8
12
15.6
12
12
12.2
12
13.2
13.8
13.2
13.2
13.2
12
13.8
12.5
16.8
12
12.1
12
12
12.1
12
12
12
12
12
12.1
12.1
12
12
12.2
12.1
12
12
12.1
13.1
12.1
12
13.4
12
12
12
12.5
12
12
12
12
12
12
12
12
12
12.9
12.1
12
13.5
12
12
12
12
12
12
12
12
12
12
12
12
13.2
12.2
15.6
12
13.2
12.5
12.2
13.2
12.2
13.2
13.8
12.5
12.1
12.2
12.2
12
12
12
12
12
12
12
15.6
12
12
12
12
12
12.1
13.2
12
15.6
13.8
12
12
12.6
12.1
12.1
12
12
12
14.4
12.5
12
13.2
13.2
12
12.1
12
12
13.2
12
13.5
12.1
12
12
12.1
13.8
12.1
12
12.1
12
12
12
12.1
12.2
12
12.2
12
12
13.2
12.1
12
13.2
13.8
12
14.4
13.2
12
12
15.6
13.8
12
12
12
13.3
13.2
12.1
16.8
12
12.1
